N	2gram	Vinokur_Ku_1	Tvorches
1	и в	24	21
2	как бы	7	17
3	в то	2	15
4	в его	12	13
5	то же	8	13
6	что в	17	12
7	как и	2	12
8	же время	2	12
9	с его	4	11
10	том что	21	11
11	все это	6	10
12	как в	4	8
13	он не	2	8
14	то что	9	8
15	в свою	3	7
16	в том	30	7
17	тем самым	4	7
18	при этом	6	7
19	не только	10	7
20	и не	12	7
21	и на	4	7
22	но в	2	7
23	что он	6	6
24	и все	2	6
25	не менее	7	6
26	в котором	3	6
27	а в	5	6
28	и его	5	6
29	в этом	14	6
30	xix века	5	6
31	о том	9	6
32	вовсе не	10	5
33	а не	8	5
34	может быть	13	5
35	в этой	3	5
36	все же	12	5
37	таким образом	12	5
38	хотя бы	10	5
39	потому что	23	5
40	только в	11	5
41	в своем	3	4
42	прежде всего	9	4
43	и как	2	4
44	в целом	4	4
45	не имеют	3	4
46	одним из	2	4
47	один из	4	4
48	в своей	2	4
49	не может	7	4
50	это не	7	4
51	не случайно	6	4
52	на эту	2	4
53	уже в	3	3
54	никогда не	2	3
55	с другой	7	3
56	что все	2	3
57	в каждом	2	3
58	представление о	3	3
59	я не	2	3
60	с ним	5	3
61	это и	4	3
62	в соответствии	3	3
63	соответствии с	3	3
64	что я	2	3
65	но не	5	3
66	на его	3	3
67	в самом	10	3
68	той же	3	3
69	но если	2	3
70	даже в	3	3
71	в нем	4	3
72	и т	33	3
73	но и	6	3
74	дело не	2	3
75	ее в	2	3
76	в их	3	3
77	уже не	8	3
78	на самом	2	3
79	того что	9	3
80	и даже	3	3
81	так же	4	3
82	в которой	6	3
83	и с	5	3
84	хотя и	3	3
85	так как	9	3
86	в частности	4	2
87	в этих	4	2
88	на том	3	2
89	в качестве	7	2
90	раз на	2	2
91	не столько	2	2
92	по крайней	5	2
93	можно сказать	3	2
94	что и	4	2
95	крайней мере	5	2
96	что его	2	2
97	так что	4	2
98	не в	11	2
99	иными словами	4	2
100	того же	4	2
101	было в	2	2
102	до конца	2	2
103	тот же	2	2
104	из них	4	2
105	к тому	5	2
106	по преимуществу	2	2
107	в ней	6	2
108	же и	2	2
109	ли в	2	2
110	если в	2	2
111	был бы	2	2
112	гораздо более	3	2
113	и тем	2	2
114	тем не	4	2
115	в духе	3	2
116	и против	2	2
117	когда он	3	2
118	вместе с	7	2
119	к жизни	2	2
120	так и	7	2
121	и того	2	2
122	именно в	6	2
123	что она	3	2
124	не мог	2	2
125	справедливо указывает	2	2
126	самом деле	9	2
127	что не	5	2
128	и он	3	2
129	или в	2	2
130	свидетельствует о	2	2
131	традиции в	2	2
132	в первом	3	2
133	в данном	4	2
134	в себе	3	2
135	т п	18	2
136	о котором	2	2
137	так сказать	5	2
138	в виду	5	2
