N	3gram	Tiupa_Anal_2	Hudozhes
1	по отношению к	4	10
2	в отличие от	2	7
3	присутствия в мире	2	7
4	в то же	2	6
5	то же время	2	6
6	той или иной	3	5
7	в том что	6	5
8	с другой стороны	2	5
9	так и не	4	4
10	состоит в том	4	4
11	в конечном счете	2	3
12	кадров внутреннего зрения	7	3
13	с точки зрения	2	3
14	в этом смысле	2	3
15	тем не менее	3	3
16	того или иного	3	3
17	мы имеем дело	3	2
18	в значительной степени	2	2
19	как уже говорилось	2	2
20	в таком случае	2	2
21	субъектной организации художественного	2	2
22	с одной стороны	4	2
23	факторов художественного впечатления	6	2
