N	2gram	Nazirov_Tv_2	Psycholo
1	и в	20	38
2	то что	3	35
3	все время	2	30
4	в том	8	25
5	в самом	3	25
6	самом деле	2	21
7	что в	7	20
8	может быть	8	19
9	и что	2	18
10	что она	4	16
11	то есть	5	15
12	если бы	4	14
13	том что	4	14
14	как бы	11	14
15	и т	13	14
16	потому что	7	14
17	в этой	5	13
18	и мы	3	13
19	в этом	8	13
20	мы видим	4	12
21	не только	13	12
22	таким образом	10	12
23	не в	4	12
24	что он	6	11
25	то же	7	10
26	и не	9	10
27	все же	5	8
28	в одном	2	8
29	вовсе не	2	8
30	как и	6	8
31	так что	2	8
32	из этого	2	8
33	и это	3	8
34	с другой	2	7
35	в ее	2	7
36	а не	6	7
37	не может	7	7
38	что у	4	7
39	может служить	2	7
40	а в	4	7
41	между тем	3	7
42	из них	2	6
43	до сих	3	6
44	один из	3	6
45	и если	2	6
46	в котором	3	6
47	он не	3	6
48	так как	3	6
49	и его	9	6
50	и на	5	6
51	в которых	3	6
52	о том	5	6
53	я не	2	5
54	казалось бы	3	5
55	в своей	6	5
56	вместе с	3	5
57	но и	8	5
58	сих пор	3	5
59	другой стороны	2	5
60	т п	2	5
61	действующих лиц	2	5
62	мы не	4	5
63	в его	10	5
64	так сказать	2	5
65	в которой	2	5
66	никогда не	11	4
67	если он	5	4
68	что они	4	4
69	при этом	8	4
70	когда он	4	4
71	но если	2	4
72	не могли	2	4
73	в нем	3	4
74	в целом	6	4
75	как в	4	4
76	т д	11	4
77	все эти	4	4
78	при помощи	2	4
79	и даже	5	4
80	что этот	2	4
81	в своих	3	4
82	у него	6	4
83	только в	2	4
84	одна из	3	4
85	в себе	3	4
86	место в	3	3
87	только для	2	3
88	к этому	3	3
89	в такой	2	3
90	а я	2	3
91	но это	5	3
92	наряду с	7	3
93	у читателя	2	3
94	в основе	2	3
95	все это	6	3
96	и только	2	3
97	бы не	2	3
98	рассказывает о	3	3
99	что не	3	3
100	не так	2	3
101	в таком	3	3
102	тем что	3	3
103	в то	10	3
104	его в	3	3
105	едва ли	2	3
106	в плане	3	3
107	но в	4	3
108	это был	3	2
109	отнюдь не	4	2
110	от этой	2	2
111	так например	3	2
112	с этой	3	2
113	о человеке	2	2
114	своих героев	3	2
115	во всяком	2	2
116	показывает что	4	2
117	и ее	2	2
118	уже не	3	2
119	у нас	2	2
120	такой же	2	2
121	для него	3	2
122	в первой	2	2
123	например в	5	2
124	по преимуществу	2	2
125	в которую	2	2
126	всяком случае	2	2
127	наше время	2	2
128	видим в	2	2
129	к самому	2	2
130	что его	2	2
131	в наше	2	2
132	так же	5	2
133	в одной	3	2
134	по мнению	3	2
135	в виде	2	2
136	а с	3	2
137	и наконец	2	2
138	и по	2	2
139	действия и	2	2
140	в конце	6	2
141	их в	2	2
142	характера а	2	2
143	заставляет нас	3	2
144	в истории	2	2
145	в русской	2	2
146	с ним	3	2
147	ничего не	4	2
