N	2gram	Potebnia_M_2	StatiiOP
1	и в	24	25
2	в этом	8	24
3	в том	18	20
4	что в	16	19
5	что он	4	19
6	может быть	23	19
7	тем что	7	19
8	что это	3	16
9	том что	8	15
10	в его	2	12
11	то что	20	12
12	не только	15	12
13	в этих	3	11
14	так что	10	11
15	прежде всего	7	10
16	таким образом	11	10
17	и не	19	10
18	у него	2	9
19	но и	9	9
20	и т	6	8
21	все это	2	8
22	в языке	3	8
23	как например	3	8
24	о том	5	8
25	это было	2	8
26	это не	3	7
27	было бы	13	7
28	с этим	7	7
29	не может	12	7
30	что такое	2	7
31	в то	6	7
32	место в	4	6
33	из этих	4	6
34	не в	13	6
35	только в	11	6
36	а а	2	6
37	как бы	9	6
38	как в	10	6
39	как на	3	6
40	а в	8	6
41	и на	8	6
42	т п	3	6
43	между тем	6	6
44	то же	12	5
45	независимо от	9	5
46	в них	5	5
47	потому что	49	5
48	с другой	6	5
49	на то	5	5
50	в котором	4	5
51	связано с	2	5
52	и это	2	5
53	а не	18	5
54	того что	7	5
55	другой стороны	2	5
56	отношения между	2	5
57	так и	5	5
58	но в	4	5
59	с тем	4	4
60	всяком случае	7	4
61	состоит в	2	4
62	по крайней	5	4
63	в жизни	2	4
64	в каждом	2	4
65	этом смысле	2	4
66	крайней мере	5	4
67	у нас	2	4
68	как и	7	4
69	мы видим	2	4
70	но это	3	4
71	в общем	2	4
72	если бы	11	4
73	например в	3	4
74	в ней	3	4
75	к ней	2	4
76	относится к	3	4
77	и тем	3	4
78	в целом	3	4
79	не было	6	4
80	в чем	7	4
81	и для	3	4
82	время как	4	4
83	можно назвать	2	4
84	сказать что	2	4
85	во всяком	7	4
86	в каком	3	4
87	все же	5	4
88	в которой	5	4
89	то время	4	4
90	в эту	3	4
91	на вопрос	3	3
92	что все	2	3
93	уже в	5	3
94	с его	2	3
95	тому что	2	3
96	в какой	2	3
97	во время	4	3
98	к этому	2	3
99	же время	2	3
100	и здесь	2	3
101	всех этих	2	3
102	для него	10	3
103	и что	4	3
104	на этом	2	3
105	одной стороны	3	3
106	и если	4	3
107	между прочим	4	3
108	о которых	3	3
109	все эти	2	3
110	в некоторых	4	3
111	со стороны	3	3
112	в словах	3	3
113	в связи	2	3
114	уже не	4	3
115	что мы	11	3
116	не так	3	3
117	и его	2	3
118	что для	3	3
119	но он	2	3
120	в другом	2	3
121	связи с	6	3
122	так как	10	3
123	к которому	2	3
124	а с	2	2
125	не менее	5	2
126	никогда не	4	2
127	себя и	2	2
128	и у	3	2
129	что у	2	2
130	не столько	2	2
131	несколько раз	2	2
132	и во	3	2
133	не сразу	2	2
134	тогда когда	10	2
135	вовсе не	9	2
136	самого начала	2	2
137	от них	3	2
138	не как	3	2
139	что его	3	2
140	если и	2	2
141	такое же	2	2
142	но все	2	2
143	такой же	4	2
144	что они	5	2
145	есть в	2	2
146	что если	6	2
147	но не	12	2
148	а то	2	2
149	того же	14	2
150	в свою	6	2
151	движения в	2	2
152	до сих	4	2
153	только тогда	3	2
154	еще не	4	2
155	и может	3	2
156	в самом	4	2
157	во всех	7	2
158	одна из	4	2
159	не совсем	3	2
160	если в	3	2
161	один из	2	2
162	тем не	6	2
163	вместе с	11	2
164	сих пор	4	2
165	были и	2	2
166	и тогда	3	2
167	только что	3	2
168	внимание на	2	2
169	не на	2	2
170	и только	6	2
171	быть не	3	2
172	т д	3	2
173	с одной	4	2
174	и других	2	2
175	от того	5	2
176	а потому	5	2
177	мы находим	2	2
178	о которой	3	2
179	самом деле	2	2
180	с самого	2	2
181	для того	5	2
182	что не	5	2
183	и по	2	2
184	его не	3	2
185	той же	3	2
186	во многих	3	2
187	мы не	11	2
188	или в	2	2
189	между собою	7	2
190	тем как	2	2
191	то и	9	2
192	одно из	3	2
193	могут быть	8	2
194	этого слова	6	2
195	том смысле	4	2
196	так сказать	4	2
197	с которыми	2	2
198	не имеет	6	2
199	заметить что	6	2
200	и тот	2	2
201	то есть	30	2
