N	2gram	Losev_Vlad_3	Russkaja
1	не может	14	22
2	и не	25	19
3	в том	18	17
4	в этом	16	17
5	и в	40	14
6	то что	28	13
7	таким образом	11	11
8	то же	4	11
9	точки зрения	13	11
10	же время	2	10
11	но и	18	10
12	в то	7	10
13	том что	18	9
14	церкви и	3	9
15	не только	25	9
16	в себе	9	9
17	с точки	6	9
18	может быть	8	9
19	во всяком	3	9
20	прежде всего	10	8
21	того чтобы	3	8
22	как на	3	8
23	ни к	2	7
24	отнюдь не	5	7
25	к богу	2	7
26	к тому	7	7
27	и если	7	7
28	не будет	6	7
29	в данном	5	7
30	самого себя	2	7
31	мы должны	4	7
32	о том	11	7
33	и с	9	7
34	если бы	3	6
35	на самом	3	6
36	что он	5	6
37	и к	2	6
38	с тем	7	6
39	для него	8	6
40	для того	2	6
41	всяком случае	3	6
42	в своем	8	6
43	и для	3	6
44	в своих	7	6
45	в россии	3	6
46	хотя бы	6	5
47	вопрос о	4	5
48	на то	4	5
49	и на	6	5
50	при этом	3	5
51	было бы	4	5
52	в своей	9	5
53	он не	8	5
54	никогда не	11	5
55	в нем	3	5
56	и только	3	5
57	по существу	4	5
58	а в	7	5
59	потому что	11	5
60	только в	13	5
61	но не	4	4
62	при таких	2	4
63	не могут	2	4
64	том случае	3	4
65	что в	17	4
66	то ни	3	4
67	в мире	2	4
68	как и	7	4
69	более или	5	4
70	как бы	3	4
71	себе и	2	4
72	все же	4	4
73	бы то	3	4
74	вместе с	7	4
75	со стороны	2	4
76	от того	4	4
77	или менее	5	4
78	что же	9	4
79	в их	2	4
80	путь к	2	4
81	не в	3	4
82	можно было	5	4
83	и то	9	4
84	в этой	8	4
85	во всем	6	4
86	в его	14	4
87	его в	2	4
88	так как	7	4
89	к этой	2	4
90	он сам	2	3
91	что это	9	3
92	можно ли	2	3
93	именно в	3	3
94	что бы	3	3
95	случае если	2	3
96	из этих	3	3
97	в конце	12	3
98	что все	7	3
99	был и	2	3
100	при условии	2	3
101	о которых	2	3
102	да и	6	3
103	и как	7	3
104	в другом	2	3
105	то в	6	3
106	должно быть	5	3
107	в качестве	3	3
108	еще не	4	3
109	несмотря на	7	3
110	в самом	4	3
111	ни стало	2	3
112	одной из	2	3
113	той или	2	3
114	но если	5	3
115	знаем что	2	3
116	и потому	10	3
117	и этот	2	3
118	точке зрения	2	3
119	но мы	2	3
120	то это	10	3
121	что и	7	3
122	не есть	10	3
123	из них	2	3
124	с виду	2	3
125	все они	2	3
126	данном случае	2	3
127	только к	2	3
128	не было	5	3
129	и сейчас	2	3
130	сводится к	3	3
131	во что	2	3
132	того что	7	3
133	и по	2	3
134	друг друга	2	3
135	таких условиях	2	3
136	тем что	5	3
137	в виде	13	3
138	связи с	2	3
139	из этого	2	3
140	конце концов	5	3
141	и ни	2	3
142	всю эту	2	2
143	а с	4	2
144	этого не	3	2
145	нисколько не	3	2
146	и более	2	2
147	должна быть	2	2
148	у него	24	2
149	по этому	3	2
150	но даже	4	2
151	и от	6	2
152	с этим	2	2
153	точно так	4	2
154	по себе	6	2
155	и вместе	2	2
156	эта работа	2	2
157	ни в	10	2
158	уже не	9	2
159	так что	14	2
160	это есть	10	2
161	но это	6	2
162	является не	3	2
163	ясностью и	2	2
164	есть и	4	2
165	не можем	2	2
166	отличается от	3	2
167	настоящее время	3	2
168	она не	2	2
169	совершенно не	2	2
170	и о	4	2
171	но для	3	2
172	в ней	5	2
173	в котором	4	2
174	в настоящее	3	2
175	на почве	2	2
176	для себя	5	2
177	и тем	3	2
178	не к	2	2
179	для нас	5	2
180	быть и	2	2
181	ее в	3	2
182	даже не	3	2
183	тому что	4	2
184	отношения к	5	2
185	если не	6	2
186	в течение	4	2
187	все эти	5	2
188	не просто	10	2
189	только на	5	2
190	и что	8	2
191	тем самым	2	2
192	а не	8	2
193	и наконец	2	2
194	и даже	6	2
195	не так	3	2
196	к нему	3	2
197	так же	8	2
198	в таком	3	2
199	в результате	4	2
200	больше чем	2	2
201	в силу	2	2
202	не о	2	2
203	даже и	12	2
204	раз навсегда	3	2
205	на себя	2	2
206	мы уже	5	2
207	в начале	2	2
208	если они	2	2
209	в этих	2	2
210	только с	2	2
211	но в	4	2
212	это учение	5	2
