N	2gram	Bakhtin_KF_1	Vladivir
1	и в	24	30
2	то что	7	20
3	в этом	14	20
4	в том	6	18
5	и не	26	18
6	что он	2	13
7	том что	4	12
8	что в	4	12
9	не только	5	12
10	в его	40	11
11	а в	4	11
12	не было	8	10
13	не в	12	9
14	для него	8	9
15	было бы	8	9
16	все же	5	9
17	потому что	2	9
18	не может	27	9
19	в то	3	9
20	в своем	16	8
21	но и	9	8
22	но в	5	8
23	не менее	3	7
24	никогда не	5	7
25	точки зрения	12	7
26	и все	7	7
27	ни в	12	7
28	до конца	3	7
29	может быть	45	7
30	для нас	4	7
31	а не	17	7
32	к этому	2	6
33	прежде всего	2	6
34	тем не	2	6
35	только в	16	6
36	его жизни	3	6
37	в себе	21	6
38	жизни и	8	6
39	и его	17	6
40	и то	2	5
41	и я	5	5
42	по себе	2	5
43	как и	5	5
44	при этом	4	5
45	в своей	10	5
46	как бы	9	5
47	в котором	24	5
48	для себя	5	5
49	так и	2	5
50	все это	10	5
51	того что	3	5
52	все эти	10	5
53	с ним	5	5
54	совсем не	2	4
55	именно в	5	4
56	в это	2	4
57	я не	6	4
58	вовсе не	7	4
59	его в	5	4
60	в этой	2	4
61	в целом	10	4
62	что это	3	4
63	конечно не	7	4
64	и мы	2	4
65	в ней	3	4
66	он не	6	4
67	в нем	28	4
68	не есть	20	4
69	со стороны	7	4
70	то же	5	4
71	ко всему	5	4
72	и на	3	4
73	но это	6	4
74	о том	3	4
75	здесь не	3	4
76	отношение к	5	4
77	это было	2	4
78	для меня	20	4
79	всех этих	3	3
80	хотя бы	4	3
81	едва ли	2	3
82	же время	2	3
83	быть в	4	3
84	в свою	3	3
85	что и	7	3
86	и как	2	3
87	что я	5	3
88	но не	12	3
89	он и	2	3
90	в данном	2	3
91	и для	9	3
92	я его	2	3
93	еще более	2	3
94	с точки	9	3
95	во всех	11	3
96	как в	2	3
97	а это	2	3
98	здесь мы	4	3
99	уже не	7	3
100	должно быть	6	3
101	где он	3	3
102	в виде	2	3
103	его на	2	3
104	и это	12	3
105	дело в	2	3
106	в области	2	3
107	к нему	12	2
108	нисколько не	4	2
109	с тем	2	2
110	и есть	9	2
111	жизни в	5	2
112	это не	10	2
113	если не	2	2
114	раз и	2	2
115	бытия и	10	2
116	тогда когда	3	2
117	меня в	3	2
118	человек не	2	2
119	ему в	2	2
120	можно и	2	2
121	своем месте	2	2
122	на первом	2	2
123	из его	3	2
124	по своему	3	2
125	и может	3	2
126	есть его	2	2
127	кажется что	2	2
128	себе и	3	2
129	не могу	3	2
130	меня не	3	2
131	и потому	2	2
132	о нем	4	2
133	для того	3	2
134	свое бытие	2	2
135	в виду	3	2
136	не имеет	5	2
137	себя в	8	2
138	его и	2	2
139	бытия в	5	2
140	меня и	3	2
141	в их	8	2
142	я должен	7	2
143	как к	2	2
144	но все	5	2
145	и она	2	2
146	того чтобы	2	2
147	что не	3	2
148	в чем	4	2
149	в бытии	26	2
150	в своих	3	2
151	не о	2	2
152	которой он	2	2
153	и жизни	4	2
154	или как	2	2
155	ничего не	3	2
156	я и	2	2
157	мы не	3	2
