N	3gram	Tiupa_Narr_1	Problema
1	тем не менее	3	10
2	в том что	8	9
3	той или иной	4	8
4	в данном случае	4	7
5	в связи с	2	7
6	сами по себе	2	6
7	с другой стороны	4	5
8	не может быть	5	5
9	в таком случае	2	4
10	в то же	3	4
11	что иное как	2	4
12	бы то ни	3	4
13	не что иное	2	4
14	то ни было	3	3
15	точно так же	2	3
16	можно было бы	2	3
17	о том что	6	3
18	того или иного	2	3
19	здесь не в	2	3
20	то есть в	2	3
21	том или ином	2	2
22	и тем самым	3	2
23	то или иное	2	2
24	в том или	2	2
25	в той или	2	2
26	на первый взгляд	2	2
27	с точки зрения	2	2
28	не только в	2	2
29	в отличие от	5	2
30	можно сказать что	4	2
31	этой точки зрения	2	2
