N	3gram	Losev_Vlad_3	Problema
1	о том что	8	9
2	с точки зрения	6	8
3	в том что	10	8
4	в связи с	2	7
5	в конце концов	5	6
6	с другой стороны	2	5
7	тем не менее	9	5
8	необходимо сказать что	5	4
9	в настоящее время	3	3
10	и то что	4	3
11	на первом плане	3	3
12	в то время	4	3
13	в сравнении с	2	3
14	вместе с тем	6	3
15	в этом смысле	3	3
16	с одной стороны	3	3
17	а с другой	2	3
18	то время как	2	3
19	точно так же	4	3
20	также и в	2	2
21	в данном случае	2	2
22	на то что	2	2
23	если не прямо	3	2
24	бы то ни	3	2
25	в те времена	5	2
26	дело в том	5	2
27	во всяком случае	3	2
28	в это время	2	2
29	в таком случае	2	2
30	не может быть	6	2
31	также и то	3	2
32	но даже и	2	2
