N	2gram	Berdyaev_M_2	KulturaY
1	т е	4	32
2	и в	46	23
3	точки зрения	2	23
4	в том	3	22
5	не только	18	17
6	в этом	20	16
7	может быть	21	14
8	что в	4	13
9	в самом	5	13
10	для того	5	12
11	потому что	12	12
12	вопрос о	6	11
13	том что	4	11
14	а не	13	11
15	того что	6	11
16	в его	5	11
17	того чтобы	4	11
18	можно было	2	11
19	у нас	11	10
20	и не	18	10
21	прежде всего	12	9
22	хотя бы	7	9
23	так как	8	9
24	если бы	3	8
25	лишь в	2	8
26	до сих	3	8
27	сих пор	3	8
28	уже не	4	8
29	в нашем	7	7
30	или иной	2	7
31	те же	5	7
32	и что	2	7
33	должно быть	2	7
34	сказать что	3	7
35	того как	3	7
36	для этого	4	6
37	по себе	2	6
38	что и	4	6
39	что он	7	6
40	после того	2	6
41	тот же	2	6
42	так и	4	6
43	не может	15	6
44	то же	5	6
45	связи с	2	6
46	только в	3	6
47	о том	3	6
48	ничего не	2	6
49	что же	2	5
50	я не	5	5
51	и есть	8	5
52	как и	13	5
53	не в	9	5
54	хотя и	2	5
55	что она	5	5
56	как бы	8	5
57	от того	3	5
58	а в	2	5
59	но это	8	5
60	также и	4	5
61	тем что	3	5
62	в чем	3	5
63	и должно	3	5
64	были бы	2	4
65	тому что	4	4
66	один из	5	4
67	для нашей	2	4
68	не случайно	2	4
69	в сущности	2	4
70	в своей	5	4
71	то что	5	4
72	как в	7	4
73	в своем	8	4
74	не было	11	4
75	что не	2	4
76	между тем	2	4
77	которые в	2	4
78	тогда когда	2	4
79	а лишь	2	3
80	уже в	2	3
81	но на	2	3
82	что это	6	3
83	вопроса о	4	3
84	это не	5	3
85	есть не	5	3
86	к тому	5	3
87	и к	7	3
88	в отношении	5	3
89	ни в	3	3
90	это и	3	3
91	то в	2	3
92	по преимуществу	5	3
93	но для	2	3
94	он не	10	3
95	не есть	13	3
96	отношение к	8	3
97	но и	15	3
98	по отношению	2	3
99	и вот	5	3
100	они не	4	3
101	в ней	11	3
102	не имеет	4	3
103	не так	3	3
104	и с	3	3
105	бы и	5	3
106	той же	3	3
107	нас в	2	3
108	сам по	2	3
109	то он	2	3
110	она не	8	3
111	бы не	2	3
112	я и	2	3
113	не означает	2	2
114	понял что	2	2
115	что все	5	2
116	и здесь	6	2
117	что они	3	2
118	чем в	2	2
119	смысле слова	3	2
120	и тот	2	2
121	и если	2	2
122	к другому	3	2
123	она есть	2	2
124	не о	2	2
125	увидим что	2	2
126	его в	3	2
127	есть также	2	2
128	отношению к	2	2
129	вместе с	2	2
130	что есть	2	2
131	как к	2	2
132	еще более	2	2
133	чтобы не	3	2
134	более чем	2	2
135	ни одного	2	2
136	так же	6	2
137	не знает	9	2
138	он в	3	2
139	тому как	2	2
140	доходит до	6	2
141	на этом	2	2
142	в русском	4	2
143	как он	3	2
144	в этих	2	2
145	в россии	3	2
146	но в	10	2
147	е в	2	2
