N	2gram	Vinokur_Vv_1	Narrotol
1	не только	21	32
2	может быть	24	25
3	но и	5	23
4	в качестве	7	21
5	и не	13	20
6	и в	27	19
7	в том	31	18
8	в этом	34	17
9	в тексте	4	16
10	в частности	3	14
11	том что	26	14
12	не в	8	14
13	состоит в	2	13
14	а не	3	12
15	своего рода	3	12
16	тогда как	2	12
17	представляет собой	12	12
18	то что	17	11
19	а в	5	11
20	не может	13	10
21	точки зрения	7	10
22	при этом	3	9
23	со стороны	12	9
24	в его	10	9
25	с другой	8	8
26	в себе	4	8
27	времени и	4	7
28	и т.д	4	7
29	как и	5	7
30	еще не	4	7
31	к тому	4	7
32	такого рода	2	7
33	а также	3	7
34	все же	8	7
35	по отношению	4	7
36	с одной	4	7
37	одной стороны	4	7
38	что он	4	6
39	отношению к	4	6
40	но не	7	6
41	именно в	8	6
42	в той	7	6
43	как это	5	6
44	на протяжении	2	6
45	о том	15	6
46	но в	10	6
47	и как	9	5
48	нуждается в	2	5
49	по себе	9	5
50	можно сказать	3	5
51	себя в	2	5
52	в форме	2	5
53	уже не	5	5
54	к нему	2	5
55	и его	5	5
56	в данном	11	5
57	в отличие	3	5
58	отличие от	3	5
59	в этой	3	5
60	за собой	3	4
61	во втором	2	4
62	прежде всего	8	4
63	в нем	13	4
64	что не	5	4
65	то же	8	4
66	да и	4	4
67	но все	3	4
68	в силу	3	4
69	же время	5	4
70	было бы	5	4
71	связи с	3	4
72	одной из	3	4
73	как бы	5	4
74	речь идет	2	4
75	и тем	5	4
76	хотя бы	5	4
77	данном случае	5	4
78	другой стороны	5	4
79	в особенности	4	4
80	из которых	2	4
81	не мог	2	4
82	в принципе	2	4
83	не столько	2	4
84	сказать что	5	4
85	только в	13	4
86	здесь не	2	4
87	и с	2	4
88	не существует	2	3
89	не менее	8	3
90	же как	3	3
91	что в	11	3
92	могут быть	4	3
93	никогда не	3	3
94	уже в	5	3
95	из этих	5	3
96	в прошлом	2	3
97	тем не	8	3
98	одна из	2	3
99	в сущности	3	3
100	на том	3	3
101	хотя и	3	3
102	в ней	3	3
103	и даже	5	3
104	мог бы	2	3
105	из двух	2	3
106	один из	6	3
107	не с	2	3
108	не есть	4	3
109	в первом	5	3
110	из них	3	3
111	жизни и	2	3
112	в ее	11	3
113	а именно	6	3
114	как будет	2	3
115	этом отношении	3	3
116	который по	2	3
117	как мы	9	3
118	истории в	2	3
119	жизни как	2	3
120	или иначе	4	3
121	и на	3	3
122	будто бы	2	3
123	между тем	8	3
124	тем что	6	3
125	в то	5	3
126	как будто	3	3
127	что это	3	3
128	художественной литературы	2	3
129	дело с	6	2
130	в известном	3	2
131	он сам	3	2
132	зависит от	3	2
133	этого понятия	5	2
134	с чем	2	2
135	независимо от	3	2
136	должна быть	2	2
137	в своем	3	2
138	в какой	4	2
139	первом случае	2	2
140	не как	3	2
141	точно так	2	2
142	в собственном	2	2
143	что именно	2	2
144	и сейчас	2	2
145	будет по	2	2
146	что иное	4	2
147	известном смысле	3	2
148	говорит о	3	2
149	по существу	2	2
150	только о	2	2
151	между ними	2	2
152	в значительной	2	2
153	не что	4	2
154	языка и	12	2
155	несмотря на	2	2
156	например в	2	2
157	наряду с	2	2
158	в обоих	2	2
159	и др	2	2
160	так или	4	2
161	не имеет	4	2
162	во второй	3	2
163	время в	2	2
164	нами не	2	2
165	и до	2	2
166	отношение к	3	2
167	так же	3	2
168	как раз	4	2
169	в связи	2	2
170	все эти	3	2
171	хотя в	2	2
172	самом деле	6	2
173	что мы	2	2
174	времени в	3	2
175	одним из	5	2
176	и для	4	2
177	с точки	2	2
178	это не	8	2
179	можно было	7	2
180	в результате	3	2
181	тем более	2	2
182	каждый из	2	2
183	однако в	3	2
184	одно из	5	2
185	может оказаться	3	2
186	и ее	4	2
187	но как	2	2
188	говорить о	3	2
189	этого слова	2	2
190	его в	6	2
191	представляют собой	6	2
192	когда мы	2	2
193	а если	2	2
194	ничего не	2	2
195	мы имеем	3	2
196	иное как	5	2
197	истории и	4	2
198	о чем	4	2
199	что нет	2	2
