N	2gram	Berdyaev_M_1	Poddanst
1	не только	29	17
2	и в	28	14
3	и не	11	12
4	в этом	20	10
5	в том	6	9
6	но в	7	9
7	хотя бы	3	8
8	в то	2	7
9	только в	6	7
10	быть может	7	6
11	но и	25	6
12	в ней	15	6
13	xix века	4	6
14	было бы	10	6
15	не в	16	5
16	в которых	4	5
17	отношении к	2	5
18	может быть	30	5
19	в котором	8	4
20	то что	5	4
21	что в	10	4
22	если бы	2	4
23	в своем	10	4
24	не может	28	4
25	и к	2	4
26	а в	4	4
27	том что	3	4
28	на путях	3	4
29	на пути	4	4
30	как бы	2	4
31	и потому	10	4
32	в нем	13	3
33	с тем	9	3
34	в россии	2	3
35	это не	5	3
36	т е	2	3
37	прежде всего	10	3
38	для того	2	3
39	и как	2	3
40	но не	8	3
41	могут быть	2	3
42	точки зрения	4	3
43	в себе	7	3
44	потому что	16	3
45	в мире	10	2
46	не к	4	2
47	для них	3	2
48	и есть	14	2
49	заключает в	3	2
50	в них	4	2
51	все это	6	2
52	и достоевского	2	2
53	отношения к	4	2
54	с этим	3	2
55	в жизни	3	2
56	и вот	3	2
57	а не	25	2
58	того что	7	2
59	к чему	2	2
60	должно быть	3	2
61	для нас	3	2
62	в ее	3	2
63	духа и	4	2
64	есть не	4	2
65	по сравнению	2	2
66	не было	18	2
67	в начале	2	2
68	и мы	2	2
69	и это	12	2
70	в его	9	2
71	и с	3	2
