N	2gram	Potebnia_M_2	VerxiiNi
1	и в	24	26
2	таким образом	11	22
3	с тем	4	18
4	вместе с	11	15
5	в этом	8	15
6	как бы	9	12
7	в том	18	11
8	может быть	23	10
9	не только	15	10
10	из этих	4	10
11	связи с	6	9
12	что в	16	9
13	но и	9	9
14	так как	10	9
15	с другой	6	8
16	главным образом	4	8
17	но не	12	8
18	в общем	2	8
19	и не	19	8
20	и у	3	8
21	как на	3	8
22	связанные с	2	7
23	том что	8	7
24	но все	2	7
25	одной стороны	3	7
26	из них	5	7
27	то что	20	7
28	а с	2	7
29	с одной	4	7
30	потому что	49	7
31	но в	4	7
32	и потому	2	6
33	того же	14	6
34	всяком случае	7	6
35	что и	11	6
36	все же	5	6
37	так и	5	6
38	все это	2	6
39	все эти	2	6
40	во всяком	7	6
41	в себе	10	6
42	мы должны	2	6
43	о том	5	6
44	образом в	4	5
45	крайней мере	5	5
46	до сих	4	5
47	в его	2	5
48	никогда не	4	5
49	сих пор	4	5
50	или менее	8	5
51	так же	2	5
52	а не	18	5
53	того чтобы	2	5
54	для того	5	5
55	не имеет	6	5
56	и для	3	5
57	более или	8	5
58	по крайней	5	5
59	в этих	3	4
60	и от	3	4
61	что все	2	4
62	и вместе	4	4
63	что он	4	4
64	в нем	9	4
65	в самом	4	4
66	в котором	4	4
67	не может	12	4
68	и только	6	4
69	а в	8	4
70	то же	12	4
71	что оно	4	4
72	и что	4	4
73	и тогда	3	4
74	и по	2	4
75	с другими	5	4
76	ничем не	2	4
77	во время	4	4
78	в то	6	4
79	только в	11	4
80	то есть	30	4
81	далеко не	3	4
82	не менее	5	3
83	что это	3	3
84	если бы	11	3
85	хотя бы	2	3
86	точно так	9	3
87	к этому	2	3
88	для него	10	3
89	с самого	2	3
90	так что	10	3
91	и как	6	3
92	и при	3	3
93	и если	4	3
94	если в	3	3
95	тем не	6	3
96	в связи	2	3
97	при этом	13	3
98	уже не	4	3
99	того что	7	3
100	в которой	5	3
101	в таком	4	3
102	в других	4	3
103	в одном	6	3
104	уже в	5	2
105	не могут	7	2
106	самого начала	2	2
107	с его	2	2
108	ни было	3	2
109	состоит в	2	2
110	одно из	3	2
111	перестает быть	2	2
112	из себя	2	2
113	в них	5	2
114	превращается в	2	2
115	только для	5	2
116	не как	3	2
117	тогда когда	10	2
118	на все	3	2
119	прежде всего	7	2
120	в свою	6	2
121	на то	5	2
122	от них	3	2
123	этого последнего	3	2
124	и здесь	2	2
125	сознании и	2	2
126	все что	3	2
127	же время	2	2
128	так например	3	2
129	связано с	2	2
130	что мы	11	2
131	тот же	5	2
132	еще не	4	2
133	мысль о	7	2
134	общего с	2	2
135	вслед за	3	2
136	но если	2	2
137	но вместе	2	2
138	и проч	10	2
139	один из	2	2
140	не с	3	2
141	во всех	7	2
142	и сами	4	2
143	заключает в	4	2
144	в создании	3	2
145	только что	3	2
146	не было	6	2
147	если не	4	2
148	те же	3	2
149	в самой	3	2
150	в одно	8	2
151	его не	3	2
152	и на	8	2
153	можно назвать	2	2
154	сказать что	2	2
155	не в	13	2
156	мы можем	12	2
157	о котором	2	2
158	или по	2	2
159	и все	3	2
160	и это	2	2
161	относится к	3	2
162	них не	3	2
163	в эту	3	2
164	к которому	2	2
165	между тем	6	2
