N	2gram	Losev_Vlad_2	RusskieA
1	и в	30	29
2	что в	12	22
3	том что	12	22
4	в том	18	22
5	как бы	5	18
6	может быть	7	13
7	так как	5	13
8	там же	12	12
9	как и	5	11
10	в этом	20	11
11	все это	5	10
12	и с	14	10
13	не только	12	10
14	о том	4	9
15	а в	11	9
16	во многих	2	9
17	но и	8	8
18	а а	3	8
19	с в	4	8
20	его в	4	8
21	мы видели	2	7
22	данном случае	2	7
23	как в	3	7
24	с тем	2	6
25	мы не	2	6
26	же в	2	6
27	для того	2	6
28	для нас	7	6
29	вместе с	8	6
30	таким образом	3	6
31	при этом	5	6
32	того чтобы	2	6
33	и на	4	6
34	в данном	3	6
35	на земле	2	5
36	потому что	9	5
37	это не	2	5
38	к этому	6	5
39	то что	20	5
40	и что	5	5
41	но не	3	5
42	с ней	2	5
43	не может	9	5
44	к вам	2	5
45	будто бы	2	5
46	но в	8	5
47	именно в	4	4
48	о чем	6	4
49	в них	3	4
50	и все	7	4
51	а за	2	4
52	тогда когда	2	4
53	уже не	3	4
54	по существу	3	4
55	так что	5	4
56	не в	9	4
57	к нему	2	4
58	том же	3	4
59	а также	10	4
60	так же	4	4
61	то же	4	4
62	у нас	6	4
63	а не	7	4
64	в таком	3	4
65	их в	2	4
66	в виде	3	4
67	как это	7	4
68	на этом	2	3
69	должен был	3	3
70	в этих	4	3
71	и от	2	3
72	в году	24	3
73	на первый	2	3
74	она не	2	3
75	а н	14	3
76	до конца	7	3
77	того что	5	3
78	было бы	9	3
79	и о	4	3
80	в котором	5	3
81	не имеет	2	3
82	во всех	3	3
83	в последний	3	3
84	только тогда	2	3
85	а именно	6	3
86	в отличие	3	3
87	что для	2	3
88	все эти	5	3
89	и по	2	3
90	друг друга	2	3
91	как мы	11	3
92	но он	3	3
93	в этой	4	3
94	что это	4	3
95	отличие от	3	3
96	а он	2	2
97	не менее	7	2
98	начиная с	2	2
99	с этой	4	2
100	связи с	8	2
101	об этом	6	2
102	никогда не	7	2
103	жизни в	2	2
104	к числу	2	2
105	не столько	3	2
106	из этих	3	2
107	это в	3	2
108	прежде всего	6	2
109	не был	2	2
110	нет никаких	2	2
111	что и	3	2
112	к ней	3	2
113	кроме того	9	2
114	и как	3	2
115	и при	2	2
116	по возвращении	2	2
117	совсем не	4	2
118	то время	6	2
119	здесь в	2	2
120	после того	2	2
121	на эту	2	2
122	тем не	6	2
123	из этого	5	2
124	в виду	2	2
125	еще в	2	2
126	н ф	5	2
127	все же	9	2
128	в своей	5	2
129	том чтобы	2	2
130	в их	2	2
131	того как	2	2
132	не было	10	2
133	в течение	5	2
134	здесь мы	3	2
135	ее на	2	2
136	не говорится	2	2
137	и для	3	2
138	должно быть	3	2
139	можно было	2	2
140	на руках	2	2
141	а к	2	2
142	в своих	2	2
143	и то	5	2
144	которое в	2	2
145	также что	2	2
146	с этим	5	2
147	это время	4	2
148	под названием	3	2
149	в то	9	2
150	когда мы	3	2
151	в которой	4	2
152	церкви и	2	2
