N	2gram	Trubetskoy_1	Literetu
1	не только	7	24
2	при этом	9	19
3	но и	9	17
4	в том	30	16
5	в частности	2	15
6	том что	19	14
7	может быть	16	13
8	тогда как	6	13
9	и не	8	12
10	в этом	12	12
11	прежде всего	3	11
12	в своем	10	11
13	то что	18	10
14	или иначе	5	9
15	так или	5	8
16	не в	8	8
17	в целом	5	8
18	и в	23	8
19	только в	6	8
20	не менее	7	7
21	я не	2	7
22	в его	5	7
23	как бы	10	7
24	в себе	5	7
25	в жизни	3	6
26	как и	9	6
27	и сам	2	6
28	связи с	4	6
29	того что	6	6
30	точки зрения	13	6
31	то есть	2	6
32	с этой	3	5
33	что он	7	5
34	же время	2	5
35	я в	2	5
36	для себя	2	5
37	не может	17	5
38	то же	4	5
39	тем самым	3	5
40	одним из	4	5
41	в данном	3	5
42	в то	6	5
43	отличие от	3	5
44	для этого	7	4
45	столь же	5	4
46	это не	3	4
47	в конце	4	4
48	в силу	7	4
49	но не	2	4
50	культуры в	10	4
51	еще не	5	4
52	все же	13	4
53	из них	5	4
54	данном случае	3	4
55	так и	10	4
56	никогда не	4	4
57	в связи	3	4
58	лишь в	5	4
59	друг друга	2	4
60	в своих	2	4
61	в этой	6	4
62	в основе	2	3
63	не было	2	3
64	что в	8	3
65	с другой	6	3
66	самого себя	4	3
67	сводится к	2	3
68	что его	4	3
69	одна из	2	3
70	в самом	8	3
71	несмотря на	6	3
72	у него	5	3
73	том же	4	3
74	жизни и	2	3
75	в их	4	3
76	по отношению	9	3
77	а в	3	3
78	таким образом	31	3
79	тем же	2	3
80	потому что	9	3
81	во всяком	2	3
82	одно из	3	3
83	но в	4	3
84	по своей	7	3
85	также и	2	3
86	далеко не	5	3
87	его в	5	3
88	тех же	2	3
89	в области	4	3
90	в виду	2	3
91	на этом	2	2
92	во имя	3	2
93	должна быть	5	2
94	по этому	2	2
95	отнюдь не	2	2
96	все они	5	2
97	та же	3	2
98	из этих	8	2
99	в себя	2	2
100	в индивидуальном	2	2
101	а потому	5	2
102	в мире	6	2
103	к тому	8	2
104	тем не	4	2
105	тому же	6	2
106	и того	3	2
107	в другом	2	2
108	со временем	2	2
109	того же	9	2
110	от тех	3	2
111	для него	2	2
112	одной стороны	2	2
113	было бы	3	2
114	общего с	2	2
115	культуре и	4	2
116	всяком случае	2	2
117	на почве	3	2
118	даже в	3	2
119	в нем	3	2
120	не есть	2	2
121	отношению к	9	2
122	только то	2	2
123	на том	2	2
124	в сущности	2	2
125	как сказано	4	2
126	то и	2	2
127	и только	2	2
128	с одной	3	2
129	все эти	19	2
130	из того	4	2
131	от себя	2	2
132	самом деле	12	2
133	ко всему	2	2
134	во втором	2	2
135	хотя бы	4	2
136	с точки	8	2
137	что для	4	2
138	освободиться от	2	2
139	и то	4	2
140	так называемого	5	2
141	между тем	12	2
142	тем более	3	2
143	как будто	5	2
144	ту же	2	2
145	о том	7	2
146	и культуры	4	2
147	в сознании	6	2
148	а для	2	2
