N	2gram	Voloshinov_1	Stilisti
1	и в	13	42
2	как бы	6	27
3	не только	6	27
4	и т.п	7	24
5	прежде всего	9	22
6	и т.д	5	20
7	хотя бы	5	17
8	но и	3	15
9	то же	4	15
10	и не	8	14
11	социального общения	6	14
12	может быть	8	12
13	не может	8	12
14	точки зрения	7	11
15	как и	3	11
16	мы уже	2	11
17	мы должны	6	10
18	в этом	2	10
19	при этом	2	9
20	то что	6	9
21	мы не	4	9
22	все же	5	8
23	в ней	2	8
24	таким образом	6	8
25	что же	3	8
26	в себе	3	8
27	никогда не	3	7
28	зависимости от	2	7
29	и тем	2	7
30	так как	3	7
31	в зависимости	2	7
32	слов и	4	7
33	было бы	4	7
34	а не	2	7
35	и его	12	7
36	мы можем	4	7
37	только в	6	7
38	в которой	3	7
39	точку зрения	3	6
40	не в	3	6
41	но ведь	5	6
42	в нем	2	6
43	в процессе	5	6
44	так и	3	6
45	в области	2	6
46	уже в	2	5
47	и следовательно	2	5
48	и является	2	5
49	не является	4	5
50	и их	7	5
51	те же	2	5
52	с помощью	2	5
53	а в	2	5
54	и наконец	5	5
55	того или	2	5
56	в сознании	4	5
57	или иного	2	5
58	одно и	3	5
59	в его	7	5
60	с точки	5	5
61	слова и	2	5
62	самого начала	2	4
63	в каждом	4	4
64	к тому	2	4
65	интонацию и	2	4
66	с самого	2	4
67	общения и	2	4
68	в самом	2	4
69	все это	4	4
70	языка и	5	4
71	так же	2	4
72	жизненного высказывания	2	4
73	бы в	2	4
74	но в	4	4
75	если бы	2	4
76	не что	2	4
77	и к	2	4
78	мы видим	2	4
79	самом деле	3	4
80	и пр	7	4
81	и то	3	4
82	вопроса о	4	4
83	связанных с	2	3
84	человеческой речи	2	3
85	здесь мы	3	3
86	которое может	2	3
87	и эта	5	3
88	не мог	2	3
89	но для	3	3
90	и уже	3	3
91	в целом	2	3
92	лишь в	4	3
93	нуждается в	2	3
94	т.п и	3	3
95	и все	3	3
96	в одном	3	3
97	социальной группы	4	3
98	в ее	3	3
99	том что	2	3
100	в тех	2	3
101	да и	3	3
102	вряд ли	3	3
103	и для	3	3
104	роль в	2	3
105	может стать	2	3
106	членораздельной речи	3	2
107	не сумеем	2	2
108	иное как	2	2
109	же слово	2	2
110	литературное произведение	2	2
111	в том	2	2
112	для него	2	2
113	в пределах	3	2
114	несмотря на	2	2
115	подойти к	2	2
116	но мы	4	2
117	конечно мы	2	2
118	в связи	2	2
119	в отношении	2	2
120	еще и	4	2
121	все эти	2	2
122	в материале	5	2
123	который мы	2	2
124	в своих	2	2
125	и внутренняя	2	2
126	что иное	2	2
127	нет ничего	2	2
128	жизненной речи	2	2
129	с этим	3	2
130	связанные с	2	2
131	есть не	2	2
132	речи не	2	2
133	и при	2	2
134	ни один	3	2
135	тот же	2	2
136	и этот	2	2
137	лишь путем	2	2
138	в своей	4	2
139	как в	2	2
140	выбор и	2	2
141	в языке	2	2
142	тем что	2	2
