N	2gram	Voloshinov_1	Komedia
1	и в	16	22
2	и не	4	21
3	том что	3	13
4	в том	3	12
5	таким образом	9	12
6	так как	4	11
7	ни в	5	10
8	до сих	3	9
9	в самом	2	9
10	вместе с	3	9
11	сих пор	3	9
12	что он	2	8
13	в его	4	8
14	что и	2	8
15	в этом	9	8
16	о том	2	8
17	его в	4	8
18	при этом	6	7
19	то же	2	7
20	едва ли	3	7
21	а в	3	7
22	во время	3	6
23	к этому	2	6
24	того же	2	6
25	еще не	5	6
26	может быть	17	6
27	самом деле	6	6
28	и его	8	6
29	не менее	2	5
30	что в	3	5
31	прежде всего	9	5
32	как это	3	5
33	не только	7	5
34	в своей	2	5
35	отношение к	5	5
36	все это	4	5
37	он не	2	5
38	к себе	3	5
39	с ним	2	5
40	но в	4	5
41	с самого	4	4
42	самого начала	4	4
43	у него	2	4
44	отнюдь не	4	4
45	между собой	2	4
46	нет и	2	4
47	то что	3	4
48	но и	4	4
49	меньше всего	2	4
50	с помощью	2	4
51	и для	2	4
52	так же	2	4
53	точки зрения	8	4
54	так и	4	4
55	хотя бы	4	4
56	и с	8	4
57	с его	7	3
58	в частности	2	3
59	никогда не	2	3
60	в них	2	3
61	на них	2	3
62	с этой	2	3
63	с этим	2	3
64	по всему	2	3
65	в нем	4	3
66	и к	6	3
67	как и	2	3
68	в начале	2	3
69	в этой	4	3
70	по своему	2	3
71	все что	4	3
72	было бы	2	3
73	и мы	2	3
74	конечно не	6	3
75	к ним	2	3
76	как бы	5	3
77	один из	2	3
78	даже не	3	3
79	не может	8	3
80	что не	2	3
81	с точки	6	3
82	и даже	4	3
83	их в	3	3
84	мы можем	9	3
85	во всяком	3	3
86	говорить о	2	3
87	не знает	2	3
88	и этим	2	3
89	всяком случае	3	3
90	в основе	3	2
91	только для	5	2
92	ни было	2	2
93	себя и	2	2
94	конечном счете	2	2
95	назад в	3	2
96	сравнению с	3	2
97	не будет	2	2
98	и все	4	2
99	в одном	3	2
100	не могут	2	2
101	нет никаких	2	2
102	если мы	2	2
103	мы знаем	3	2
104	аналогии с	2	2
105	а на	2	2
106	в пределах	2	2
107	только как	3	2
108	совершенно не	8	2
109	за пределы	2	2
110	при всей	2	2
111	и о	2	2
112	в конечном	3	2
113	в свое	2	2
114	между ними	3	2
115	в развитии	2	2
116	по сравнению	3	2
117	во всех	3	2
118	как мы	4	2
119	отношения к	3	2
120	мы не	2	2
121	все остальные	2	2
122	с другими	3	2
123	и на	4	2
124	нуждается в	5	2
125	и ее	4	2
126	что мы	2	2
127	и это	6	2
128	в области	3	2
129	к отцу	6	2
