N	2gram	Tiupa_Anal_2	Myshleni
1	речи и	2	28
2	точки зрения	4	26
3	таким образом	2	26
4	в том	12	24
5	и в	16	23
6	том что	12	21
7	в целом	8	20
8	с точки	2	18
9	то что	7	17
10	в этом	18	17
11	так же	2	16
12	не только	16	16
13	того что	2	15
14	что в	2	14
15	может быть	6	14
16	но и	12	14
17	как и	14	14
18	в его	2	14
19	речи в	2	14
20	не может	4	12
21	как бы	10	11
22	сказать что	2	11
23	представляет собой	8	11
24	с другой	6	10
25	прежде всего	3	10
26	в качестве	11	9
27	одной стороны	4	9
28	другой стороны	2	9
29	и не	12	9
30	между тем	2	9
31	вместе с	2	9
32	внутренней речи	4	9
33	в ходе	4	8
34	с одной	5	8
35	нас к	2	8
36	и на	6	8
37	то же	4	8
38	как уже	3	7
39	в этой	9	7
40	в самом	6	7
41	по отношению	4	7
42	в то	2	7
43	отношению к	4	7
44	столь же	4	6
45	и тем	4	6
46	все это	4	6
47	именно в	3	6
48	лишь в	9	6
49	о том	7	6
50	в сущности	4	6
51	и его	4	6
52	тем что	3	6
53	в себе	7	6
54	только в	4	6
55	можно сказать	4	5
56	на то	2	5
57	по себе	2	5
58	и все	3	5
59	бы в	3	5
60	если бы	3	5
61	но в	6	5
62	а затем	2	5
63	он не	2	5
64	так и	15	5
65	как мы	3	5
66	тем самым	4	5
67	и т.д	3	5
68	но не	4	4
69	что все	2	4
70	не в	4	4
71	при этом	10	4
72	с действительностью	2	4
73	что она	2	4
74	в котором	2	4
75	не столько	3	4
76	этом отношении	3	4
77	в результате	3	4
78	одну из	2	4
79	для всех	2	4
80	в одном	2	4
81	к этому	2	4
82	и к	5	4
83	по существу	2	4
84	было бы	3	4
85	к тому	7	4
86	в своей	2	4
87	как в	4	4
88	приводит к	3	4
89	как раз	4	4
90	этого слова	3	4
91	в своем	4	3
92	одного из	3	3
93	в общем	2	3
94	и если	3	3
95	в их	3	3
96	отношения к	2	3
97	вовсе не	2	3
98	превращается в	2	3
99	во всех	4	3
100	она не	2	3
101	на две	3	3
102	а не	10	3
103	на этот	2	3
104	можно было	3	3
105	и то	3	3
106	он в	4	3
107	могут быть	10	3
108	ответ на	3	3
109	ничего не	9	3
110	в противоположность	2	2
111	в изложении	2	2
112	в частности	16	2
113	никогда не	3	2
114	в нашем	3	2
115	или даже	2	2
116	в конце	4	2
117	на этом	4	2
118	же время	2	2
119	что с	2	2
120	для него	4	2
121	о чем	2	2
122	несмотря на	3	2
123	вслед за	2	2
124	хотя и	4	2
125	не имеет	2	2
126	один из	2	2
127	не с	4	2
128	с той	2	2
129	и до	2	2
130	данном случае	5	2
131	значительной степени	2	2
132	той же	2	2
133	при переходе	2	2
134	и даже	9	2
135	а в	3	2
136	одно из	2	2
137	в словах	3	2
138	к его	2	2
139	говорить о	6	2
140	в этих	2	2
141	как это	6	2
142	речь идет	2	2
143	в состоянии	2	2
144	и я	2	2
145	в значительной	2	2
146	в один	4	2
147	за пределы	4	2
148	иначе говоря	11	2
149	даже в	2	2
150	как говорит	2	2
151	строго говоря	2	2
152	всего в	2	2
153	на него	2	2
154	в двух	2	2
155	ключ к	3	2
156	уже не	4	2
157	и слово	2	2
158	в речи	3	2
159	в данном	8	2
160	между двумя	4	2
161	этого рода	2	2
162	представляют собой	2	2
163	едва ли	3	2
