N	2gram	Ircho_Kome_1	Freidism
1	таким образом	8	24
2	и не	8	23
3	не может	2	20
4	точки зрения	4	19
5	прежде всего	5	18
6	в этом	3	15
7	в его	5	15
8	мы можем	4	13
9	может быть	9	13
10	и его	8	12
11	как и	9	11
12	то что	2	11
13	так и	5	10
14	как мы	4	10
15	его в	3	10
16	но в	4	10
17	и в	22	9
18	по отношению	3	9
19	все что	2	8
20	что он	6	8
21	отношению к	3	8
22	еще не	2	8
23	он не	3	8
24	не только	10	8
25	все это	5	8
26	то же	6	8
27	только в	3	8
28	и все	3	8
29	так как	4	8
30	мы знаем	2	7
31	ни в	6	7
32	тот же	3	7
33	к нему	2	7
34	во всяком	2	7
35	один из	5	7
36	мы видели	2	7
37	отношение к	3	7
38	в самом	2	7
39	всяком случае	2	7
40	вовсе не	2	6
41	и ее	3	6
42	за пределы	2	6
43	и с	3	6
44	на протяжении	4	6
45	в свою	2	5
46	в период	2	5
47	не в	6	5
48	в этой	7	5
49	в чем	3	5
50	для этого	2	5
51	в то	10	5
52	что в	6	5
53	но и	11	5
54	в себя	2	5
55	а в	6	5
56	и на	3	5
57	могут быть	3	5
58	не менее	3	4
59	но не	2	4
60	в котором	4	4
61	то ни	2	4
62	к тому	6	4
63	же время	4	4
64	на которые	2	4
65	на этом	2	4
66	связанные с	2	4
67	при этом	5	4
68	и о	3	4
69	как раз	3	4
70	в нем	4	4
71	все же	3	4
72	на основании	3	4
73	совсем не	2	4
74	в которой	6	4
75	мы не	3	4
76	потому что	5	4
77	в более	3	4
78	во время	5	4
79	главным образом	3	3
80	в них	3	3
81	на себя	2	3
82	в себе	2	3
83	он был	2	3
84	и как	3	3
85	но это	2	3
86	по своему	3	3
87	по поводу	4	3
88	было бы	2	3
89	ее в	2	3
90	с ее	2	3
91	бы то	2	3
92	на него	4	3
93	вместе с	2	3
94	со стороны	2	3
95	как в	5	3
96	и вот	4	3
97	и по	6	3
98	такой же	2	3
99	у него	3	3
100	одна из	2	3
101	в сознании	3	3
102	в отношении	6	2
103	уже в	5	2
104	для всех	2	2
105	чаще всего	3	2
106	для себя	2	2
107	того же	2	2
108	с другой	5	2
109	в конце	6	2
110	и теперь	2	2
111	к этому	4	2
112	или вовсе	3	2
113	же самое	2	2
114	тем не	2	2
115	до конца	2	2
116	да и	3	2
117	ни было	2	2
118	том что	12	2
119	из всего	2	2
120	всего этого	2	2
121	одной стороны	3	2
122	из них	10	2
123	на всю	3	2
124	конце концов	4	2
125	относится к	2	2
126	на две	2	2
127	во второй	3	2
128	сих пор	2	2
129	также в	2	2
130	в их	4	2
131	и таким	2	2
132	даже если	2	2
133	которых мы	2	2
134	этом отношении	3	2
135	с одной	3	2
136	и у	3	2
137	и даже	5	2
138	и притом	2	2
139	к этим	3	2
140	так же	3	2
141	отличие от	2	2
142	здесь в	3	2
143	правда в	2	2
144	чем же	2	2
145	можно сделать	3	2
146	в своих	2	2
147	что и	4	2
148	в другом	4	2
149	которые он	2	2
150	до сих	2	2
151	тех же	2	2
152	как это	3	2
153	в области	2	2
154	даже самых	2	2
