N	2gram	Potebnia_M_1	formyVre
1	и в	39	46
2	в этом	15	22
3	прежде всего	4	14
4	и т	6	14
5	вовсе не	5	13
6	и его	5	12
7	только в	25	11
8	не только	21	11
9	во всех	5	11
10	т п	4	11
11	в том	26	10
12	как бы	6	10
13	точки зрения	8	10
14	то есть	42	10
15	но в	9	10
16	не в	15	9
17	вместе с	8	9
18	но и	20	9
19	и не	18	9
20	и для	5	9
21	связи с	3	8
22	как и	9	8
23	в его	5	8
24	жизни и	2	8
25	то же	6	8
26	того чтобы	2	8
27	для того	3	8
28	с точки	3	8
29	потому что	52	8
30	в них	3	7
31	в одном	8	7
32	может быть	27	7
33	то что	10	7
34	так и	13	7
35	так сказать	2	7
36	никогда не	4	6
37	и во	3	6
38	и все	3	6
39	при этом	6	6
40	как мы	2	6
41	еще не	6	6
42	все же	6	6
43	так как	21	6
44	и с	3	6
45	в своем	3	5
46	с этим	7	5
47	в то	4	5
48	но не	8	5
49	он не	3	5
50	в нем	20	5
51	что в	22	5
52	в смысле	4	5
53	должно быть	7	5
54	с этой	2	4
55	из этих	4	4
56	же время	4	4
57	с ним	3	4
58	значение и	2	4
59	же в	2	4
60	том что	16	4
61	так что	16	4
62	том же	2	4
63	в мире	3	4
64	и их	3	4
65	как в	10	4
66	еще более	2	4
67	а не	21	4
68	в себе	13	4
69	в истории	7	4
70	о том	2	4
71	и самое	2	4
72	не было	4	3
73	прежде чем	3	3
74	мы будем	2	3
75	все они	2	3
76	того же	3	3
77	переходим к	2	3
78	к тому	4	3
79	следовательно и	2	3
80	и как	6	3
81	тем более	2	3
82	для него	4	3
83	том как	3	3
84	имеет место	2	3
85	хотя и	3	3
86	что на	6	3
87	что и	6	3
88	слова и	4	3
89	но эти	2	3
90	т д	4	3
91	таким образом	13	3
92	в их	2	3
93	уже не	2	3
94	того что	8	3
95	и даже	4	3
96	и по	6	3
97	а в	5	3
98	тем что	9	3
99	в этих	7	3
100	не могли	2	3
101	в виду	2	3
102	только для	3	2
103	природа и	2	2
104	столько же	3	2
105	и более	2	2
106	не были	2	2
107	и есть	2	2
108	друг другу	3	2
109	друг от	2	2
110	с другой	7	2
111	и других	4	2
112	это не	7	2
113	эти формы	2	2
114	что все	3	2
115	по себе	10	2
116	влияние на	2	2
117	о его	2	2
118	все в	2	2
119	в самой	3	2
120	не мог	3	2
121	у нас	2	2
122	мы видим	4	2
123	в этой	3	2
124	с тем	5	2
125	утверждает что	2	2
126	все что	2	2
127	она не	3	2
128	было бы	12	2
129	от друга	2	2
130	в сущности	2	2
131	и о	2	2
132	словом и	2	2
133	к ним	2	2
134	и потому	5	2
135	явлений и	3	2
136	и дух	4	2
137	мы видели	4	2
138	после этого	2	2
139	не может	22	2
140	и только	2	2
141	если не	2	2
142	с одной	3	2
143	связи между	2	2
144	душе и	2	2
145	тем же	2	2
146	и всегда	2	2
147	так же	5	2
148	как на	3	2
149	но это	5	2
150	то в	5	2
151	и от	3	2
152	могут быть	9	2
153	но он	2	2
154	не могла	2	2
155	человеческой природы	3	2
156	и это	3	2
157	там где	4	2
158	и должно	2	2
159	во всяком	3	2
