N	2gram	Losev_Vlad_1	VelikijI
1	и не	17	20
2	и в	31	16
3	то что	18	9
4	так как	8	9
5	еще не	2	8
6	в истории	4	8
7	что они	3	7
8	и потому	6	7
9	бога и	2	5
10	хотя и	4	5
11	но и	19	5
12	все это	5	5
13	того что	2	5
14	на себя	3	5
15	во мне	2	4
16	что все	2	4
17	и я	2	4
18	что он	12	4
19	в нем	4	4
20	как и	4	4
21	все что	2	4
22	что мы	2	4
23	в котором	6	4
24	так и	6	4
25	потому что	11	4
26	в этом	14	4
27	и все	4	4
28	в его	12	4
29	с его	11	3
30	если не	3	3
31	что в	14	3
32	по этому	2	3
33	в них	2	3
34	в конце	9	3
35	в жизни	3	3
36	ни в	2	3
37	в том	11	3
38	не в	5	3
39	но это	3	3
40	что я	2	3
41	тот же	3	3
42	и мы	2	3
43	к тому	3	3
44	никогда не	9	3
45	что и	5	3
46	в социализме	2	3
47	жизни и	5	3
48	в своей	4	3
49	не было	5	3
50	лишь в	2	3
51	и что	6	3
52	хотя бы	2	3
53	и для	2	3
54	все эти	3	3
55	в чем	2	3
56	но в	12	3
57	и теперь	4	2
58	с тем	2	2
59	человека как	3	2
60	его к	2	2
61	для нас	4	2
62	да и	4	2
63	том что	14	2
64	а к	22	2
65	мы и	4	2
66	от него	2	2
67	но не	3	2
68	это мы	2	2
69	конечно не	2	2
70	для него	7	2
71	и сам	6	2
72	того чтобы	2	2
73	не только	24	2
74	нет и	2	2
75	один из	4	2
76	но мы	2	2
77	и т	2	2
78	и за	2	2
79	т д	2	2
80	а с	5	2
81	тем что	2	2
82	уже не	3	2
83	тем кто	2	2
84	и никогда	2	2
85	а в	9	2
86	с ним	5	2
87	и то	10	2
88	вера в	2	2
89	только в	9	2
90	о высшем	2	2
91	и это	2	2
92	во всяком	2	2
