N	2gram	Tiupa_Lite_2	SlovoVZh
1	не может	9	16
2	точки зрения	4	14
3	может быть	17	14
4	и его	3	13
5	как бы	2	13
6	и в	19	12
7	в нашем	2	11
8	отношению к	3	11
9	по отношению	4	11
10	и не	11	10
11	так как	3	9
12	прежде всего	4	8
13	для нас	2	7
14	в нем	3	6
15	при этом	6	6
16	в том	10	6
17	слова и	7	6
18	в ней	4	6
19	и др	3	5
20	в жизни	2	5
21	то что	7	5
22	никогда не	3	5
23	а не	20	5
24	то же	12	5
25	хотя бы	2	5
26	как и	10	5
27	том что	7	5
28	отнюдь не	4	5
29	но в	2	5
30	в виду	2	5
31	и к	2	4
32	ни было	2	4
33	все же	2	4
34	жизни и	4	4
35	так и	7	4
36	с другой	8	4
37	уже не	2	4
38	что не	2	4
39	не в	4	4
40	в этом	9	4
41	и на	6	4
42	не только	8	4
43	в них	2	3
44	не к	2	3
45	не менее	6	3
46	в художественном	2	3
47	как к	3	3
48	в такой	2	3
49	это как	2	3
50	но и	10	3
51	того что	5	3
52	и наконец	2	3
53	тем не	2	3
54	мы не	4	3
55	и с	3	3
56	о том	2	3
57	художественного творчества	2	3
58	в себе	6	3
59	для него	4	3
60	еще не	2	3
61	в поэзии	3	3
62	и для	3	3
63	с ним	2	3
64	перестает быть	3	2
65	уже в	2	2
66	с этой	2	2
67	что и	2	2
68	что в	4	2
69	данном случае	3	2
70	вместе с	5	2
71	себя и	2	2
72	а к	2	2
73	в какой	2	2
74	другой стороны	4	2
75	с одной	7	2
76	в себя	3	2
77	и что	2	2
78	едва ли	4	2
79	не так	2	2
80	с точки	3	2
81	как на	3	2
82	но это	3	2
83	такой же	3	2
84	в данном	3	2
85	и то	3	2
86	но не	5	2
87	могут быть	2	2
88	но тем	4	2
89	одно и	2	2
90	до конца	2	2
91	в то	9	2
92	одной стороны	6	2
93	как уже	2	2
94	как это	2	2
95	ничего не	3	2
96	он не	5	2
97	в его	4	2
