N	3gram	Vinokur_Ku_2	Problema
1	тем не менее	5	18
2	и т д	14	10
3	на то что	2	8
4	и тем не	4	8
5	для того чтобы	8	8
6	в этом смысле	5	6
7	в том что	10	5
8	в то же	3	4
9	точно так же	3	4
10	в конце концов	3	4
11	в связи с	3	4
12	и вовсе не	2	4
13	на самом деле	2	4
14	с точки зрения	8	3
15	можно сказать что	2	3
16	с другой стороны	7	3
17	во всяком случае	5	3
18	можно было бы	9	2
19	по крайней мере	6	2
20	так же как	2	2
21	в самом деле	7	2
22	только потому что	6	2
23	в таких случаях	2	2
24	не говоря уже	2	2
25	того или иного	2	2
26	в этом случае	2	2
27	и в самом	2	2
28	не может быть	4	2
29	в этой области	4	2
30	так или иначе	2	2
