N	2gram	Vinokur_St_1	Problemy
1	и не	16	31
2	и в	44	29
3	в его	9	24
4	может быть	15	24
5	а не	16	22
6	в этом	21	22
7	т е	15	21
8	как бы	4	19
9	в нем	5	19
10	точки зрения	11	19
11	для него	6	18
12	не только	18	15
13	то что	18	15
14	но и	10	14
15	и его	8	14
16	то же	5	14
17	с точки	8	13
18	как и	9	12
19	не может	8	12
20	таким образом	7	12
21	в самом	7	10
22	в то	9	10
23	только в	10	10
24	там где	5	10
25	это не	8	9
26	все же	8	9
27	но не	3	9
28	же время	4	9
29	все эти	5	9
30	если бы	9	9
31	в каждом	3	8
32	в своем	2	8
33	что он	10	8
34	что в	30	8
35	отношению к	3	8
36	в своей	6	8
37	по отношению	3	8
38	потому что	6	8
39	в том	36	8
40	прежде всего	7	7
41	вовсе не	19	7
42	а как	2	7
43	том что	29	7
44	не в	12	7
45	она не	2	7
46	за пределы	2	7
47	так и	9	7
48	а в	17	7
49	в себе	2	7
50	но в	10	7
51	все это	5	6
52	точку зрения	3	6
53	в конце	3	6
54	в целом	5	6
55	несмотря на	2	6
56	к нему	2	6
57	что она	4	6
58	как в	13	6
59	как раз	4	6
60	самом деле	11	6
61	так же	5	6
62	могут быть	5	6
63	его в	2	6
64	и потому	2	6
65	так как	5	6
66	должна быть	3	5
67	именно в	6	5
68	было бы	17	5
69	но все	4	5
70	еще не	3	5
71	это и	4	5
72	в сущности	2	5
73	у него	2	5
74	он не	2	5
75	той же	5	5
76	на самом	6	5
77	во всяком	6	5
78	между тем	3	5
79	и это	2	5
80	ничего не	2	5
81	в результате	3	4
82	превращается в	2	4
83	идет о	2	4
84	бы и	4	4
85	что и	6	4
86	должна была	4	4
87	но это	6	4
88	и с	3	4
89	не значит	3	4
90	даже в	3	4
91	и т	30	4
92	и для	3	4
93	не было	4	4
94	тем что	5	4
95	их в	2	4
96	в основе	3	4
97	в этой	11	4
98	что же	6	4
99	уже в	2	3
100	я не	7	3
101	была бы	5	3
102	никогда не	5	3
103	с другой	9	3
104	все в	2	3
105	ни в	3	3
106	только у	2	3
107	по существу	2	3
108	ни один	2	3
109	но именно	2	3
110	в уста	3	3
111	всяком случае	6	3
112	на него	2	3
113	другой стороны	7	3
114	тому что	3	3
115	т п	9	3
116	этом отношении	7	3
117	например в	8	3
118	и у	2	3
119	в своих	2	3
120	сказать что	7	3
121	но с	3	3
122	как к	3	3
123	не знает	2	3
124	как будто	4	3
125	отношения к	2	3
126	произведения в	2	2
127	на вопрос	4	2
128	и уже	2	2
129	всех этих	2	2
130	ни были	2	2
131	да ведь	2	2
132	тем или	3	2
133	поэтому в	3	2
134	хотя бы	6	2
135	с этой	3	2
136	и во	2	2
137	вопрос о	4	2
138	жизни и	5	2
139	так что	6	2
140	является не	4	2
141	чем в	3	2
142	при этом	2	2
143	и перед	2	2
144	и сам	2	2
145	кажется что	3	2
146	конечно не	2	2
147	до сих	7	2
148	ни одной	2	2
149	в котором	5	2
150	как можно	2	2
151	нисколько не	2	2
152	отношение к	2	2
153	в первой	12	2
154	ни одного	2	2
155	сих пор	7	2
156	данном случае	6	2
157	критической литературы	2	2
158	в отношении	9	2
159	и вполне	3	2
160	и даже	5	2
161	или же	2	2
162	что оно	3	2
163	а потому	2	2
164	в той	6	2
165	и что	4	2
166	на этот	3	2
167	можно было	13	2
168	конечно и	3	2
169	в данном	14	2
170	этот вопрос	4	2
171	в которых	5	2
172	в ней	3	2
173	одно из	2	2
174	но он	2	2
175	для себя	3	2
176	в истории	3	2
177	в россии	4	2
178	в которой	4	2
179	совпадает с	2	2
180	же и	4	2
181	нет ни	2	2
182	в сознании	2	2
183	е в	2	2
184	с этим	3	2
