N	2gram	Berdyaev_O_1	Myshleni
1	в том	5	33
2	том что	2	27
3	то что	5	20
4	в этом	12	19
5	того что	3	17
6	и в	19	15
7	не только	11	15
8	что в	4	14
9	что он	3	12
10	того чтобы	4	12
11	в самом	5	11
12	но и	13	10
13	было бы	3	10
14	для того	3	10
15	в своем	2	9
16	может быть	11	9
17	не может	4	9
18	о том	3	9
19	так и	2	8
20	никогда не	9	8
21	не в	11	8
22	и не	13	7
23	потому что	9	7
24	как бы	3	7
25	по себе	2	7
26	он не	7	7
27	в этой	5	6
28	сказать что	2	6
29	в истории	2	6
30	но в	2	6
31	и к	2	6
32	как и	6	6
33	это не	3	5
34	уже в	2	5
35	вопрос о	10	5
36	все что	3	5
37	прежде всего	9	4
38	что все	2	4
39	потребность в	2	4
40	все это	6	4
41	не имеет	2	4
42	а в	5	4
43	его мысли	4	4
44	и с	2	4
45	так как	2	4
46	с его	4	4
47	к этому	2	4
48	все же	2	4
49	в своей	2	4
50	хотя бы	3	4
51	и его	4	4
52	в которой	2	4
53	он сам	4	3
54	что у	2	3
55	человека и	10	3
56	что они	2	3
57	для него	5	3
58	что для	2	3
59	все эти	4	3
60	в самой	9	3
61	лишь в	7	3
62	к этой	2	3
63	с ним	3	3
64	и все	10	3
65	когда он	3	3
66	а не	11	3
67	он в	2	3
68	и ее	3	3
69	ничего не	2	3
70	чем в	2	2
71	быть может	3	2
72	не могут	3	2
73	и есть	3	2
74	в этих	3	2
75	вопросом о	2	2
76	но никогда	2	2
77	же это	2	2
78	своей жизни	2	2
79	человека к	2	2
80	могут быть	3	2
81	должно быть	2	2
82	в других	2	2
83	с которой	2	2
84	у него	22	2
85	он прежде	2	2
86	и из	2	2
87	к ней	2	2
88	в его	7	2
89	что и	2	2
90	ее в	2	2
91	что же	2	2
92	и для	2	2
93	для человека	2	2
94	тем что	2	2
95	в себе	3	2
96	в другом	2	2
97	много раз	2	2
