N	2gram	Bakhtin_sl_1	Problemy
1	и в	41	43
2	и не	16	29
3	чужого слова	2	24
4	может быть	14	23
5	как бы	12	22
6	не может	14	18
7	в пределах	14	16
8	но и	16	14
9	как и	4	14
10	и т	28	13
11	чужим словом	9	13
12	точки зрения	16	13
13	в этом	12	13
14	слова в	8	12
15	в нем	30	12
16	в одном	2	12
17	слова и	13	12
18	в каждом	4	11
19	не в	7	11
20	чужому слову	4	11
21	не только	16	11
22	прежде всего	8	10
23	и на	14	10
24	но в	8	10
25	в его	13	10
26	как мы	8	10
27	никогда не	3	9
28	в большинстве	10	9
29	авторское слово	3	9
30	еще не	4	9
31	в сущности	13	9
32	он не	3	9
33	т п	23	9
34	для него	3	8
35	лишь в	4	8
36	большинстве случаев	6	8
37	то же	14	8
38	слово не	2	8
39	с чужим	8	8
40	с точки	8	8
41	и его	14	8
42	или в	8	8
43	слово в	10	8
44	перед нами	4	7
45	свой предмет	2	7
46	до сих	2	7
47	и сам	3	7
48	в него	3	7
49	в самом	5	7
50	к чужому	6	7
51	в то	14	7
52	двуголосое слово	3	7
53	сих пор	2	7
54	а не	15	7
55	в другом	2	7
56	в этих	2	6
57	в том	3	6
58	при этом	6	6
59	в котором	2	6
60	и наконец	4	6
61	и все	4	6
62	у него	3	6
63	не как	4	6
64	о нем	4	6
65	здесь не	2	6
66	так сказать	5	6
67	так что	2	5
68	же время	12	5
69	чужих слов	7	5
70	хотя и	2	5
71	к нему	5	5
72	все это	5	5
73	таким образом	9	5
74	все эти	9	5
75	а в	6	5
76	рядом с	4	5
77	и с	4	5
78	рассказ рассказчика	2	5
79	но здесь	3	5
80	на фоне	7	5
81	вовсе не	7	5
82	о том	3	5
83	но не	2	5
84	слов и	2	5
85	было бы	3	5
86	в той	10	5
87	в слове	7	5
88	в себе	3	5
89	словом в	4	4
90	голосов и	2	4
91	авторские интенции	5	4
92	не могут	3	4
93	своему предмету	2	4
94	в своем	3	4
95	с другой	5	4
96	к тому	3	4
97	до конца	12	4
98	у тургенева	7	4
99	друг с	2	4
100	на предмет	4	4
101	слово как	5	4
102	т д	5	4
103	должно быть	2	4
104	в результате	3	4
105	же и	2	4
106	но он	2	4
107	рассказ в	2	4
108	так как	3	4
109	то есть	26	4
110	а как	2	4
111	с его	4	4
112	в них	6	4
113	из одного	2	4
114	точек зрения	5	4
115	как его	5	4
116	более того	3	4
117	рассказчика и	3	4
118	совершенно не	2	4
119	в своей	7	4
120	авторских интенций	9	4
121	том же	4	4
122	во всех	17	4
123	но эти	3	4
124	не на	5	4
125	там где	4	4
126	между ними	2	4
127	мы не	2	4
128	как раз	2	4
129	с другом	2	4
130	только в	6	4
131	далеко не	5	4
132	установка на	6	4
133	от автора	3	3
134	в отношении	6	3
135	это не	6	3
136	или иной	9	3
137	более или	3	3
138	кроме того	4	3
139	в кавычки	5	3
140	и следовательно	7	3
141	той или	9	3
142	со всею	2	3
143	зрения и	2	3
144	слово у	2	3
145	в их	4	3
146	и даже	6	3
147	и здесь	3	3
148	его в	3	3
149	жизнь слова	2	3
150	с ним	7	3
151	между тем	2	3
152	в романах	2	3
153	и к	5	3
154	в романе	21	3
155	по существу	3	3
156	того же	6	3
157	здесь в	4	3
158	она не	3	3
159	мы уже	2	3
160	чужой речи	7	3
161	за пределы	4	3
162	наконец в	2	3
163	даже в	2	3
164	все же	7	3
165	себя в	9	3
166	не укладывается	2	3
167	так и	11	3
168	или менее	3	3
169	по своим	6	3
170	только на	2	3
171	авторским словом	2	3
172	уже не	2	3
173	другой стороны	4	3
174	прямое авторское	2	3
175	также и	3	3
176	и для	4	3
177	той же	2	3
178	можно было	2	3
179	ничего не	4	3
180	слова как	6	3
181	прямой и	3	3
182	в виде	2	3
183	могут быть	19	3
184	и ее	3	3
185	и этим	3	3
186	в эту	2	3
187	же тему	2	2
188	его и	3	2
189	чужое высказывание	2	2
190	из этих	3	2
191	переходит в	3	2
192	последней смысловой	4	2
193	речи героя	2	2
194	для понимания	2	2
195	словом и	3	2
196	для нас	2	2
197	сливается с	2	2
198	мы и	2	2
199	лишь как	3	2
200	в узком	10	2
201	например в	2	2
202	европейского романа	3	2
203	они могут	7	2
204	ту же	4	2
205	время как	2	2
206	и др	14	2
207	романа но	2	2
208	в целом	2	2
209	два голоса	2	2
210	отношение к	7	2
211	на том	2	2
212	есть свой	2	2
213	того что	3	2
214	речь и	3	2
215	так же	2	2
216	с ними	3	2
217	сказать что	2	2
218	именно как	2	2
219	из них	3	2
220	в первом	3	2
221	лишь на	3	2
222	авторской речи	11	2
223	во всяком	7	2
224	и следует	3	2
225	произведения как	3	2
226	ни было	2	2
227	вне его	2	2
228	между собой	2	2
229	и всякое	2	2
230	самом предмете	3	2
231	с этим	3	2
232	лежит в	4	2
233	слово языка	2	2
234	бы ни	3	2
235	у нас	2	2
236	в монологическом	2	2
237	укладывается в	2	2
238	мы сказали	4	2
239	одна из	2	2
240	по своему	2	2
241	то время	2	2
242	одно и	2	2
243	же слово	3	2
244	конечно не	3	2
245	его слова	2	2
246	и о	2	2
247	на почве	4	2
248	не есть	2	2
249	среди других	2	2
250	в процессе	4	2
251	внутренней речи	3	2
252	быть и	4	2
253	момент его	3	2
254	бы и	3	2
255	как в	8	2
256	узком смысле	10	2
257	входит в	4	2
258	нами в	2	2
259	знает только	2	2
260	а с	2	2
261	еще более	5	2
262	если мы	2	2
263	свои интенции	3	2
264	каждое слово	4	2
265	том что	2	2
266	и эта	2	2
267	хотя бы	3	2
268	речь в	2	2
269	высказывания и	2	2
270	почти всегда	3	2
271	и то	2	2
272	автора и	4	2
273	в поэзии	3	2
274	отношении к	6	2
275	и самое	2	2
276	а между	2	2
277	все его	4	2
