N	2gram	Tiupa_Vved_1	OGranits
1	и в	13	13
2	и его	5	12
3	прежде всего	7	9
4	не может	7	8
5	и не	12	8
6	может быть	18	8
7	и т.п	9	7
8	в его	4	7
9	таким образом	4	6
10	не только	20	6
11	то что	6	6
12	только в	6	6
13	как бы	4	6
14	все же	6	5
15	и т.д	5	5
16	и наконец	2	5
17	то же	5	4
18	не является	3	4
19	в своей	5	4
20	на фоне	2	4
21	лишь в	2	4
22	мы не	4	4
23	мы можем	2	4
24	было бы	4	4
25	в сознании	4	4
26	но в	6	4
27	отношению к	7	3
28	что в	3	3
29	никогда не	4	3
30	но и	19	3
31	так и	8	3
32	что же	3	3
33	по отношению	7	3
34	не как	2	3
35	и все	4	3
36	самом деле	3	3
37	как и	11	3
38	не в	6	3
39	не столько	4	3
40	в пределах	2	3
41	в себе	5	3
42	говорить о	2	3
43	и для	3	3
44	еще в	2	2
45	не менее	4	2
46	и тем	2	2
47	в нем	5	2
48	в целом	3	2
49	своего рода	10	2
50	данном случае	6	2
51	а не	15	2
52	в этот	2	2
53	во времени	2	2
54	другой стороны	2	2
55	с другой	5	2
56	в них	2	2
57	а в	6	2
58	с одной	5	2
59	те же	2	2
60	к тому	6	2
61	и к	2	2
62	как в	4	2
63	если бы	7	2
64	не имеет	2	2
65	в том	10	2
66	том что	7	2
67	в своих	2	2
68	в данном	13	2
69	в этом	21	2
70	тем что	2	2
71	могут быть	4	2
72	при этом	26	2
73	всей своей	2	2
74	соответствии с	6	2
75	для него	3	2
76	одной стороны	5	2
77	в области	3	2
78	в самом	2	2
79	героя и	3	2
80	вслед за	2	2
81	имеет место	4	2
82	бы в	3	2
83	в ней	4	2
84	а также	8	2
