N	2gram	Trubetskoy_1	Mirosoze
1	и в	14	46
2	в нем	5	22
3	у него	2	22
4	может быть	9	21
5	в этом	17	20
6	никогда не	5	18
7	для него	6	18
8	и не	19	18
9	не только	9	18
10	во имя	5	16
11	но и	10	15
12	не может	22	15
13	как и	4	13
14	не есть	3	13
15	а не	2	13
16	прежде всего	8	12
17	друг друга	3	12
18	потому что	5	12
19	не было	3	11
20	в ней	2	11
21	но в	2	10
22	он не	5	10
23	в себе	9	10
24	не в	4	9
25	любовь к	2	8
26	и есть	2	8
27	но это	2	8
28	как бы	4	8
29	в своем	6	8
30	так как	4	8
31	она не	2	8
32	на земле	4	8
33	в мире	4	7
34	в этой	4	7
35	что он	6	7
36	и к	6	7
37	и потому	3	7
38	хотя бы	5	7
39	и для	6	7
40	любви к	2	7
41	он сам	3	6
42	вопрос о	5	6
43	что это	3	6
44	так же	2	6
45	того что	3	6
46	там и	2	6
47	жизни и	4	6
48	то же	11	5
49	что все	3	5
50	и вот	2	5
51	в самом	3	5
52	к отрицанию	2	5
53	в конце	3	5
54	во всем	4	5
55	к тому	7	5
56	то что	13	5
57	в своей	5	5
58	для того	6	5
59	в его	4	5
60	что в	4	4
61	тому что	2	4
62	для этого	3	4
63	все что	4	4
64	самого себя	7	4
65	том что	9	4
66	что и	3	4
67	себя в	4	4
68	уже не	2	4
69	того чтобы	8	4
70	к чему	2	4
71	народа и	2	4
72	считает себя	2	3
73	можно ли	3	3
74	себя и	5	3
75	и от	2	3
76	к которой	6	3
77	ни в	2	3
78	в том	17	3
79	с самим	2	3
80	что они	3	3
81	– не	2	3
82	жизни в	5	3
83	не так	2	3
84	принадлежат к	2	3
85	в своих	6	3
86	и на	5	3
87	людей и	2	3
88	и с	7	3
89	о том	7	3
90	его в	4	3
91	в россии	6	3
92	с ним	2	3
93	и должно	2	3
94	если бы	6	3
95	и во	3	3
96	есть и	2	3
97	до сих	5	3
98	на почве	2	3
99	не будет	7	3
100	сих пор	5	3
101	от того	4	3
102	и тогда	2	3
103	тем что	3	3
104	и человек	2	3
105	только в	5	3
106	отношении к	2	3
107	только с	2	3
108	место в	2	2
109	а лишь	4	2
110	в этих	2	2
111	или иной	5	2
112	да и	3	2
113	так что	2	2
114	это есть	2	2
115	и если	7	2
116	но для	2	2
117	к нему	2	2
118	не к	2	2
119	от этой	2	2
120	но она	2	2
121	есть единственная	2	2
122	по отношению	2	2
123	отношения к	2	2
124	лишь в	3	2
125	должно быть	3	2
126	а в	5	2
127	и те	2	2
128	от своей	2	2
129	к себе	2	2
130	не о	2	2
131	точки зрения	11	2
132	приходит к	3	2
133	между тем	5	2
134	к богу	7	2
135	были бы	2	2
136	бы его	2	2
137	тогда когда	4	2
138	по себе	2	2
139	то в	3	2
140	связи с	3	2
141	к соединению	4	2
142	и что	2	2
143	и тот	2	2
144	себе и	4	2
145	во всех	5	2
146	вместе с	4	2
147	быть и	2	2
148	ее в	2	2
149	что же	4	2
150	если человек	2	2
151	россии и	3	2
152	можно было	4	2
153	как будто	2	2
