N	2gram	Tiupa_Vved_1	Problemy
1	и в	13	46
2	то есть	8	40
3	и не	12	27
4	может быть	18	23
5	чужого слова	3	23
6	как бы	4	19
7	не может	7	19
8	в нем	5	17
9	в этом	21	16
10	не только	20	14
11	и т.п	9	14
12	слова в	2	13
13	перед нами	6	12
14	но и	19	12
15	как и	11	12
16	как мы	3	12
17	и на	3	11
18	а не	15	11
19	не в	6	10
20	в пределах	2	10
21	прежде всего	7	9
22	в том	10	9
23	в самом	2	9
24	и все	4	9
25	и к	2	9
26	в его	4	9
27	и с	2	7
28	по себе	2	7
29	еще не	7	7
30	как раз	2	7
31	в себе	5	7
32	никогда не	4	6
33	но это	3	6
34	есть в	2	6
35	хотя и	7	6
36	но в	6	6
37	на фоне	2	6
38	в романе	6	6
39	то же	5	6
40	и его	5	6
41	только в	6	6
42	это не	6	5
43	же время	3	5
44	при этом	26	5
45	в котором	8	5
46	жизни и	7	5
47	по отношению	7	5
48	в то	4	5
49	в жизни	4	5
50	о том	5	5
51	отношению к	7	5
52	во всех	2	5
53	так сказать	2	5
54	что в	3	4
55	в этих	3	4
56	можно сказать	4	4
57	слова но	2	4
58	до конца	3	4
59	например в	2	4
60	к ним	2	4
61	таким образом	4	4
62	в направлении	2	4
63	и наконец	2	4
64	потому что	5	4
65	он и	2	4
66	мы не	4	4
67	мы можем	2	4
68	как в	4	4
69	точек зрения	2	4
70	том что	7	4
71	но не	5	4
72	он не	3	4
73	все же	6	4
74	то что	6	4
75	своего рода	10	4
76	так и	8	4
77	приводит к	2	4
78	уже не	5	4
79	самом деле	3	4
80	героя и	3	4
81	здесь не	2	4
82	с другой	5	3
83	из этих	3	3
84	в мире	8	3
85	мы и	2	3
86	в своем	5	3
87	более или	2	3
88	одним из	5	3
89	и для	3	3
90	не к	4	3
91	отношение к	2	3
92	другой стороны	2	3
93	также и	4	3
94	рассказ в	2	3
95	как он	2	3
96	в речь	2	3
97	их в	2	3
98	бы в	3	3
99	мы имеем	5	3
100	но при	5	3
101	если бы	7	3
102	в приведенном	2	3
103	не как	2	3
104	по своей	3	3
105	а то	2	3
106	было бы	4	3
107	в своей	5	3
108	никак не	2	3
109	что и	2	3
110	на него	2	3
111	или менее	2	3
112	что же	3	3
113	в центре	2	3
114	в отличие	2	3
115	в той	4	3
116	в речи	2	3
117	в слове	3	3
118	между двумя	3	3
119	тем что	2	3
120	и т.д	5	3
121	далеко не	4	3
122	отличие от	2	3
123	не менее	4	2
124	но на	2	2
125	должна быть	2	2
126	в одной	2	2
127	или иной	3	2
128	к тому	6	2
129	для нас	2	2
130	времени и	7	2
131	для него	3	2
132	той или	3	2
133	если в	2	2
134	и тем	2	2
135	целый ряд	2	2
136	то и	2	2
137	не было	2	2
138	те же	2	2
139	лишь в	2	2
140	этих случаях	2	2
141	и по	3	2
142	а в	6	2
143	в результате	3	2
144	о котором	2	2
145	что мы	2	2
146	с ним	3	2
147	могло бы	3	2
148	одна из	4	2
149	все что	3	2
150	своей природе	2	2
151	об этом	4	2
152	и времени	2	2
153	не могло	2	2
154	бы и	4	2
155	так в	4	2
156	бы не	2	2
157	все равно	2	2
158	что такое	18	2
159	можно было	2	2
160	в данном	13	2
161	в рассказе	6	2
162	могут быть	4	2
