N	2gram	Tiupa_Hudo_2	Problemy
1	и не	18	31
2	и в	28	29
3	в его	11	24
4	может быть	8	24
5	а не	14	22
6	в этом	13	22
7	т е	2	21
8	как бы	5	19
9	в нем	3	19
10	точки зрения	2	19
11	для него	5	18
12	не только	11	15
13	то что	6	15
14	не как	2	14
15	но и	9	14
16	и его	5	14
17	то же	6	14
18	рядом с	5	14
19	уже не	10	13
20	с точки	2	13
21	как и	11	12
22	о себе	3	12
23	не может	4	12
24	в одном	3	10
25	в самом	5	10
26	в то	6	10
27	только в	4	10
28	героя и	3	10
29	с его	5	9
30	это не	6	9
31	все же	2	9
32	но не	4	9
33	же время	4	9
34	о нем	2	9
35	если бы	6	9
36	в своем	5	8
37	что он	8	8
38	что в	5	8
39	отношению к	7	8
40	в своей	6	8
41	по отношению	7	8
42	потому что	2	8
43	в том	15	8
44	прежде всего	3	7
45	вовсе не	2	7
46	а как	2	7
47	том что	19	7
48	не в	13	7
49	она не	5	7
50	зрения на	2	7
51	так и	8	7
52	а в	6	7
53	с другими	3	7
54	и на	3	7
55	в себе	9	7
56	но в	2	7
57	все это	3	6
58	несмотря на	3	6
59	к нему	3	6
60	что она	7	6
61	как в	5	6
62	как раз	4	6
63	самом деле	3	6
64	в мире	7	6
65	так же	3	6
66	его в	2	6
67	перед нами	11	5
68	именно в	2	5
69	было бы	3	5
70	еще не	3	5
71	и о	4	5
72	у него	5	5
73	он не	4	5
74	героя не	3	5
75	мысли и	2	5
76	той же	2	5
77	между тем	8	5
78	автора и	2	5
79	и это	3	5
80	с ним	7	5
81	ничего не	5	5
82	превращается в	4	4
83	личности в	3	4
84	что было	3	4
85	тем как	2	4
86	бы и	4	4
87	что и	4	4
88	и с	6	4
89	и т	4	4
90	и для	2	4
91	не было	6	4
92	тем что	6	4
93	как же	2	4
94	как мы	2	4
95	в основе	2	4
96	в этой	5	4
97	человека в	4	4
98	что же	2	4
99	он знает	2	3
100	я не	7	3
101	он сам	2	3
102	в человеке	3	3
103	была бы	3	3
104	никогда не	5	3
105	в них	3	3
106	с другой	3	3
107	одна из	2	3
108	все что	3	3
109	но именно	2	3
110	о своем	4	3
111	оно не	2	3
112	в духе	2	3
113	на него	3	3
114	и внутренне	2	3
115	тому что	4	3
116	как на	2	3
117	не во	2	3
118	т п	2	3
119	приводит к	2	3
120	и у	2	3
121	тому как	4	3
122	сказать что	2	3
123	подобно тому	4	3
124	как будто	4	3
125	в художественном	4	3
126	все его	3	3
127	жизни не	2	2
128	и уже	4	2
129	все время	3	2
130	представляется нам	2	2
131	себя и	2	2
132	однако в	2	2
133	его и	2	2
134	ибо в	2	2
135	хотя бы	2	2
136	и от	2	2
137	те же	2	2
138	в жизни	8	2
139	и ее	3	2
140	у вас	4	2
141	и к	2	2
142	жизни и	6	2
143	при этом	11	2
144	есть и	3	2
145	личной жизни	2	2
146	на себя	3	2
147	и сам	5	2
148	со своим	3	2
149	все те	2	2
150	до сих	2	2
151	в котором	6	2
152	один из	2	2
153	отношение к	2	2
154	ни одного	2	2
155	сих пор	2	2
156	данном случае	2	2
157	мы уже	3	2
158	то и	4	2
159	в контексте	2	2
160	именно на	2	2
161	к себе	3	2
162	между ними	2	2
163	можно было	3	2
164	для других	3	2
165	в данном	2	2
166	в ней	3	2
167	одно из	5	2
168	самим собою	2	2
169	для себя	6	2
170	же не	2	2
171	же и	2	2
172	тоже не	2	2
173	по преимуществу	3	2
