N	2gram	Tiupa_Narr_1	FransuaR
1	и в	19	49
2	то есть	19	32
3	прежде всего	4	19
4	в его	9	18
5	не только	32	17
6	и его	5	17
7	и на	3	17
8	и не	20	15
9	в этом	17	15
10	только в	4	13
11	но и	23	13
12	как и	7	11
13	как бы	4	11
14	и т.п	8	11
15	в этой	5	10
16	для него	2	9
17	и др	2	9
18	в нем	4	9
19	в сущности	3	8
20	отношение к	2	8
21	все же	7	7
22	один из	3	7
23	жизни и	3	7
24	не может	10	7
25	то же	4	7
26	все эти	2	7
27	как мы	3	7
28	на протяжении	6	7
29	именно в	6	6
30	то что	11	6
31	в литературе	2	6
32	в себя	6	6
33	же время	4	6
34	времени и	7	6
35	так и	9	6
36	сказать что	4	6
37	и с	4	6
38	точки зрения	10	6
39	в то	3	6
40	с его	6	5
41	никогда не	3	5
42	в своем	2	5
43	уже в	3	5
44	из этих	3	5
45	но не	5	5
46	при этом	9	5
47	может быть	25	5
48	и потому	2	5
49	в особенности	4	5
50	с точки	2	5
51	роль в	2	5
52	с другой	8	4
53	нового времени	2	4
54	в себе	8	4
55	том что	14	4
56	но все	4	4
57	одна из	3	4
58	и до	2	4
59	в форме	5	4
60	смерти и	2	4
61	отношения к	2	4
62	не было	2	4
63	а в	11	4
64	в области	2	4
65	тем что	3	4
66	но в	6	4
67	с одной	7	3
68	о чем	2	3
69	жизни в	3	3
70	в собственном	2	3
71	что он	6	3
72	же в	4	3
73	в ее	3	3
74	в том	18	3
75	да и	4	3
76	в значительной	2	3
77	одной стороны	7	3
78	было бы	4	3
79	из них	3	3
80	несмотря на	2	3
81	наконец в	2	3
82	даже в	2	3
83	точка зрения	6	3
84	с ее	3	3
85	ни в	3	3
86	другой стороны	4	3
87	этом отношении	3	3
88	и все	2	3
89	к нему	5	3
90	можно было	2	3
91	далеко не	5	3
92	о том	6	3
93	одного из	4	2
94	включает в	2	2
95	в противоположность	2	2
96	связи с	4	2
97	одну из	2	2
98	что в	3	2
99	могут быть	3	2
100	в качестве	21	2
101	точку зрения	4	2
102	зрения на	2	2
103	та же	2	2
104	что касается	2	2
105	как известно	2	2
106	можно сказать	5	2
107	по существу	2	2
108	это и	3	2
109	что они	3	2
110	есть в	2	2
111	и после	2	2
112	ничего не	2	2
113	в пределах	2	2
114	еще не	7	2
115	совершенно не	2	2
116	такого рода	7	2
117	значительной степени	2	2
118	вплоть до	2	2
119	одним из	2	2
120	у него	4	2
121	хотя и	3	2
122	в ней	3	2
123	в мире	9	2
124	в связи	2	2
125	ключ к	2	2
126	и даже	3	2
127	так же	2	2
128	особенно в	3	2
129	тому как	2	2
130	одной из	4	2
131	нуждается в	5	2
132	подобно тому	2	2
133	как к	2	2
134	со смертью	2	2
135	и т.д	7	2
136	в произведении	3	2
137	здесь не	4	2
138	художественной литературы	3	2
