N	2gram	Bakhtin_Pr_1	Morfolog
1	может быть	24	52
2	и т	4	49
3	и пр	3	40
4	таким образом	12	20
5	не может	12	17
6	т е	21	16
7	могут быть	6	15
8	с этим	2	14
9	и в	29	13
10	в этом	22	13
11	эта форма	2	13
12	и др	5	12
13	так как	6	12
14	перед нами	5	11
15	мы видим	2	11
16	связи с	2	11
17	заметить что	2	10
18	прежде всего	7	9
19	так и	7	9
20	то же	14	9
21	и не	31	9
22	а не	22	9
23	с другой	3	8
24	по существу	3	8
25	что и	4	8
26	в результате	4	8
27	вопрос о	2	7
28	и этим	3	7
29	все же	9	7
30	или же	2	7
31	это не	9	6
32	не могут	6	6
33	и здесь	3	6
34	в том	8	6
35	но не	9	6
36	в форме	7	6
37	а в	7	6
38	подобно тому	3	6
39	тому как	3	5
40	то перед	2	5
41	далеко не	3	5
42	как бы	19	5
43	один из	2	5
44	то что	15	5
45	потому что	8	5
46	что в	8	4
47	и как	7	4
48	на котором	3	4
49	вовсе не	7	4
50	героя в	4	4
51	отношению к	8	4
52	было бы	5	4
53	на его	2	4
54	несмотря на	6	4
55	не только	15	4
56	как в	6	4
57	как мы	4	4
58	другой стороны	3	4
59	так же	6	4
60	по отношению	8	4
61	как и	12	4
62	там где	10	4
63	на пути	2	4
64	героя а	5	4
65	тем что	4	4
66	точки зрения	19	4
67	с точки	13	4
68	его в	6	4
69	оно может	2	4
70	ничего не	5	4
71	если бы	9	3
72	о герое	4	3
73	и вызывает	2	3
74	же в	2	3
75	том что	7	3
76	но все	5	3
77	но это	4	3
78	в целом	6	3
79	кроме того	3	3
80	в пределах	13	3
81	в сущности	5	3
82	он не	5	3
83	ни в	3	3
84	но и	14	3
85	на него	3	3
86	от того	4	3
87	входит в	7	3
88	на самом	5	3
89	самом деле	6	3
90	из которых	2	3
91	к нему	6	3
92	и для	4	3
93	друг друга	3	3
94	и ее	2	3
95	в то	10	3
96	мы должны	3	3
97	в один	2	3
98	если же	3	3
99	героя и	10	3
100	но в	7	3
101	однако в	2	2
102	его и	2	2
103	хотя бы	2	2
104	что он	8	2
105	и к	2	2
106	из его	2	2
107	только в	10	2
108	в большинстве	2	2
109	есть и	2	2
110	для него	18	2
111	мы уже	2	2
112	с героем	2	2
113	не значит	4	2
114	себя и	2	2
115	ни одной	2	2
116	оно не	3	2
117	благодаря этому	2	2
118	но эти	2	2
119	как например	2	2
120	все эти	9	2
121	и что	2	2
122	к себе	2	2
123	уже не	13	2
124	заставляет его	2	2
125	и его	14	2
126	как их	3	2
127	можно было	2	2
128	этот вопрос	2	2
129	не знает	3	2
130	большинстве случаев	2	2
131	одна из	3	2
132	сказать что	3	2
