N	2gram	Berdyaev_O_1	Problema
1	то что	5	38
2	и не	13	37
3	и в	19	35
4	не есть	2	33
5	сказать что	2	24
6	не только	11	24
7	том что	2	19
8	даже и	2	18
9	о том	3	18
10	может быть	11	18
11	в этом	12	17
12	но и	13	16
13	потому что	9	13
14	не может	4	13
15	в том	5	12
16	того что	3	12
17	хотя бы	3	12
18	что в	4	11
19	прежде всего	9	11
20	так что	2	11
21	и с	2	10
22	еще не	3	10
23	а не	11	10
24	и то	2	10
25	ничего не	2	10
26	в этой	5	9
27	что же	2	9
28	было бы	3	8
29	по себе	2	8
30	все же	2	8
31	совсем не	2	7
32	все эти	4	7
33	не имеет	2	7
34	в его	7	7
35	так и	2	7
36	так как	2	7
37	можно ли	2	6
38	что все	2	6
39	и для	2	6
40	но в	2	6
41	же это	2	5
42	в самом	5	5
43	и на	2	5
44	и все	10	5
45	как и	6	5
46	что не	4	5
47	в себе	3	5
48	не могут	3	4
49	и есть	3	4
50	в этих	3	4
51	в своем	2	4
52	как бы	3	4
53	все это	6	4
54	а в	5	4
55	тем что	2	4
56	все еще	2	4
57	что он	3	4
58	и о	2	4
59	не все	2	4
60	уже в	2	3
61	он сам	4	3
62	и от	3	3
63	вопрос о	10	3
64	что они	2	3
65	и все-таки	2	3
66	хотя и	2	3
67	никто не	3	3
68	не было	9	3
69	только и	4	3
70	лишь в	7	3
71	что для	2	3
72	в своих	3	3
73	в истории	2	3
74	его в	2	3
75	и ни	2	3
76	с которой	2	3
77	с тем	2	3
78	и к	2	3
79	все что	3	3
80	для того	3	3
81	не в	11	2
82	не очень	2	2
83	разных сторон	2	2
84	отношений это	2	2
85	к нему	3	2
86	ни с	7	2
87	для всякого	2	2
88	должно быть	2	2
89	от самого	2	2
90	нет ничего	7	2
91	ли сказать	2	2
92	человек не	7	2
93	учение о	2	2
94	ведь это	2	2
95	мысль о	2	2
96	он не	7	2
97	что и	2	2
98	мысли и	3	2
99	того чтобы	4	2
100	и ее	3	2
101	это за	3	2
102	это было	3	2
