N	2gram	Berdyaev_M_1	Analitik
1	может быть	30	29
2	в том	6	27
3	не может	28	22
4	и не	11	21
5	и в	28	18
6	а не	25	17
7	но и	25	17
8	не только	29	15
9	не в	16	14
10	как и	5	13
11	в его	9	13
12	в этом	20	13
13	том что	3	12
14	в себе	7	11
15	то есть	3	11
16	но не	8	10
17	а в	4	9
18	в то	2	9
19	в мире	10	8
20	есть не	4	8
21	не есть	9	8
22	в той	2	8
23	но в	7	8
24	к тому	3	7
25	это не	5	6
26	прежде всего	10	6
27	в самом	11	6
28	себя в	3	6
29	должен быть	2	6
30	то что	5	6
31	в своей	15	6
32	по отношению	2	6
33	в основе	2	6
34	точки зрения	4	6
35	по своей	2	6
36	только в	6	6
37	и как	2	5
38	в этой	6	5
39	что в	10	5
40	как бы	2	5
41	отношению к	2	5
42	в их	4	5
43	лишь в	6	5
44	и его	9	5
45	и на	6	5
46	о том	2	5
47	того что	7	4
48	могут быть	2	4
49	себя и	3	4
50	для того	2	4
51	все же	2	4
52	вместе с	6	4
53	уже не	4	4
54	с ним	2	4
55	человека к	2	4
56	место в	2	3
57	не могут	5	3
58	с его	3	3
59	человек в	9	3
60	и есть	14	3
61	хотя бы	3	3
62	и все	10	3
63	личности в	2	3
64	в нем	13	3
65	и к	2	3
66	что он	10	3
67	она может	2	3
68	никто не	2	3
69	одним из	2	3
70	он не	24	3
71	о нем	2	3
72	в котором	8	3
73	что и	4	3
74	ни с	4	3
75	того чтобы	2	3
76	к нему	7	3
77	ведет к	6	3
78	как будто	2	3
79	разного рода	2	3
80	будто бы	3	3
81	как он	2	3
82	быть не	2	3
83	если бы	2	3
84	быть может	7	2
85	никогда не	14	2
86	все эти	2	2
87	вопрос о	2	2
88	а как	2	2
89	в начале	2	2
90	и потому	10	2
91	должно быть	3	2
92	о предопределении	2	2
93	отношение к	4	2
94	для него	11	2
95	было бы	10	2
96	душевной жизни	2	2
97	за пределы	4	2
98	еще в	2	2
99	нет и	5	2
100	не все	2	2
101	один из	4	2
102	не к	4	2
103	не остается	2	2
104	отличается от	2	2
105	на этом	3	2
106	бы не	2	2
107	отношения к	4	2
108	и по	4	2
109	особенно в	3	2
110	также и	2	2
111	нет ничего	7	2
112	так как	3	2
113	потому что	16	2
114	в которой	6	2
115	и с	3	2
