N	2gram	Propp_Morf_1	NovoeSre
1	а не	11	17
2	не может	14	16
3	и в	13	16
4	совсем не	3	12
5	и не	12	11
6	и есть	2	10
7	что в	8	9
8	он не	3	8
9	в том	6	8
10	как и	3	7
11	в этом	14	7
12	может быть	52	7
13	с его	2	6
14	не в	3	6
15	но это	6	6
16	и к	4	5
17	не только	4	5
18	не менее	5	4
19	то что	8	4
20	это не	6	4
21	не имеет	2	4
22	и для	2	4
23	потому что	3	4
24	по своему	2	4
25	прежде всего	9	4
26	о том	2	4
27	значит что	3	4
28	но и	4	3
29	не существует	3	3
30	с другой	8	3
31	вопрос о	7	3
32	во всех	4	3
33	перейти к	2	3
34	и пр	37	3
35	эти формы	2	3
36	к тому	4	3
37	что такое	3	3
38	с тем	2	3
39	подобно тому	6	3
40	смысле слова	4	3
41	как в	3	3
42	она не	2	3
43	еще не	3	3
44	тому как	5	3
45	наряду с	5	3
46	в россии	2	3
47	сказать что	2	3
48	не значит	2	3
49	это было	3	3
50	так и	6	2
51	что она	2	2
52	который в	2	2
53	другой стороны	4	2
54	а в	7	2
55	все эти	2	2
56	уже не	2	2
57	того чтобы	3	2
58	хотя бы	4	2
59	но не	4	2
60	ни к	2	2
61	так же	3	2
62	по существу	12	2
63	это и	2	2
64	время как	3	2
65	мы не	8	2
66	том что	4	2
67	можно было	2	2
68	связана с	3	2
69	можно назвать	3	2
70	одна из	4	2
71	и что	2	2
72	могут быть	16	2
73	с этим	11	2
74	в то	3	2
75	как будто	2	2
76	ни одна	4	2
77	как это	3	2
78	но для	2	2
79	хотя и	3	2
80	но в	2	2
