N	2gram	Berdyaev_M_1	KFilosof
1	может быть	30	43
2	в его	9	39
3	в нем	13	31
4	не может	28	27
5	и не	11	26
6	по отношению	2	25
7	и в	28	22
8	в котором	8	21
9	отношению к	2	21
10	в себе	7	21
11	не есть	9	19
12	в ее	3	17
13	а не	25	17
14	и его	9	17
15	только в	6	16
16	точки зрения	4	13
17	в этом	20	13
18	для него	11	12
19	но не	8	12
20	и это	12	12
21	все эти	2	11
22	в своей	15	11
23	не в	16	11
24	к нему	7	11
25	в своем	10	10
26	это не	5	10
27	все это	6	10
28	и есть	14	9
29	но и	25	9
30	в их	4	9
31	как бы	2	9
32	и все	10	9
33	и для	2	9
34	не было	18	8
35	лишь в	6	8
36	мир в	3	8
37	если бы	2	8
38	было бы	10	8
39	жизни и	2	8
40	конечно не	3	7
41	должен быть	2	7
42	что и	4	7
43	то что	5	7
44	себя в	3	7
45	и я	5	6
46	в том	6	6
47	момент в	2	6
48	лишь момент	2	6
49	отношение к	4	6
50	в мире	10	6
51	и их	3	6
52	он не	24	6
53	не значит	2	6
54	уже не	4	6
55	менее всего	7	6
56	никогда не	14	5
57	хотя бы	3	5
58	его как	2	5
59	от его	2	5
60	не имеет	3	5
61	должно быть	3	5
62	в основе	2	5
63	его в	3	5
64	с ним	2	5
65	но в	7	5
66	не знает	4	5
67	жизни в	2	5
68	как и	5	5
69	есть лишь	9	5
70	не только	29	5
71	все же	2	5
72	место в	2	4
73	что в	10	4
74	входит в	2	4
75	для нас	3	4
76	бытия но	2	4
77	проникает в	2	4
78	не как	4	4
79	мира и	5	4
80	том что	3	4
81	о нем	2	4
82	а в	4	4
83	в каком	2	4
84	бы и	3	3
85	должна быть	6	3
86	в свою	2	3
87	до конца	14	3
88	нет в	4	3
89	этого мира	3	3
90	в виду	2	3
91	себе и	2	3
92	был бы	10	3
93	того что	7	3
94	и на	6	3
95	людей и	2	3
96	в ней	15	3
97	в то	2	3
98	о том	2	3
99	на своем	3	3
100	от него	4	3
101	по своему	2	3
102	мира не	3	3
103	и этот	4	3
104	нет и	5	3
105	бы не	2	3
106	для того	2	3
107	к чему	2	3
108	тем что	4	3
109	могут быть	2	3
110	в момент	3	3
111	ничего не	3	3
112	может не	2	2
113	прежде всего	10	2
114	вопрос о	2	2
115	и как	2	2
116	это есть	3	2
117	и мы	2	2
118	он ни	2	2
119	себя и	3	2
120	в него	3	2
121	его с	2	2
122	под ним	2	2
123	которой все	2	2
124	что есть	5	2
125	нем не	2	2
126	быть не	2	2
127	философии но	2	2
128	потому что	16	2
129	он и	2	2
130	а как	2	2
131	с его	3	2
132	с тем	9	2
133	в жизни	3	2
134	к этому	2	2
135	человек не	10	2
136	что он	10	2
137	него и	2	2
138	и когда	2	2
139	и потому	10	2
140	не остается	2	2
141	как в	2	2
142	это и	4	2
143	чтобы не	2	2
144	и она	2	2
145	того чтобы	2	2
146	человек и	6	2
147	от этого	2	2
148	этот мир	2	2
149	в этой	6	2
150	отношении к	2	2
151	смысле в	2	2
