N	2gram	Tiupa_Teor_1	Hudozhes
1	в мире	19	23
2	в качестве	24	19
3	то есть	12	18
4	состоит в	17	16
5	и не	13	16
6	в том	16	15
7	и в	18	15
8	не только	16	15
9	в частности	16	13
10	может быть	17	13
11	модуса художественности	5	13
12	тогда как	15	13
13	от лат	7	12
14	при этом	12	12
15	а в	13	12
16	и его	8	12
17	но не	9	11
18	в этом	8	11
19	эстетического отношения	12	11
20	в себе	9	11
21	я в	16	11
22	художественного текста	11	11
23	представляет собой	9	10
24	эстетическое отношение	9	10
25	как бы	5	10
26	отношению к	4	10
27	но и	9	10
28	так и	10	10
29	по отношению	4	10
30	то же	7	10
31	а не	9	10
32	такого рода	8	9
33	эстетического завершения	11	9
34	в его	6	9
35	литературного произведения	7	9
36	точки зрения	9	9
37	в рамках	7	8
38	в душе	8	8
39	произведение искусства	5	8
40	себя в	6	8
41	его внешней	2	8
42	знаковой системы	6	8
43	своего рода	7	8
44	присутствия в	6	8
45	сводится к	5	8
46	в миропорядке	8	8
47	с другой	7	7
48	эмоциональной рефлексии	6	7
49	или иной	4	7
50	в отличие	6	7
51	внутренней речи	13	7
52	в принципе	4	7
53	в искусстве	6	7
54	в то	6	7
55	отличие от	6	7
56	но в	9	7
57	я и	2	7
58	в основе	3	6
59	с его	5	6
60	что в	9	6
61	объектной организации	10	6
62	не сводится	4	6
63	в ее	5	6
64	том что	9	6
65	не в	7	6
66	эмоциональная рефлексия	4	6
67	же время	5	6
68	модус художественности	6	6
69	отношение к	5	6
70	в тексте	14	6
71	приводит к	5	6
72	не может	4	6
73	по своей	3	6
74	в состав	6	6
75	я есть	5	5
76	могут быть	4	5
77	художественности в	4	5
78	по сути	2	5
79	можно сказать	3	5
80	а также	6	5
81	ни в	2	5
82	только в	6	5
83	тем самым	4	5
84	художественной реальности	5	5
85	в самом	4	5
86	того что	4	5
87	я с	5	5
88	в нем	4	5
89	художественного языка	7	5
90	с ее	3	5
91	то что	3	5
92	и одновременно	4	5
93	присутствия я	6	5
94	между ними	4	5
95	эстетическая деятельность	6	5
96	внутреннего зрения	11	5
97	или менее	2	5
98	и т.п	4	5
99	другой стороны	5	5
100	в их	2	5
101	уже не	4	5
102	внешней заданности	2	5
103	героя и	5	5
104	природа литературы	2	5
105	субъектной организации	9	5
106	более или	2	5
107	вторичной знаковой	5	5
108	место в	5	4
109	искусства в	2	4
110	а на	3	4
111	говоря словами	3	4
112	в этих	3	4
113	знакового материала	4	4
114	личностного присутствия	3	4
115	личности в	3	4
116	прежде всего	2	4
117	к тому	2	4
118	а только	3	4
119	в ходе	4	4
120	кто говорит	3	4
121	и как	2	4
122	в другом	3	4
123	воспринимающего сознания	3	4
124	особого рода	2	4
125	внутреннего я	4	4
126	для него	2	4
127	еще не	4	4
128	эстетических отношений	3	4
129	хотя и	3	4
130	он не	3	4
131	порядка в	4	4
132	художественный текст	4	4
133	естественного языка	4	4
134	жизни как	4	4
135	и тем	3	4
136	в своей	6	4
137	произведения искусства	2	4
138	со стороны	2	4
139	в форме	2	4
140	во времени	3	4
141	как к	2	4
142	организации художественного	6	4
143	отношения к	2	4
144	лирический герой	2	4
145	высказывания в	3	4
146	аналогичным образом	2	4
147	в слове	3	4
148	по пути	3	4
149	самим собой	3	4
150	и то	2	4
151	сказать что	3	4
152	между тем	5	4
153	речи и	2	4
154	мы имеем	7	4
155	как эстетической	4	4
156	говорить о	3	4
157	не знает	3	4
158	без исключения	4	4
159	и т.д	3	4
160	роли в	5	4
161	эстетического объекта	2	4
162	как это	8	4
163	эстетический объект	3	4
164	к которому	3	4
165	кадров внутреннего	7	3
166	конструктивному принципу	3	3
167	искусства это	2	3
168	текст в	4	3
169	художественного произведения	4	3
170	личности и	4	3
171	композиционных форм	5	3
172	оказывается в	3	3
173	не менее	4	3
174	если бы	3	3
175	эстетического созерцания	3	3
176	однако в	7	3
177	конечном счете	6	3
178	ролевой границей	2	3
179	в отношении	3	3
180	внутренняя граница	2	3
181	в противоположность	2	3
182	текста в	3	3
183	он должен	2	3
184	это не	2	3
185	одного и	3	3
186	в эстетический	2	3
187	художественной целостности	3	3
188	этом смысле	2	3
189	говорит и	2	3
190	была бы	3	3
191	или иного	3	3
192	миропорядка и	3	3
193	в стихотворении	4	3
194	и к	3	3
195	к его	2	3
196	тем не	3	3
197	рамках которого	3	3
198	и того	3	3
199	субъекта и	2	3
200	в акте	2	3
201	граница личности	3	3
202	в пределах	5	3
203	элегическое я	3	3
204	всех без	3	3
205	человека к	3	3
206	по своему	2	3
207	перед лицом	2	3
208	того же	3	3
209	в свою	3	3
210	со своей	3	3
211	или иным	3	3
212	мог бы	3	3
213	к области	2	3
214	в воображении	3	3
215	литературного текста	2	3
216	первичной реальности	3	3
217	имеет место	2	3
218	иначе говоря	4	3
219	несет в	2	3
220	того или	3	3
221	однако если	2	3
222	художественности и	2	3
223	как раз	2	3
224	художественного целого	4	3
225	в роли	3	3
226	в конечном	6	3
227	далеко не	2	3
228	мясную лавку	2	3
229	от гр	3	3
230	в точке	2	3
231	не будет	2	3
232	как говорит	3	3
233	в целом	3	3
234	в культуре	2	3
235	первичной знаковой	3	3
236	бенвенист ритм	3	3
237	значении этого	3	3
238	системе ценностей	3	3
239	так в	4	3
240	ценностного центра	3	3
241	не на	2	3
242	своей эстетической	2	3
243	следует смешивать	3	3
244	таким образом	3	3
245	текста как	4	3
