N	2gram	Losev_Prob_4	Morfolog
1	может быть	9	52
2	и т	4	49
3	т д	3	47
4	таким образом	8	20
5	не может	5	17
6	в этих	5	16
7	с этим	4	14
8	и в	20	13
9	в этом	9	13
10	так как	5	12
11	перед нами	13	11
12	связи с	3	11
13	прежде всего	11	9
14	так и	10	9
15	в связи	3	9
16	то же	7	9
17	и не	28	9
18	а не	7	9
19	мы имеем	6	9
20	с другой	7	8
21	что и	3	8
22	при помощи	10	8
23	в результате	8	8
24	в качестве	10	7
25	но если	6	7
26	все же	2	7
27	имеем в	3	7
28	это не	7	6
29	в том	20	6
30	но не	5	6
31	а также	6	6
32	а в	4	6
33	не менее	10	5
34	если мы	5	5
35	то перед	2	5
36	во всех	4	5
37	далеко не	2	5
38	как бы	4	5
39	то что	15	5
40	или в	5	5
41	потому что	15	5
42	мы не	7	5
43	что в	3	4
44	и как	3	4
45	вовсе не	21	4
46	об этом	6	4
47	что его	4	4
48	тем не	10	4
49	случае не	5	4
50	было бы	14	4
51	на его	2	4
52	несмотря на	4	4
53	ни одна	2	4
54	не только	24	4
55	то это	3	4
56	как в	5	4
57	как мы	3	4
58	другой стороны	6	4
59	так же	5	4
60	как и	6	4
61	то мы	2	4
62	хотя и	5	4
63	тем что	3	4
64	точки зрения	14	4
65	с точки	11	4
66	также и	13	4
67	его в	2	4
68	а если	3	4
69	в других	2	4
70	только что	2	3
71	независимо от	3	3
72	если бы	8	3
73	это уже	3	3
74	а то	2	3
75	в нашем	12	3
76	между собой	2	3
77	с собой	3	3
78	в начале	3	3
79	в какой	4	3
80	же в	4	3
81	том что	12	3
82	но все	3	3
83	но это	6	3
84	что они	2	3
85	кроме того	4	3
86	в пределах	2	3
87	того чтобы	2	3
88	может существовать	2	3
89	он не	2	3
90	не является	10	3
91	ни в	17	3
92	но и	14	3
93	на самом	5	3
94	заметим что	3	3
95	самом деле	3	3
96	из которых	3	3
97	и по	2	3
98	к нему	3	3
99	и для	4	3
100	иное чем	2	3
101	друг друга	2	3
102	можно назвать	2	3
103	мы можем	3	3
104	из них	3	3
105	и ее	4	3
106	в то	4	3
107	мы должны	3	3
108	но в	8	3
109	значит что	8	3
110	ни к	2	2
111	и более	3	2
112	с тем	4	2
113	в виде	22	2
114	в частности	2	2
115	однако в	2	2
116	хотя бы	7	2
117	точно так	3	2
118	этого не	2	2
119	что он	8	2
120	можно сказать	5	2
121	и к	3	2
122	то в	2	2
123	только в	23	2
124	они и	2	2
125	смысле слова	15	2
126	то время	2	2
127	для него	3	2
128	одной из	4	2
129	никто не	2	2
130	в обоих	2	2
131	не существует	5	2
132	себя в	2	2
133	сказать о	3	2
134	без всякой	2	2
135	или менее	2	2
136	есть нечто	9	2
137	и тогда	2	2
138	и только	4	2
139	или иные	4	2
140	все эти	16	2
141	и что	2	2
142	для того	3	2
143	к другой	2	2
144	уже не	5	2
145	не имеет	4	2
146	и его	10	2
147	можно было	4	2
148	живое существо	4	2
149	в каком	6	2
150	в другом	3	2
151	что мы	3	2
152	или по	2	2
153	о том	5	2
154	ясно что	7	2
155	здесь не	7	2
156	сказать что	7	2
157	как это	3	2
158	более или	2	2
159	время как	2	2
160	это было	2	2
