N	2gram	Medvedev_U_1	DiskursI
1	не только	10	28
2	в том	2	23
3	а не	10	22
4	том что	2	19
5	может быть	6	17
6	и в	14	16
7	как и	3	16
8	в этом	7	15
9	но и	4	14
10	прежде всего	8	11
11	но не	2	11
12	и не	8	11
13	с другой	4	10
14	в частности	3	9
15	не может	7	9
16	но в	3	8
17	в его	2	7
18	то же	5	7
19	в себе	2	7
20	только в	2	7
21	не в	2	7
22	в своей	3	5
23	то что	7	5
24	по композиции	2	5
25	в их	4	5
26	сводится к	2	5
27	с его	2	4
28	в сторону	2	4
29	не как	3	4
30	что он	2	4
31	для него	3	4
32	же время	3	4
33	между тем	2	4
34	могут быть	2	4
35	и т.д	3	4
36	это не	3	3
37	по себе	2	3
38	что и	2	3
39	в самом	2	3
40	хотя бы	5	3
41	все же	3	3
42	таким образом	2	3
43	другой стороны	3	3
44	тем что	2	3
45	в то	3	3
46	а о	2	2
47	по крайней	2	2
48	крайней мере	2	2
49	к области	2	2
50	одним из	2	2
51	не есть	2	2
52	не приходится	2	2
53	этого термина	2	2
54	более чем	2	2
55	не следует	3	2
56	же самое	2	2
57	в этой	4	2
58	о чем	2	2
59	это было	2	2
