N	3gram	Losev_Vlad_3	Dialekti
1	с точки зрения	6	8
2	это значит что	6	8
3	в том что	10	6
4	то же время	2	4
5	о том что	8	4
6	с другой стороны	2	4
7	в связи с	2	4
8	в то время	4	3
9	сам по себе	2	3
10	в таком случае	2	3
11	ни в каком	2	3
12	в то же	3	3
13	содержит в себе	4	3
14	не может быть	6	3
15	то время как	2	3
16	вовсе не есть	2	2
17	в данном случае	2	2
18	нельзя сказать что	2	2
19	иметь в виду	2	2
20	более или менее	5	2
21	тем не менее	9	2
22	само по себе	3	2
23	во всяком случае	3	2
24	так или иначе	2	2
