N	3gram	Bakhtin_fo_1	Problemy
1	с точки зрения	2	9
2	до сих пор	3	8
3	не может быть	3	8
4	то же время	9	5
5	в то же	6	5
6	по отношению к	3	5
7	в том числе	4	4
8	том числе и	2	3
9	как и в	2	3
10	в отличие от	2	3
11	как раз и	2	3
12	к себе самому	4	3
13	с самим собою	3	3
14	в конце романа	5	2
15	и в других	4	2
16	мы уже сказали	2	2
17	той или иной	2	2
18	дело в том	2	2
19	друг на друга	2	2
20	в строгом смысле	2	2
21	как если бы	2	2
22	как мы уже	8	2
23	с самим собой	2	2
24	и в сущности	2	2
25	здесь не место	2	2
26	в том что	2	2
27	в этом романе	2	2
28	но и в	2	2
