N	2gram	Bakhtin_Fr_2	Tvorches
1	и в	49	20
2	в году	13	16
3	в романе	9	15
4	не только	17	13
5	никогда не	5	11
6	как бы	11	11
7	в его	18	10
8	таким образом	7	10
9	в то	6	10
10	там же	2	9
11	и его	17	9
12	и не	15	9
13	же с	2	9
14	прежде всего	19	8
15	в том	3	8
16	при этом	5	8
17	но и	13	8
18	может быть	5	8
19	в этом	15	8
20	и с	6	8
21	же время	6	7
22	что в	2	7
23	не может	7	7
24	то же	7	7
25	xix века	2	7
26	у него	2	6
27	в конце	2	6
28	что он	3	6
29	как и	11	6
30	в своей	5	6
31	так и	6	6
32	все это	9	6
33	именно в	6	6
34	в основном	5	6
35	в мире	2	5
36	но это	2	5
37	еще не	2	5
38	но не	5	5
39	все же	7	5
40	и даже	2	5
41	так же	2	5
42	и на	17	5
43	в этой	10	5
44	о том	3	5
45	в творчестве	6	5
46	то есть	32	5
47	в духе	4	4
48	том что	4	4
49	в дальнейшем	2	4
50	что они	2	4
51	на его	2	4
52	хотя и	2	4
53	в известной	4	4
54	все эти	7	4
55	а в	4	4
56	и потому	5	4
57	ничего не	2	4
58	но в	4	4
59	это был	2	3
60	место в	3	3
61	жизни в	3	3
62	превращается в	3	3
63	человека и	3	3
64	с ним	4	3
65	а затем	3	3
66	одна из	4	3
67	так например	2	3
68	для него	9	3
69	одной из	2	3
70	в самом	3	3
71	и др	9	3
72	один из	7	3
73	в нем	9	3
74	то что	6	3
75	и это	3	3
76	вместе с	2	3
77	сих пор	4	3
78	в их	2	3
79	так как	6	3
80	одним из	2	3
81	тем что	4	3
82	в своих	4	3
83	в себе	4	3
84	в начале	5	3
85	в плане	3	3
86	до сих	4	3
87	включает в	2	2
88	уже в	5	2
89	весь роман	2	2
90	по словам	2	2
91	и без	2	2
92	точку зрения	2	2
93	с другой	4	2
94	о человеке	2	2
95	в одном	3	2
96	вовсе не	10	2
97	во всяком	2	2
98	в литературе	6	2
99	в ее	3	2
100	как известно	2	2
101	известной мере	3	2
102	xviii века	6	2
103	в произведениях	2	2
104	для которого	3	2
105	всяком случае	2	2
106	точка зрения	3	2
107	по преимуществу	2	2
108	в истории	6	2
109	но эти	3	2
110	в ту	2	2
111	так в	3	2
112	не было	4	2
113	и других	3	2
114	связь с	3	2
115	другой стороны	3	2
116	в xix	3	2
117	особенно в	2	2
118	рядом с	6	2
119	роль в	5	2
120	он еще	2	2
121	из них	3	2
122	могут быть	2	2
123	здравого смысла	2	2
124	и еще	2	2
125	и вообще	3	2
126	только в	13	2
127	xix веке	3	2
128	их в	3	2
129	только с	3	2
130	но прежде	3	2
131	в устах	2	2
