N	2gram	Bakhtin_Fr_5	Formalny
1	и не	15	30
2	вовсе не	8	28
3	и в	45	27
4	может быть	2	25
5	не может	5	24
6	так и	6	21
7	и его	13	19
8	таким образом	8	18
9	в этом	14	18
10	а не	4	17
11	точки зрения	4	16
12	самом деле	5	16
13	в нем	10	15
14	то же	11	15
15	на самом	5	14
16	как и	10	14
17	с точки	2	14
18	не в	7	12
19	и от	4	11
20	в самом	4	11
21	но и	10	10
22	не могут	2	10
23	лишь в	2	9
24	так как	6	9
25	не только	14	9
26	так же	8	9
27	что в	12	8
28	ни в	3	8
29	при этом	2	8
30	в пределах	2	8
31	как бы	12	8
32	с помощью	3	8
33	и все	7	8
34	то что	2	8
35	как раз	5	8
36	как мы	8	8
37	только в	4	8
38	не менее	3	7
39	в том	10	7
40	же время	9	7
41	все это	7	7
42	потому что	7	7
43	в то	11	7
44	его в	5	7
45	между тем	2	7
46	с тем	2	7
47	для них	2	7
48	в его	13	7
49	если мы	2	7
50	там где	3	7
51	все эти	5	6
52	здесь и	5	6
53	бы в	4	6
54	но в	14	6
55	что он	6	6
56	было бы	2	6
57	все же	2	6
58	в своей	3	6
59	хотя бы	2	6
60	и для	3	6
61	в данном	2	6
62	вместе с	3	6
63	независимо от	2	5
64	в каждом	2	5
65	того чтобы	6	5
66	и их	5	5
67	в одной	3	5
68	в ней	8	5
69	в истории	2	5
70	большинстве случаев	2	5
71	но не	4	5
72	связи с	6	5
73	прежде всего	10	4
74	к тому	2	4
75	он был	7	4
76	и как	5	4
77	можно говорить	2	4
78	в большинстве	2	4
79	для того	6	4
80	мы видели	7	4
81	в целом	2	4
82	жизни и	8	4
83	данном случае	2	4
84	в связи	5	4
85	от всех	5	4
86	о том	4	4
87	как это	4	4
88	мы можем	2	4
89	в романе	11	4
90	том что	7	4
91	конечно не	2	4
92	как ее	2	4
93	как в	3	4
94	менее всего	3	4
95	роль в	2	4
96	мы не	4	4
97	слова и	2	4
98	произведение в	2	4
99	же как	4	3
100	что это	2	3
101	это не	3	3
102	в конце	7	3
103	можно сказать	2	3
104	того что	3	3
105	дело идет	3	3
106	одним из	5	3
107	не нуждается	2	3
108	в эпоху	7	3
109	той же	4	3
110	этом отношении	5	3
111	и что	2	3
112	в которых	3	3
113	и на	5	3
114	сказать что	4	3
115	и с	10	3
116	в основе	4	3
117	нуждается в	3	3
118	он и	3	3
119	от его	3	3
120	жизни в	2	3
121	в них	6	3
122	на фоне	2	3
123	в условиях	2	3
124	они и	2	3
125	того же	3	3
126	же самое	2	3
127	мы уже	4	3
128	во всех	13	3
129	еще в	2	3
130	нет и	2	3
131	жизнь и	2	3
132	в поэзии	3	3
133	в сторону	2	2
134	мы еще	2	2
135	в отношении	2	2
136	характерно что	4	2
137	вообще не	3	2
138	переходит в	2	2
139	на все	2	2
140	становления и	2	2
141	всех этих	6	2
142	но это	5	2
143	такой же	4	2
144	в этой	6	2
145	на этом	5	2
146	в общем	4	2
147	известной степени	4	2
148	и др	8	2
149	от того	3	2
150	что она	3	2
151	в своем	11	2
152	и только	2	2
153	но эта	2	2
154	в самой	8	2
155	эта связь	4	2
156	и даже	4	2
157	чем же	4	2
158	из этих	3	2
159	как он	3	2
160	том как	2	2
161	поэтому и	3	2
162	с его	7	2
163	нисколько не	3	2
164	перестает быть	2	2
165	превращается в	2	2
166	и во	4	2
167	в пределе	3	2
168	к этому	2	2
169	из своих	2	2
170	с ее	5	2
171	говорить о	2	2
172	и притом	2	2
173	одной из	5	2
174	в сущности	4	2
175	даже в	2	2
176	не могло	3	2
177	должен быть	2	2
178	что и	7	2
179	так в	2	2
180	в отличие	2	2
181	это и	5	2
182	чтобы не	2	2
183	до известной	4	2
184	от этого	2	2
185	ту же	2	2
186	связаны с	4	2
187	и это	4	2
188	дело в	3	2
189	здесь не	6	2
190	отличие от	2	2
191	ничего не	4	2
192	в эту	2	2
