N	2gram	Ircho_Kome_1	Psycholo
1	то что	2	37
2	и в	22	30
3	в том	11	27
4	что в	6	24
5	потому что	5	23
6	том что	12	21
7	таким образом	8	20
8	что он	6	17
9	на то	3	17
10	не только	10	16
11	в трагедии	2	15
12	в самом	2	14
13	в этом	3	14
14	так же	3	13
15	как раз	3	13
16	одной стороны	3	12
17	в сущности	2	12
18	вместе с	2	12
19	с одной	3	12
20	может быть	9	11
21	о том	8	10
22	с другой	5	9
23	для этого	2	9
24	не может	2	9
25	так как	4	9
26	к тому	6	8
27	не в	6	8
28	при этом	5	8
29	могут быть	3	8
30	в нем	4	7
31	и как	3	7
32	но не	2	7
33	мы можем	4	7
34	все же	3	7
35	и т	9	7
36	то же	6	7
37	действующих лиц	4	7
38	точки зрения	4	7
39	как это	3	7
40	уже в	5	6
41	ясно что	4	6
42	именно в	4	6
43	как и	9	6
44	и тем	2	6
45	но и	11	6
46	и не	8	6
47	и его	8	6
48	или в	2	6
49	и здесь	2	6
50	тем что	4	6
51	как будто	2	6
52	на этом	2	6
53	в целом	3	5
54	несмотря на	4	5
55	как мы	4	5
56	в этой	7	5
57	что они	4	5
58	еще не	2	5
59	до сих	2	5
60	было бы	2	5
61	указывает что	2	5
62	один из	5	5
63	сих пор	2	5
64	другой стороны	5	5
65	именно на	2	5
66	в своих	2	5
67	в себе	2	5
68	но в	4	5
69	только в	3	5
70	же самое	2	5
71	в стихе	2	4
72	казалось бы	3	4
73	в результате	4	4
74	в частности	3	4
75	и все	3	4
76	прежде всего	5	4
77	у нас	3	4
78	указывает на	2	4
79	в его	5	4
80	в них	3	4
81	только что	2	4
82	а в	6	4
83	которых мы	2	4
84	мы найдем	2	4
85	из которых	2	4
86	в конце	6	4
87	трагедии в	2	3
88	у него	3	3
89	что у	2	3
90	в состоянии	2	3
91	именно потому	2	3
92	к этому	4	3
93	для ее	2	3
94	вовсе не	2	3
95	вопрос о	3	3
96	одна из	2	3
97	в свою	2	3
98	тот же	3	3
99	он не	3	3
100	как из	3	3
101	что и	4	3
102	на его	5	3
103	ни в	6	3
104	так и	5	3
105	со стороны	2	3
106	как в	5	3
107	в их	4	3
108	так в	4	3
109	т д	4	3
110	времени и	2	3
111	этом отношении	3	3
112	по поводу	4	3
113	и о	3	3
114	мы не	3	3
115	в силу	2	3
116	но он	2	3
117	и на	3	3
118	т п	5	3
119	в другом	4	3
120	в которой	6	3
121	в отношении	6	2
122	же как	3	2
123	в последних	3	2
124	в противоположность	2	2
125	в одном	8	2
126	мы знаем	2	2
127	и можно	2	2
128	же в	4	2
129	он был	2	2
130	до конца	2	2
131	ли не	4	2
132	того же	2	2
133	что по	2	2
134	со своим	5	2
135	в качестве	4	2
136	мог бы	2	2
137	о которых	5	2
138	еще в	5	2
139	в котором	4	2
140	из них	10	2
141	на сцене	3	2
142	в форме	2	2
143	находится в	2	2
144	все это	5	2
145	по отношению	3	2
146	и таким	2	2
147	того как	3	2
148	в течение	3	2
149	в себя	2	2
150	и вот	4	2
151	и хотя	2	2
152	и даже	5	2
153	к этим	3	2
154	отличие от	2	2
155	время как	4	2
156	ничего не	3	2
157	и с	3	2
158	что касается	2	2
159	совсем не	2	2
160	в то	10	2
161	ту же	2	2
162	которые он	2	2
163	конце концов	4	2
164	едва ли	7	2
165	почти не	2	2
