N	2gram	Voloshinov_1	VelikijI
1	и не	16	20
2	и в	15	16
3	то что	10	9
4	так как	9	9
5	еще не	7	8
6	в истории	3	8
7	и потому	8	7
8	а не	2	7
9	человека и	6	6
10	как бы	11	5
11	но и	4	5
12	все это	5	5
13	того что	2	5
14	на себя	2	5
15	в силах	2	4
16	и есть	2	4
17	что все	5	4
18	что он	8	4
19	в нем	4	4
20	как и	6	4
21	все что	9	4
22	что мы	2	4
23	так и	10	4
24	потому что	4	4
25	в этом	13	4
26	в ней	5	4
27	и все	4	4
28	в его	9	4
29	с его	8	3
30	что в	6	3
31	в этих	2	3
32	в жизни	5	3
33	ни в	6	3
34	в том	4	3
35	не в	4	3
36	но это	2	3
37	всех людей	2	3
38	тот же	5	3
39	к тому	4	3
40	во всех	8	3
41	никогда не	7	3
42	оно не	2	3
43	что и	2	3
44	жизни и	5	3
45	в своей	9	3
46	бы и	2	3
47	тому что	3	3
48	не было	4	3
49	и что	3	3
50	хотя бы	7	3
51	и для	2	3
52	должно быть	2	3
53	их в	2	3
54	в первый	4	3
55	все эти	9	3
56	в чем	4	3
57	но в	9	3
58	не могут	3	2
59	его и	2	2
60	это не	2	2
61	прежде всего	11	2
62	том что	5	2
63	мы и	4	2
64	одна из	3	2
65	но не	5	2
66	конечно не	3	2
67	для него	5	2
68	для них	3	2
69	того чтобы	2	2
70	не только	5	2
71	все тот	2	2
72	один из	4	2
73	но мы	2	2
74	и за	2	2
75	ее в	2	2
76	в себя	5	2
77	мы не	4	2
78	уже не	5	2
79	а в	6	2
80	с ним	12	2
81	и то	2	2
82	между тем	2	2
83	могут быть	6	2
84	самого себя	2	2
85	только в	6	2
86	во всяком	4	2
