N	2gram	Nazirov_Vr_1	Formalny
1	т е	3	32
2	и не	5	30
3	и в	8	27
4	может быть	4	25
5	не может	2	24
6	и его	3	19
7	таким образом	2	18
8	в этом	8	18
9	точки зрения	2	16
10	в нем	6	15
11	то же	5	15
12	как и	6	14
13	с точки	2	14
14	место в	2	10
15	но и	7	10
16	не только	9	9
17	так же	4	9
18	что в	7	8
19	при этом	4	8
20	как бы	4	8
21	отнюдь не	2	8
22	и все	7	8
23	то что	7	8
24	как раз	2	8
25	не менее	2	7
26	в том	3	7
27	же время	5	7
28	все это	4	7
29	в то	5	7
30	его в	3	7
31	между тем	5	7
32	в его	3	7
33	в своих	4	6
34	но в	6	6
35	что он	4	6
36	еще не	2	6
37	все же	6	6
38	в своей	2	6
39	и ее	2	6
40	вместе с	2	6
41	никогда не	2	5
42	в ней	4	5
43	в истории	4	5
44	тем что	3	5
45	связи с	3	5
46	уже в	4	4
47	в роман	2	4
48	мы знаем	2	4
49	он был	3	4
50	и как	3	4
51	в связи	3	4
52	о том	4	4
53	в романе	6	4
54	том что	3	4
55	же как	2	3
56	его и	2	3
57	столь же	2	3
58	это не	4	3
59	в конце	3	3
60	для нас	4	3
61	одним из	3	3
62	в него	2	3
63	в виду	4	3
64	и что	8	3
65	их в	2	3
66	и с	6	3
67	в них	2	3
68	о нем	6	3
69	в той	2	3
70	уже не	2	3
71	в себе	2	3
72	п в	2	2
73	но это	2	2
74	в этой	2	2
75	в котором	6	2
76	из них	2	2
77	в своем	3	2
78	отношения к	2	2
79	и даже	6	2
80	в россии	5	2
81	с его	3	2
82	и во	3	2
83	к этому	3	2
84	одна из	2	2
85	который был	3	2
86	так в	2	2
87	человека в	3	2
88	и это	2	2
89	в эту	2	2
