N	2gram	Losev_Vesc_1	Narrotol
1	не только	36	32
2	может быть	16	25
3	но и	18	23
4	и не	29	20
5	и в	21	19
6	в том	8	18
7	в этом	4	17
8	том что	8	14
9	не в	5	14
10	а не	19	12
11	то что	27	11
12	а в	4	11
13	не может	17	10
14	точки зрения	5	10
15	со стороны	5	9
16	так и	3	9
17	в его	2	9
18	с другой	6	8
19	в себе	14	8
20	как и	8	7
21	еще не	8	7
22	к тому	3	7
23	все же	4	7
24	с одной	3	7
25	одной стороны	3	7
26	то в	4	6
27	но не	5	6
28	в себя	13	6
29	в той	3	6
30	как это	2	6
31	о том	6	6
32	но в	5	6
33	и как	8	5
34	отнюдь не	5	5
35	по себе	13	5
36	можно сказать	6	5
37	себя в	10	5
38	не предполагает	4	5
39	уже не	9	5
40	и его	2	5
41	в данном	5	5
42	в основе	3	5
43	к себе	4	5
44	в этой	3	5
45	перед нами	2	4
46	во втором	2	4
47	прежде всего	9	4
48	в нем	2	4
49	у него	2	4
50	что не	5	4
51	то же	6	4
52	да и	3	4
53	основе своей	2	4
54	в силу	3	4
55	если не	3	4
56	было бы	14	4
57	той или	2	4
58	как бы	12	4
59	и тем	3	4
60	хотя бы	6	4
61	данном случае	2	4
62	другой стороны	2	4
63	отличается от	7	4
64	сказать что	17	4
65	только в	14	4
66	и с	8	4
67	не менее	3	3
68	а с	3	3
69	ни было	4	3
70	что в	9	3
71	никогда не	2	3
72	в свою	4	3
73	тем не	3	3
74	это и	6	3
75	может не	2	3
76	что они	6	3
77	одна из	5	3
78	свою очередь	4	3
79	в сущности	4	3
80	хотя и	4	3
81	в ней	12	3
82	и даже	6	3
83	мог бы	5	3
84	один из	3	3
85	не с	7	3
86	не есть	49	3
87	с ее	6	3
88	не будет	12	3
89	бы то	4	3
90	в первом	2	3
91	из них	4	3
92	жизни и	2	3
93	в ее	7	3
94	даже не	7	3
95	без чего	3	3
96	то ни	4	3
97	как мы	4	3
98	сводится к	2	3
99	то или	2	3
100	или иначе	4	3
101	о ней	2	3
102	тем что	2	3
103	по своей	2	3
104	в то	3	3
105	что это	13	3
106	с чем	7	2
107	независимо от	5	2
108	должна быть	4	2
109	себя и	4	2
110	в своем	6	2
111	себе не	3	2
112	что у	5	2
113	первом случае	2	2
114	оно не	3	2
115	от всех	4	2
116	она может	4	2
117	в собственном	2	2
118	различие между	2	2
119	что на	2	2
120	что иное	7	2
121	или иную	2	2
122	по существу	2	2
123	ту или	2	2
124	между ними	3	2
125	имеем дело	3	2
126	не что	7	2
127	для него	4	2
128	она не	4	2
129	и когда	4	2
130	и потому	5	2
131	так или	4	2
132	сами по	3	2
133	зрения и	2	2
134	в последние	2	2
135	есть всегда	4	2
136	как раз	9	2
137	как к	4	2
138	и только	3	2
139	все эти	3	2
140	совершенно не	5	2
141	самом деле	4	2
142	что мы	14	2
143	и для	9	2
144	с точки	3	2
145	это не	5	2
146	или в	2	2
147	можно было	2	2
148	тому как	4	2
149	не случайно	2	2
150	в результате	3	2
151	не то	4	2
152	подобно тому	4	2
153	и ее	18	2
154	говорить о	6	2
155	и все	5	2
156	его в	2	2
157	когда мы	6	2
158	оно может	2	2
159	ничего не	3	2
160	мы имеем	7	2
161	иное как	7	2
162	истории и	2	2
