N	2gram	Nazirov_Vr_1	Vladivir
1	и в	8	30
2	в году	18	24
3	то что	7	20
4	в этом	8	20
5	у него	5	19
6	в том	3	18
7	и не	5	18
8	а н	2	14
9	и с	6	14
10	что он	4	13
11	в конце	3	13
12	том что	3	12
13	что в	7	12
14	там же	2	12
15	не только	9	12
16	в его	3	11
17	а в	2	11
18	а также	2	10
19	и даже	6	10
20	не было	5	10
21	года он	3	10
22	для него	2	9
23	все же	6	9
24	не может	2	9
25	в то	5	9
26	связи с	3	8
27	в своем	3	8
28	вместе с	2	8
29	но и	7	8
30	в связи	3	8
31	не мог	2	8
32	в письме	5	8
33	но в	6	8
34	не менее	2	7
35	никогда не	2	7
36	точки зрения	2	7
37	и все	7	7
38	может быть	4	7
39	в эти	2	7
40	для нас	4	7
41	к этому	3	6
42	об этом	5	6
43	он был	3	6
44	года в	7	6
45	в себе	2	6
46	летом года	4	6
47	и его	3	6
48	в париже	3	6
49	о чем	2	6
50	и то	2	5
51	как и	6	5
52	при этом	4	5
53	в своей	2	5
54	как бы	4	5
55	в котором	6	5
56	все это	4	5
57	и что	8	5
58	в петербург	3	5
59	с ним	4	5
60	с его	3	4
61	в это	2	4
62	после смерти	2	4
63	я не	3	4
64	его в	3	4
65	мы знаем	2	4
66	в этой	2	4
67	несмотря на	4	4
68	и о	3	4
69	в ней	4	4
70	он не	3	4
71	в нем	6	4
72	то же	5	4
73	эти годы	2	4
74	в те	3	4
75	и он	2	4
76	так же	4	4
77	но это	2	4
78	м м	2	4
79	марта года	3	4
80	в начале	6	4
81	письме к	4	4
82	о том	4	4
83	отношение к	2	4
84	уже в	4	3
85	европы №	2	3
86	в них	2	3
87	это в	2	3
88	же время	5	3
89	в свою	2	3
90	и как	3	3
91	тем более	2	3
92	что я	2	3
93	том же	2	3
94	с точки	2	3
95	отношения к	2	3
96	таким образом	2	3
97	уже не	2	3
98	но он	3	3
99	его на	2	3
100	и это	2	3
101	в россии	5	3
102	александра ii	5	2
103	он сам	2	2
104	у достоевского	4	2
105	это не	4	2
106	в вестнике	4	2
107	на первый	2	2
108	вестнике европы	4	2
109	же в	2	2
110	в январе	3	2
111	на то	3	2
112	о нем	6	2
113	в виду	4	2
114	наряду с	3	2
115	его и	2	2
116	который был	3	2
117	он пишет	2	2
118	я хотел	3	2
119	с которым	2	2
120	в ноябре	2	2
121	начиная с	2	2
122	письмо к	2	2
123	в той	2	2
124	в чем	3	2
125	в своих	4	2
126	их в	2	2
127	и во	3	2
128	мая года	2	2
