N	2gram	Tiupa_Lite_2	Formalny
1	и не	11	30
2	вовсе не	2	28
3	и в	19	27
4	может быть	17	25
5	не может	9	24
6	так и	7	21
7	и его	3	19
8	в этом	9	18
9	а не	20	17
10	точки зрения	4	16
11	в нем	3	15
12	то же	12	15
13	как и	10	14
14	с точки	3	14
15	не в	4	12
16	в жизни	2	11
17	и т	2	11
18	но и	10	10
19	так как	3	9
20	не только	8	9
21	что в	4	8
22	при этом	6	8
23	как бы	2	8
24	отнюдь не	4	8
25	то что	7	8
26	как раз	2	8
27	не менее	6	7
28	в том	10	7
29	же время	9	7
30	потому что	2	7
31	в искусстве	4	7
32	в то	9	7
33	с тем	2	7
34	в его	4	7
35	тем же	3	7
36	с другой	8	6
37	в своих	2	6
38	но в	2	6
39	что он	3	6
40	еще не	2	6
41	было бы	2	6
42	все же	2	6
43	хотя бы	2	6
44	и для	3	6
45	в данном	3	6
46	вместе с	5	6
47	никогда не	3	5
48	в каждом	2	5
49	ни было	2	5
50	не является	2	5
51	друг друга	2	5
52	другой стороны	4	5
53	в ней	4	5
54	в результате	2	5
55	в истории	2	5
56	в художественном	2	5
57	но не	5	5
58	т п	2	5
59	тому как	2	5
60	тем что	4	5
61	уже в	2	4
62	прежде всего	4	4
63	и как	3	4
64	до конца	2	4
65	для того	2	4
66	в целом	2	4
67	жизни и	4	4
68	данном случае	3	4
69	со стороны	3	4
70	о том	2	4
71	как это	2	4
72	в ее	2	4
73	том что	7	4
74	мы не	4	4
75	могут быть	2	4
76	подобно тому	2	4
77	слова и	7	4
78	же как	2	3
79	в какой	2	3
80	столь же	5	3
81	в конце	2	3
82	для нас	2	3
83	того что	5	3
84	одним из	3	3
85	в него	2	3
86	в виду	2	3
87	по отношению	4	3
88	той же	2	3
89	этом отношении	3	3
90	и что	2	3
91	и на	6	3
92	и с	3	3
93	в основе	2	3
94	он и	2	3
95	жизни в	4	3
96	в них	2	3
97	на фоне	5	3
98	у нас	5	3
99	того же	4	3
100	во всех	3	3
101	еще в	4	3
102	отношению к	3	3
103	уже не	2	3
104	героя в	2	3
105	в себе	6	3
106	в поэзии	3	3
107	для этого	2	2
108	но это	3	2
109	такой же	3	2
110	в этой	3	2
111	на этом	2	2
112	очевидно что	2	2
113	художественного творчества	2	2
114	ведь мы	2	2
115	и др	3	2
116	был бы	2	2
117	из них	2	2
118	и только	2	2
119	и даже	8	2
120	как он	2	2
121	в россии	2	2
122	перестает быть	3	2
123	однако в	6	2
124	в стихах	8	2
125	в такой	2	2
126	из своих	2	2
127	с ее	2	2
128	а к	2	2
129	то в	2	2
130	одна из	5	2
131	на жизнь	2	2
132	одной из	2	2
133	в сущности	3	2
134	даже в	4	2
135	что и	2	2
136	тем не	2	2
137	но уже	2	2
138	так в	5	2
139	человека в	4	2
140	в художественной	3	2
141	ту же	2	2
142	в области	4	2
143	ничего не	3	2
