N	2gram	Vygotskiy__2	VeschiIm
1	не может	17	33
2	не только	12	31
3	может быть	18	29
4	и не	10	28
5	и в	32	26
6	то что	21	24
7	это значит	3	22
8	значит что	3	22
9	и т	10	21
10	т д	2	20
11	а не	7	20
12	есть только	5	17
13	в смысле	3	15
14	и следовательно	2	15
15	что она	16	14
16	только в	7	14
17	и что	22	13
18	того что	8	13
19	по себе	12	13
20	что это	8	12
21	было бы	11	12
22	но и	10	12
23	сказать что	7	12
24	есть не	4	12
25	все же	4	12
26	и то	3	12
27	и ее	3	12
28	что же	3	11
29	таким образом	21	11
30	то же	13	10
31	в ней	5	10
32	как бы	6	10
33	потому что	21	10
34	не значит	2	10
35	есть нечто	2	10
36	вещей и	2	9
37	в том	37	9
38	в самом	12	9
39	бы то	2	9
40	и с	4	9
41	то ни	2	9
42	что не	3	9
43	на то	11	8
44	но это	2	8
45	с ее	3	8
46	в себе	2	8
47	смысл и	2	8
48	и это	4	8
49	ничего не	4	8
50	совершенно не	4	7
51	в свете	2	7
52	что оно	2	7
53	также и	2	7
54	в то	5	7
55	так как	12	7
56	если она	2	7
57	том что	21	7
58	указывает на	3	7
59	если оно	3	7
60	и их	3	7
61	как раз	5	7
62	с другими	2	7
63	в этом	13	7
64	ли это	2	7
65	так что	3	6
66	и как	7	6
67	что они	7	6
68	но что	2	6
69	что в	20	6
70	жизни и	4	6
71	отличается от	2	6
72	и только	2	6
73	точки зрения	17	6
74	когда мы	2	6
75	но в	3	6
76	ясно что	7	6
77	она не	2	6
78	значит ли	2	6
79	относится к	3	6
80	бы и	3	6
81	если мы	12	6
82	можно было	7	6
83	не менее	8	5
84	в отношении	3	5
85	это не	2	5
86	с этой	4	5
87	тем не	4	5
88	не в	8	5
89	свою очередь	2	5
90	еще не	2	5
91	из себя	2	5
92	и до	4	5
93	для этого	3	5
94	должны быть	3	5
95	а в	4	5
96	что для	7	5
97	как к	3	5
98	ни на	3	5
99	с тем	11	5
100	если бы	6	5
101	отнюдь не	5	5
102	в свою	3	5
103	в ее	2	5
104	но не	2	5
105	того же	2	5
106	в сущности	7	5
107	и для	4	5
108	в чем	4	5
109	как только	2	4
110	с другой	3	4
111	же время	2	4
112	и мы	6	4
113	когда я	2	4
114	точка зрения	2	4
115	из них	4	4
116	в их	3	4
117	от того	4	4
118	и даже	5	4
119	с этим	4	4
120	о том	6	4
121	не существует	2	4
122	и более	4	4
123	и все	4	4
124	то это	3	4
125	как и	10	4
126	во всех	3	4
127	однако не	2	4
128	оно не	2	4
129	что и	17	4
130	этот вопрос	3	4
131	с точки	10	4
132	то или	2	4
133	мы не	3	4
134	в данном	4	4
135	тем что	9	4
136	есть как	2	3
137	и другое	2	3
138	никогда не	9	3
139	но даже	2	3
140	она является	2	3
141	что именно	3	3
142	к тому	7	3
143	несмотря на	4	3
144	это может	2	3
145	на этом	3	3
146	и сам	4	3
147	в нем	4	3
148	сам по	4	3
149	отношение к	2	3
150	все это	5	3
151	мы находим	2	3
152	о ней	4	3
153	их в	2	3
154	но как	3	3
155	не понимает	2	3
156	мы имеем	4	3
157	тогда когда	3	3
158	же самой	2	3
159	на это	3	3
160	само по	3	3
161	но когда	2	3
162	в одном	2	3
163	в жизни	4	3
164	один из	3	3
165	что он	13	3
166	мы видим	4	3
167	тот же	6	3
168	по самому	3	3
169	как можно	2	3
170	в своей	3	3
171	вместе с	2	3
172	так и	3	3
173	только на	5	3
174	а с	2	3
175	из того	2	3
176	самом деле	16	3
177	того чтобы	14	3
178	хотя бы	3	3
179	тому как	3	3
180	тем более	2	3
181	с в	2	3
182	подобно тому	2	3
183	и вообще	2	3
184	в уме	2	3
185	явлений и	2	3
186	в основе	11	3
187	на вопрос	2	2
188	мы будем	2	2
189	казалось бы	2	2
190	же мы	3	2
191	в частности	3	2
192	тому что	4	2
193	или что	3	2
194	именно потому	2	2
195	была бы	2	2
196	на все	5	2
197	а потому	2	2
198	что на	4	2
199	а только	3	2
200	ни в	2	2
201	в самой	2	2
202	как совершенно	2	2
203	в виду	3	2
204	но совершенно	3	2
205	и тем	4	2
206	образом и	4	2
207	данном случае	4	2
208	но только	4	2
209	это совершенно	2	2
210	оба эти	2	2
211	этой точки	2	2
212	и вот	3	2
213	заключается в	12	2
214	при чем	2	2
215	так же	18	2
216	жизнь и	3	2
217	в своих	9	2
218	как это	4	2
219	как она	4	2
220	то есть	21	2
221	мы можем	3	2
222	на него	2	2
223	мы получим	2	2
224	на нас	3	2
225	и эти	2	2
226	а я	2	2
227	себе и	2	2
228	наряду с	4	2
229	для нее	2	2
230	никак не	4	2
231	об этом	3	2
232	он не	6	2
233	и когда	4	2
234	и этот	2	2
235	когда он	10	2
236	из самого	2	2
237	к природе	2	2
238	как в	9	2
239	как нечто	2	2
240	еще более	3	2
241	для такого	2	2
242	для того	13	2
243	при всем	3	2
244	и его	7	2
245	той же	8	2
246	с но	2	2
247	во всяком	2	2
248	моментов в	2	2
249	и таким	2	2
250	ту же	4	2
251	отношении к	3	2
252	если же	4	2
253	состоит из	2	2
254	в особенности	2	2
255	не потому	2	2
256	то чтобы	2	2
257	том как	2	2
258	это было	3	2
