N	2gram	Bakhtin_fo_1	EvropaiE
1	и в	50	37
2	в отношении	3	32
3	в пределах	5	25
4	точки зрения	5	23
5	что в	5	21
6	не только	9	18
7	с точки	2	17
8	в то	9	16
9	хотя бы	2	15
10	то же	11	15
11	в своем	4	14
12	в качестве	3	14
13	же время	9	14
14	но и	8	14
15	и не	14	14
16	но в	10	14
17	в этом	25	12
18	в их	6	11
19	в том	9	11
20	так и	12	10
21	отнюдь не	5	9
22	прежде всего	15	9
23	не может	6	9
24	в себе	3	9
25	только в	4	9
26	так же	6	9
27	к тому	3	8
28	в ее	6	8
29	одной стороны	2	8
30	было бы	2	8
31	в своей	2	8
32	с одной	3	8
33	как и	8	7
34	того что	2	7
35	а также	2	7
36	с другой	2	7
37	также и	2	7
38	так как	6	7
39	вовсе не	13	6
40	том что	4	6
41	стороны и	2	6
42	может быть	11	6
43	для того	5	6
44	как бы	2	6
45	то что	6	6
46	во всех	6	6
47	того чтобы	5	6
48	и даже	2	6
49	и на	8	6
50	то есть	33	6
51	же как	2	5
52	в частности	6	5
53	не в	5	5
54	но не	5	5
55	одной из	3	5
56	как мы	14	5
57	в той	4	5
58	в течение	2	5
59	и по	2	5
60	от этого	2	5
61	и потому	3	5
62	именно в	3	4
63	вопрос о	2	4
64	или иной	2	4
65	чем в	2	4
66	в самом	8	4
67	в ней	4	4
68	к ней	2	4
69	той или	2	4
70	в процессе	4	4
71	по себе	2	4
72	для нас	2	4
73	мы не	3	4
74	не имеет	4	4
75	лежат в	2	4
76	сказать что	3	4
77	в каком	2	4
78	мира в	3	4
79	место в	2	3
80	и к	2	3
81	этом отношении	3	3
82	но на	4	3
83	с тем	3	3
84	никогда не	2	3
85	жизни в	8	3
86	в них	4	3
87	вообще не	3	3
88	в стороне	2	3
89	в определенном	3	3
90	на себя	2	3
91	в свою	2	3
92	того же	8	3
93	к настоящему	2	3
94	в данной	2	3
95	не является	2	3
96	что и	3	3
97	время в	6	3
98	ее в	2	3
99	как в	6	3
100	и для	4	3
101	и прежде	2	3
102	в таком	3	3
103	к ним	2	3
104	в которых	2	3
105	в результате	6	3
106	потому что	4	3
107	во всяком	3	3
108	тем что	2	3
109	в данном	2	3
110	во все	2	3
111	дело в	2	3
112	там где	2	3
113	в порядке	3	2
114	что все	2	2
115	не могут	3	2
116	для них	3	2
117	сплошь и	2	2
118	а не	3	2
119	в этих	3	2
120	еще более	3	2
121	сравнению с	2	2
122	по сравнению	2	2
123	во втором	2	2
124	и во	7	2
125	с этим	6	2
126	и все	6	2
127	в одном	3	2
128	есть не	3	2
129	и эта	2	2
130	влияние на	4	2
131	же в	3	2
132	и того	6	2
133	и как	10	2
134	есть в	2	2
135	между ними	3	2
136	не к	2	2
137	все другие	2	2
138	имеет место	3	2
139	по преимуществу	3	2
140	он не	5	2
141	в его	13	2
142	в котором	4	2
143	только к	3	2
144	жизни и	8	2
145	в некоторых	2	2
146	наряду с	5	2
147	вместе с	3	2
148	во всей	3	2
149	а в	3	2
150	таким образом	11	2
151	если бы	5	2
152	на них	2	2
153	и других	3	2
154	в значительной	2	2
155	во многом	2	2
156	этот процесс	5	2
157	происходит в	2	2
158	в других	9	2
159	с другими	3	2
160	на основе	2	2
161	мы видим	3	2
162	или в	3	2
163	с большой	2	2
164	и с	4	2
165	хотя и	3	2
166	могут быть	5	2
167	и еще	2	2
168	и то	4	2
169	в истории	2	2
170	мы должны	2	2
171	бы совершенно	2	2
172	его на	2	2
173	далеко не	2	2
174	как оно	2	2
175	между собой	4	2
176	тогда когда	2	2
177	но по	2	2
178	имеет в	2	2
