N	2gram	Bakhtin_sl_2	Psycholo
1	то что	2	44
2	и в	39	33
3	в этом	16	28
4	как бы	7	25
5	для того	2	23
6	может быть	37	22
7	том что	5	22
8	того чтобы	2	22
9	что в	3	21
10	в том	5	21
11	о том	2	20
12	что он	2	20
13	как это	3	14
14	таким образом	8	13
15	и не	22	13
16	сказать что	3	13
17	то есть	26	13
18	все это	16	13
19	и все	5	12
20	так как	4	12
21	он не	2	11
22	не может	20	10
23	в его	7	10
24	по себе	5	9
25	то же	4	9
26	для этого	4	8
27	вместе с	2	8
28	в своем	6	7
29	для нас	5	7
30	до конца	17	7
31	в нем	19	7
32	не только	24	7
33	перед нами	3	6
34	это не	5	6
35	в ней	3	6
36	и т	35	6
37	все эти	6	6
38	но он	2	6
39	точки зрения	8	6
40	у него	3	6
41	в сущности	6	6
42	а не	14	6
43	в себе	2	6
44	никогда не	7	5
45	и как	3	5
46	мы не	2	5
47	и на	4	5
48	вовсе не	10	5
49	как он	2	5
50	с ним	7	5
51	с этим	2	5
52	это и	2	5
53	как и	6	5
54	мы уже	2	5
55	и его	33	5
56	все же	6	5
57	смысла и	3	4
58	жизни и	6	4
59	смысл и	2	4
60	а в	4	4
61	и других	4	4
62	одна из	4	4
63	очень легко	2	4
64	о нем	2	4
65	себя в	8	4
66	на него	2	4
67	как мы	7	4
68	с точки	3	4
69	той же	3	4
70	в таком	4	4
71	только в	5	4
72	слова и	8	4
73	и затем	2	3
74	сама по	3	3
75	с одной	5	3
76	что оно	4	3
77	борьбу с	2	3
78	кажется нам	2	3
79	ни в	4	3
80	на этом	3	3
81	в пределах	13	3
82	одной стороны	5	3
83	например в	5	3
84	всяком случае	2	3
85	с ее	2	3
86	но и	21	3
87	конечно не	5	3
88	материала в	2	3
89	не было	2	3
90	и здесь	2	3
91	в то	4	3
92	его в	4	3
93	в основе	4	3
94	всех этих	4	3
95	в одном	2	3
96	говорить о	3	3
97	но не	6	3
98	от действительности	2	3
99	здесь в	3	3
100	до сих	2	3
101	она не	6	3
102	что и	3	3
103	сих пор	2	3
104	так и	15	3
105	как в	13	3
106	дело с	4	3
107	слова как	2	3
108	и для	5	3
109	во всяком	3	3
110	в виде	2	3
111	эти слова	2	3
112	еще раз	3	3
113	т п	33	3
114	далеко не	2	3
115	в той	4	3
116	уже в	2	2
117	не был	2	2
118	бы и	3	2
119	материала и	3	2
120	его и	2	2
121	и остается	3	2
122	с другой	5	2
123	и от	3	2
124	прежде всего	8	2
125	без всякого	2	2
126	в нее	2	2
127	но все	5	2
128	иметь дело	2	2
129	же время	4	2
130	при этом	7	2
131	точка зрения	2	2
132	один из	5	2
133	своими словами	4	2
134	но мы	2	2
135	все они	2	2
136	в их	2	2
137	т д	2	2
138	именно в	2	2
139	те же	2	2
140	и наконец	5	2
141	его не	4	2
142	в результате	2	2
143	и с	9	2
144	материал и	3	2
145	именно как	2	2
146	во всем	4	2
147	также и	2	2
148	не в	9	2
149	и потому	7	2
150	от прямого	2	2
151	почти все	2	2
152	слово в	11	2
153	но в	6	2
154	с его	7	2
155	в них	6	2
156	и к	6	2
157	мы увидим	2	2
158	во всех	12	2
159	точном смысле	2	2
160	даже в	2	2
161	не все	2	2
162	с таким	2	2
163	и другим	2	2
164	хотя бы	3	2
165	слов в	2	2
166	за ней	2	2
167	связи с	3	2
168	героя и	5	2
169	только с	2	2
