N	2gram	Tiupa_Lite_2	Istorich
1	и в	19	25
2	что он	3	22
3	вместе с	5	22
4	и т	2	20
5	может быть	17	17
6	не только	8	13
7	но и	10	13
8	в его	4	12
9	и не	11	11
10	уже не	2	11
11	так как	3	11
12	все же	2	10
13	в этом	9	10
14	тем что	4	10
15	с другой	8	9
16	и его	3	9
17	героя в	2	9
18	с тем	2	8
19	что в	4	8
20	том что	7	8
21	еще не	2	8
22	другой стороны	4	8
23	и что	2	8
24	и на	6	8
25	в частности	4	7
26	в качестве	5	7
27	а затем	2	7
28	как и	10	7
29	но это	3	7
30	то что	7	7
31	этом случае	2	7
32	одной стороны	6	7
33	в нем	3	7
34	с одной	7	7
35	потому что	2	7
36	представляет собой	2	7
37	о том	2	7
38	прежде всего	4	6
39	что и	2	6
40	себя в	6	6
41	не может	9	6
42	и он	3	6
43	не в	4	6
44	могут быть	2	6
45	в том	10	6
46	для нас	2	5
47	но не	5	5
48	в ней	4	5
49	в него	2	5
50	мы не	4	5
51	не менее	6	4
52	все еще	2	4
53	тем не	2	4
54	в ее	2	4
55	же как	2	4
56	а именно	3	4
57	то же	12	4
58	в истории	2	4
59	он не	5	4
60	с ним	2	4
61	никогда не	3	3
62	и как	3	3
63	над ним	2	3
64	в целом	2	3
65	в этой	3	3
66	в то	9	3
67	в себя	3	3
68	в роли	2	3
69	если в	2	3
70	и др	3	3
71	на себя	2	3
72	но уже	2	3
73	на этом	2	3
74	для того	2	3
75	друг друга	2	3
76	а в	3	3
77	в данном	3	3
78	и с	3	3
79	человека в	4	3
80	в русской	4	3
81	уже в	2	2
82	он на	2	2
83	у него	2	2
84	вовсе не	2	2
85	не исключают	2	2
86	так что	4	2
87	же в	2	2
88	с этой	2	2
89	по существу	3	2
90	такой же	3	2
91	одна из	5	2
92	очевидно что	2	2
93	того же	4	2
94	и сам	2	2
95	жизни и	4	2
96	из которых	2	2
97	одним из	3	2
98	как бы	2	2
99	еще в	4	2
100	даже в	4	2
101	один из	4	2
102	отношению к	3	2
103	во всех	3	2
104	том чтобы	3	2
105	данном случае	3	2
106	со стороны	3	2
107	по отношению	4	2
108	и для	3	2
109	и других	4	2
110	а не	20	2
111	того что	5	2
112	так в	5	2
113	то в	2	2
114	точки зрения	4	2
115	ту же	2	2
116	из них	2	2
117	и вновь	2	2
118	в свое	2	2
119	а если	2	2
120	ничего не	3	2
