N	2gram	Losev_Dial_3	SlovoVZh
1	не может	19	16
2	точки зрения	25	14
3	может быть	13	14
4	и его	5	13
5	как бы	3	13
6	таким образом	13	12
7	и в	24	12
8	и не	27	10
9	если бы	6	9
10	так как	6	9
11	прежде всего	8	8
12	для нас	2	7
13	сказать что	4	7
14	в нем	3	6
15	все время	3	6
16	при этом	2	6
17	в том	5	6
18	только в	5	6
19	в ней	2	6
20	то что	14	5
21	должна быть	6	5
22	никогда не	7	5
23	а не	26	5
24	то же	6	5
25	хотя бы	4	5
26	как и	7	5
27	том что	8	5
28	отнюдь не	10	5
29	что мы	8	5
30	и следовательно	2	5
31	но в	2	5
32	в виду	7	5
33	и к	5	4
34	все же	3	4
35	жизни и	5	4
36	так и	5	4
37	от того	4	4
38	с другой	4	4
39	уже не	5	4
40	что не	5	4
41	зависимости от	3	4
42	не в	3	4
43	в этом	8	4
44	и на	3	4
45	в самом	7	4
46	к нему	3	4
47	за пределы	3	4
48	и является	2	4
49	не только	23	4
50	в них	5	3
51	точка зрения	5	3
52	и уже	2	3
53	бы то	2	3
54	не менее	11	3
55	быть и	3	3
56	все это	6	3
57	и по	2	3
58	и вообще	2	3
59	все эти	3	3
60	ясно что	7	3
61	по себе	20	3
62	этой точки	2	3
63	слово в	2	3
64	но и	9	3
65	и пр	6	3
66	того что	12	3
67	или не	5	3
68	тем не	10	3
69	ни в	9	3
70	он должен	3	3
71	так же	4	3
72	самом деле	6	3
73	мы не	5	3
74	и с	6	3
75	о том	6	3
76	в каком	3	3
77	и ее	3	3
78	в себе	2	3
79	для него	4	3
80	еще не	2	3
81	только на	7	3
82	и для	2	3
83	конечно не	4	3
84	из этого	2	3
85	но для	2	3
86	перестает быть	2	2
87	с этой	5	2
88	зависит от	2	2
89	с его	2	2
90	что и	6	2
91	что в	7	2
92	как не	2	2
93	себя и	2	2
94	в зависимости	2	2
95	в своем	3	2
96	допустим что	16	2
97	нет ничего	9	2
98	другой стороны	2	2
99	это не	4	2
100	и все	6	2
101	в особенности	7	2
102	тому же	2	2
103	тогда когда	5	2
104	с одной	3	2
105	была бы	3	2
106	и что	15	2
107	не есть	54	2
108	с точки	14	2
109	и здесь	2	2
110	как же	5	2
111	его как	3	2
112	как на	5	2
113	и притом	5	2
114	но это	5	2
115	в данном	2	2
116	и то	4	2
117	но не	2	2
118	быть только	2	2
119	могут быть	2	2
120	но что	7	2
121	одно и	5	2
122	кроме того	6	2
123	она не	3	2
124	в то	5	2
125	одной стороны	3	2
126	ни на	3	2
127	если же	8	2
128	оно не	6	2
129	в чем	4	2
130	как это	5	2
131	ничего не	17	2
132	он не	5	2
133	в условиях	2	2
134	в его	2	2
135	и потому	2	2
