N	2gram	Tiupa_Teor_1	Problemy
1	и в	18	43
2	и не	13	29
3	может быть	17	23
4	как бы	5	22
5	не может	4	18
6	в пределах	5	16
7	но и	9	14
8	как и	4	14
9	точки зрения	9	13
10	в этом	8	13
11	слова в	2	12
12	в нем	4	12
13	в одном	2	12
14	не в	7	11
15	не только	16	11
16	прежде всего	2	10
17	но в	9	10
18	в его	6	10
19	никогда не	4	9
20	в большинстве	2	9
21	еще не	4	9
22	он не	3	9
23	для него	2	8
24	лишь в	6	8
25	то же	7	8
26	с точки	3	8
27	и его	8	8
28	или в	3	8
29	перед нами	2	7
30	о себе	2	7
31	в самом	4	7
32	в то	6	7
33	то что	3	7
34	а не	9	7
35	в другом	3	7
36	в этих	3	6
37	в том	16	6
38	при этом	12	6
39	приводит к	5	6
40	же время	5	5
41	хотя и	3	5
42	все это	2	5
43	по отношению	4	5
44	таким образом	3	5
45	все эти	2	5
46	а в	13	5
47	самим собою	2	5
48	на фоне	2	5
49	вовсе не	3	5
50	но не	9	5
51	и что	3	5
52	отношению к	4	5
53	в той	2	5
54	в слове	3	5
55	в себе	9	5
56	героя и	5	5
57	я не	2	4
58	не могут	2	4
59	что в	9	4
60	в своем	4	4
61	с другой	7	4
62	к тому	2	4
63	в самой	2	4
64	их в	3	4
65	но он	3	4
66	в произведении	3	4
67	то есть	12	4
68	с его	5	4
69	в них	2	4
70	в своей	6	4
71	не на	2	4
72	в отличие	6	4
73	между ними	4	4
74	как раз	2	4
75	речи и	2	4
76	только в	6	4
77	далеко не	2	4
78	и это	2	4
79	отличие от	6	4
80	не менее	4	3
81	в отношении	3	3
82	это не	2	3
83	или иной	4	3
84	есть в	2	3
85	более или	2	3
86	в формах	2	3
87	в виду	5	3
88	зрения и	2	3
89	в их	2	3
90	в одно	2	3
91	и даже	2	3
92	самим собой	3	3
93	и здесь	2	3
94	в диалоге	2	3
95	его в	2	3
96	в художественном	3	3
97	между тем	5	3
98	в жизни	2	3
99	если бы	3	3
100	не знает	3	3
101	и к	3	3
102	в романе	3	3
103	того же	3	3
104	за пределы	2	3
105	в произведениях	2	3
106	даже в	3	3
107	что и	2	3
108	себя в	6	3
109	так и	10	3
110	или менее	2	3
111	в себя	3	3
112	уже не	4	3
113	другой стороны	5	3
114	и для	2	3
115	в рассказе	2	3
116	слова как	3	3
117	могут быть	4	3
118	и ее	3	3
119	из этих	3	2
120	в конце	2	2
121	была бы	3	2
122	для понимания	2	2
123	что может	2	2
124	тем не	3	2
125	ни в	2	2
126	и как	2	2
127	своей жизни	2	2
128	в узком	3	2
129	времени и	2	2
130	в глаза	2	2
131	и является	2	2
132	могут оказаться	2	2
133	в целом	3	2
134	отношение к	5	2
135	в форме	2	2
136	отличается от	2	2
137	отношения к	2	2
138	того что	4	2
139	так же	2	2
140	сказать что	3	2
141	в первом	2	2
142	герой не	3	2
143	я и	2	2
144	между собой	3	2
145	превращается в	2	2
146	этом смысле	2	2
147	на меня	3	2
148	об этом	2	2
149	в первой	5	2
150	у нас	2	2
151	по своему	2	2
152	в повести	2	2
153	с их	2	2
154	на себя	2	2
155	и о	4	2
156	этого слова	3	2
157	на почве	4	2
158	и особенно	2	2
159	в точке	2	2
160	дело в	2	2
161	внутренней речи	13	2
162	быть и	2	2
163	ее в	2	2
164	как в	5	2
165	а с	3	2
166	если мы	2	2
167	том что	9	2
168	может служить	2	2
169	и то	2	2
170	в поэзии	2	2
171	отношении к	2	2
