N	2gram	Propp_Russ_2	Istorich
1	и в	29	24
2	не только	10	21
3	и т	5	17
4	т е	24	16
5	этих случаях	4	16
6	т д	5	16
7	может быть	13	14
8	не может	5	14
9	в этих	3	13
10	что в	22	13
11	мы имеем	6	12
12	как в	7	12
13	в этом	11	12
14	но и	8	11
15	это не	5	10
16	том что	22	10
17	а в	9	10
18	и что	5	10
19	и другие	14	9
20	с другой	2	9
21	не в	4	9
22	все же	2	9
23	о том	9	9
24	потому что	5	9
25	показывает что	8	8
26	еще не	6	8
27	что и	2	8
28	все это	10	8
29	то же	4	8
30	а не	4	8
31	или в	7	8
32	так как	13	8
33	один из	2	7
34	в том	22	7
35	мы видели	7	7
36	одна из	11	7
37	во всех	3	7
38	то что	5	7
39	вместе с	6	7
40	к нему	4	7
41	что здесь	3	7
42	таким образом	6	7
43	тем что	3	6
44	с этой	2	6
45	об этом	2	6
46	для нас	6	6
47	как и	11	6
48	так же	4	6
49	но не	5	6
50	а именно	3	6
51	и все	4	6
52	того что	3	6
53	он показывает	2	6
54	во время	12	6
55	что это	3	6
56	не менее	2	5
57	одной стороны	2	5
58	представляют собой	7	5
59	дело не	2	5
60	с одной	2	5
61	что она	3	5
62	здесь мы	2	5
63	право на	2	5
64	видно что	2	5
65	там где	2	5
66	но в	5	5
67	никогда не	2	4
68	представления о	2	4
69	не всегда	3	4
70	тем не	2	4
71	по существу	4	4
72	представляет собой	2	4
73	при этом	6	4
74	после того	2	4
75	же как	4	4
76	как бы	18	4
77	в их	2	4
78	то и	4	4
79	ее на	2	4
80	не имеет	3	4
81	в других	15	4
82	мы не	6	4
83	так в	2	4
84	в данном	6	4
85	на первый	3	4
86	не столько	2	3
87	в качестве	3	3
88	в них	4	3
89	тогда когда	4	3
90	представление о	5	3
91	в образе	2	3
92	если он	2	3
93	вопрос о	4	3
94	такое объяснение	2	3
95	нечто вроде	2	3
96	так что	4	3
97	предположить что	4	3
98	после этого	2	3
99	кроме того	2	3
100	для объяснения	2	3
101	том чтобы	2	3
102	в обряде	6	3
103	следующим образом	5	3
104	его в	8	3
105	не все	4	3
106	связано с	2	3
107	выше мы	3	3
108	с ней	5	3
109	ее в	8	3
110	данном случае	7	3
111	в свете	3	3
112	как мы	3	3
113	должны были	2	3
114	мы рассмотрим	4	3
115	эта связь	2	3
116	не говорится	2	3
117	и по	3	3
118	из этих	2	3
119	связи с	2	3
120	тогда как	2	3
121	того как	2	3
122	на земле	5	2
123	и там	3	2
124	в лесу	10	2
125	по этому	2	2
126	или даже	3	2
127	та же	2	2
128	и от	3	2
129	к этому	5	2
130	этот обряд	6	2
131	прежде всего	2	2
132	совершенно очевидно	2	2
133	не можем	2	2
134	и ее	2	2
135	здесь имеем	2	2
136	в целях	2	2
137	в то	2	2
138	все в	2	2
139	в ее	3	2
140	нас не	2	2
141	говорит о	2	2
142	в руках	2	2
143	связаны с	3	2
144	связанные с	2	2
145	то время	2	2
146	что при	2	2
147	в форме	2	2
148	она не	3	2
149	было бы	3	2
150	и о	3	2
151	нас к	3	2
152	не совсем	2	2
153	должно было	3	2
154	к ней	2	2
155	не ясно	2	2
156	приведенные материалы	2	2
157	в котором	3	2
158	на себя	2	2
159	это представление	4	2
160	представления не	3	2
161	этом и	2	2
162	кладут в	5	2
163	сюда же	2	2
164	связь с	3	2
165	у некоторых	2	2
166	уже не	4	2
167	во многих	9	2
168	там же	12	2
169	мы здесь	2	2
170	в которой	2	2
171	друг друга	3	2
172	как это	4	2
173	после чего	2	2
174	девушки в	3	2
175	что по	4	2
176	можно предположить	3	2
177	этого обряда	2	2
178	из них	4	2
179	с этим	2	2
180	но он	3	2
181	и на	6	2
182	этот вопрос	2	2
183	во всем	2	2
184	и после	3	2
185	и дело	2	2
186	в таких	3	2
187	в приведенных	2	2
188	все эти	3	2
189	должен был	3	2
190	е в	10	2
191	в ряд	2	2
192	в русских	4	2
