N	2gram	Bakhtin_KF_1	Komedia
1	и в	24	26
2	и не	26	14
3	едва ли	2	14
4	так и	2	12
5	и его	17	12
6	в том	6	11
7	может быть	45	11
8	но и	9	10
9	в этом	14	10
10	что в	4	9
11	том что	4	9
12	если бы	8	9
13	ясно что	3	8
14	было бы	8	8
15	и на	3	7
16	не только	5	7
17	что и	7	7
18	в своем	16	6
19	то что	7	6
20	еще не	4	6
21	в нем	28	6
22	того чтобы	2	6
23	потому что	2	6
24	и здесь	7	6
25	в то	3	6
26	о том	3	6
27	с тем	2	5
28	независимо от	3	5
29	к этому	2	5
30	что он	2	5
31	в качестве	2	5
32	один из	2	5
33	ни в	12	5
34	для того	3	5
35	место в	5	4
36	не менее	3	4
37	тому что	2	4
38	прежде всего	2	4
39	как и	5	4
40	в целом	10	4
41	в его	40	4
42	мира в	6	4
43	все же	5	4
44	не по	4	4
45	и для	9	4
46	точки зрения	12	4
47	только в	16	4
48	что это	3	4
49	его в	5	4
50	между тем	4	4
51	это было	2	4
52	в каждом	3	3
53	вопрос о	2	3
54	жизни и	8	3
55	отношению к	22	3
56	но все	5	3
57	но не	12	3
58	во всех	11	3
59	же время	2	3
60	в единственном	9	3
61	для нас	4	3
62	из которых	2	3
63	в ней	3	3
64	в котором	24	3
65	не имеет	5	3
66	себя в	8	3
67	в своей	10	3
68	и их	6	3
69	в их	8	3
70	все это	10	3
71	по отношению	26	3
72	дело с	2	3
73	то же	5	3
74	не было	8	3
75	как в	2	3
76	к нему	12	3
77	а в	4	3
78	тем что	3	3
79	не может	27	3
80	в этой	2	3
81	могла бы	4	3
82	но в	5	3
83	ни было	4	2
84	и есть	9	2
85	отнюдь не	6	2
86	то ни	2	2
87	это не	10	2
88	в одном	4	2
89	этом смысле	3	2
90	вовсе не	7	2
91	и я	5	2
92	нет и	3	2
93	в ее	16	2
94	не в	12	2
95	из его	3	2
96	бы то	2	2
97	по своему	3	2
98	в это	2	2
99	ни одна	2	2
100	от того	3	2
101	он не	6	2
102	как бы	9	2
103	хотя бы	4	2
104	и это	12	2
105	в мире	6	2
106	отношение к	5	2
107	и за	2	2
108	со стороны	7	2
109	если не	2	2
110	еще более	2	2
111	в принципе	2	2
112	для этой	3	2
113	бы и	3	2
114	рядом с	3	2
115	мы не	3	2
116	с ними	3	2
117	от этого	2	2
118	и ее	2	2
119	говорить о	2	2
120	и все	7	2
121	мы имеем	5	2
122	в виду	3	2
