N	2gram	Tiupa_Narr_1	Psycholo
1	и в	19	38
2	то что	11	35
3	в том	18	25
4	самом деле	2	21
5	что в	3	20
6	может быть	25	19
7	точки зрения	10	16
8	в ней	3	15
9	то есть	19	15
10	том что	14	14
11	как бы	4	14
12	в этой	5	13
13	в этом	17	13
14	было бы	4	12
15	не только	32	12
16	не в	14	12
17	что он	6	11
18	что это	3	10
19	в сущности	3	10
20	то же	4	10
21	и не	20	10
22	и все	2	10
23	с точки	2	9
24	в двух	2	9
25	все же	7	8
26	перед нами	4	8
27	как и	7	8
28	и как	5	8
29	как раз	2	8
30	с другой	8	7
31	в ее	3	7
32	а не	12	7
33	не может	10	7
34	что у	2	7
35	как мы	3	7
36	а в	11	7
37	между тем	3	7
38	все то	2	7
39	из них	3	6
40	к тому	7	6
41	она не	2	6
42	один из	3	6
43	не имеет	2	6
44	он не	3	6
45	с одной	7	6
46	как это	6	6
47	и его	5	6
48	и на	3	6
49	о том	6	6
50	должна быть	2	5
51	в своем	2	5
52	в какой	2	5
53	одной стороны	7	5
54	несмотря на	2	5
55	совершенно не	2	5
56	иначе говоря	6	5
57	время в	2	5
58	но и	23	5
59	другой стороны	4	5
60	и когда	2	5
61	в той	6	5
62	или в	2	5
63	в его	9	5
64	никогда не	3	4
65	идет о	2	4
66	что они	3	4
67	в свою	3	4
68	при этом	9	4
69	когда он	3	4
70	и для	2	4
71	речь идет	4	4
72	не мог	4	4
73	в нем	4	4
74	как в	7	4
75	все эти	2	4
76	из которых	4	4
77	и даже	3	4
78	сказать что	4	4
79	у него	4	4
80	только в	4	4
81	здесь совершенно	2	4
82	как будто	3	4
83	одна из	3	4
84	в себе	8	4
85	не то	2	4
86	та же	2	3
87	из этих	3	3
88	ни в	3	3
89	она может	2	3
90	наряду с	2	3
91	в основе	5	3
92	из двух	3	3
93	и только	2	3
94	бы не	2	3
95	что не	4	3
96	в таком	2	3
97	именно это	2	3
98	и тем	4	3
99	тем что	3	3
100	состоит в	13	3
101	далеко не	5	3
102	в то	3	3
103	его в	2	3
104	рассказ в	2	3
105	здесь не	4	3
106	что по	2	3
107	но в	6	3
108	одного из	4	2
109	в данном	5	2
110	он прямо	2	2
111	действующее лицо	2	2
112	отнюдь не	5	2
113	между собой	2	2
114	и одновременно	2	2
115	хотя бы	4	2
116	столь же	3	2
117	в полном	2	2
118	утверждать что	2	2
119	что именно	2	2
120	и ее	2	2
121	же в	4	2
122	уже не	5	2
123	по существу	2	2
124	в силу	4	2
125	есть в	2	2
126	свою очередь	3	2
127	для него	2	2
128	они не	2	2
129	например в	2	2
130	все те	4	2
131	с ее	3	2
132	данном случае	4	2
133	со стороны	9	2
134	говорит о	2	2
135	имеет место	4	2
136	к самому	2	2
137	по выражению	2	2
138	так же	2	2
139	отношения к	2	2
140	а с	3	2
141	в качестве	21	2
142	одно из	2	2
143	к себе	5	2
144	как к	2	2
145	представляет собой	13	2
146	но как	2	2
147	этого слова	2	2
148	представляют собой	2	2
149	когда мы	2	2
150	ничего не	2	2
