N	2gram	Potebnia_M_2	Komedia
1	и в	24	26
2	и не	19	14
3	так и	5	12
4	и его	2	12
5	в том	18	11
6	может быть	23	11
7	но и	9	10
8	в этом	8	10
9	что в	16	9
10	столь же	5	9
11	том что	8	9
12	если бы	11	9
13	вместе с	11	9
14	было бы	13	8
15	и на	8	7
16	из них	5	7
17	не только	15	7
18	что и	11	7
19	во время	4	6
20	то что	20	6
21	еще не	4	6
22	в нем	9	6
23	того чтобы	2	6
24	потому что	49	6
25	и здесь	2	6
26	в то	6	6
27	о том	5	6
28	таким образом	11	6
29	с его	2	5
30	с тем	4	5
31	независимо от	9	5
32	в которой	5	5
33	к этому	2	5
34	что он	4	5
35	один из	2	5
36	с этим	7	5
37	для того	5	5
38	так что	10	5
39	место в	4	4
40	уже в	5	4
41	не менее	5	4
42	у него	2	4
43	в этих	3	4
44	тому что	2	4
45	в них	5	4
46	что у	2	4
47	и от	3	4
48	прежде всего	7	4
49	из этих	4	4
50	же в	5	4
51	как и	7	4
52	в целом	3	4
53	хотя и	3	4
54	в его	2	4
55	все же	5	4
56	в самом	4	4
57	судя по	5	4
58	и для	3	4
59	что для	3	4
60	только в	11	4
61	что это	3	4
62	так как	10	4
63	как это	2	4
64	его в	3	4
65	между тем	6	4
66	это было	2	4
67	в каждом	2	3
68	вопрос о	2	3
69	то время	4	3
70	что на	3	3
71	но если	2	3
72	мы знаем	2	3
73	что его	3	3
74	но все	2	3
75	связи с	6	3
76	но не	12	3
77	того же	14	3
78	во всех	7	3
79	же время	2	3
80	для нас	31	3
81	по поводу	6	3
82	например в	3	3
83	в ней	3	3
84	в котором	4	3
85	не имеет	6	3
86	и их	5	3
87	все это	2	3
88	по отношению	2	3
89	в связи	2	3
90	искать в	3	3
91	того как	7	3
92	той же	3	3
93	то же	12	3
94	не было	6	3
95	как в	10	3
96	в самой	3	3
97	друг друга	2	3
98	а в	8	3
99	или в	2	3
100	человека в	3	3
101	тем что	7	3
102	не может	12	3
103	как он	4	3
104	могла бы	3	3
105	но в	4	3
106	и поэтому	2	3
107	мы можем	12	3
108	что ни	2	2
109	ни было	3	2
110	если в	3	2
111	и есть	2	2
112	в нашем	2	2
113	в какой	2	2
114	для их	2	2
115	с другой	6	2
116	это не	3	2
117	в одном	6	2
118	этом смысле	2	2
119	вовсе не	9	2
120	то это	3	2
121	не в	13	2
122	до сих	4	2
123	одна из	4	2
124	тот же	5	2
125	на этом	2	2
126	после того	2	2
127	только потому	2	2
128	одной стороны	3	2
129	в действительности	2	2
130	и если	4	2
131	как не	3	2
132	вслед за	3	2
133	от того	5	2
134	как бы	9	2
135	всяком случае	7	2
136	время как	4	2
137	хотя бы	2	2
138	и т	6	2
139	и это	2	2
140	сих пор	4	2
141	со стороны	3	2
142	что она	3	2
143	так в	4	2
144	т п	3	2
145	видно из	2	2
146	если не	4	2
147	с одной	4	2
148	мы находим	2	2
149	и что	4	2
150	с самого	2	2
151	и у	3	2
152	также что	2	2
153	в других	4	2
154	рядом с	3	2
155	мы не	11	2
156	с ними	3	2
157	во всяком	7	2
158	и во	3	2
159	одно из	3	2
160	и все	3	2
161	с которыми	2	2
162	бы в	2	2
