N	2gram	Ircho_Kome_3	VelikijI
1	и не	21	20
2	и в	22	16
3	то что	4	9
4	так как	11	9
5	еще не	6	8
6	что они	2	7
7	а не	4	7
8	человека и	2	6
9	в мире	2	5
10	хотя и	5	5
11	как бы	3	5
12	но и	4	5
13	все это	5	5
14	на себя	4	5
15	в образе	2	4
16	и я	2	4
17	что он	8	4
18	в нем	3	4
19	как и	3	4
20	все что	3	4
21	что мы	2	4
22	они будут	2	4
23	в котором	2	4
24	так и	4	4
25	что не	3	4
26	потому что	10	4
27	в этом	8	4
28	в ней	4	4
29	говорить о	3	4
30	и все	2	4
31	в его	8	4
32	любовь к	3	3
33	с его	3	3
34	если не	3	3
35	что в	5	3
36	в них	3	3
37	в конце	7	3
38	ни в	10	3
39	в том	12	3
40	не в	4	3
41	за ним	2	3
42	тот же	2	3
43	и мы	3	3
44	к тому	6	3
45	во всех	2	3
46	никогда не	3	3
47	то это	5	3
48	что и	8	3
49	в своей	5	3
50	тому что	2	3
51	не было	2	3
52	и что	6	3
53	за то	2	3
54	не имеет	3	3
55	хотя бы	4	3
56	и для	4	3
57	их в	3	3
58	нет ничего	2	3
59	что ты	2	3
60	но в	5	3
61	что их	2	2
62	не могут	2	2
63	до того	2	2
64	с тем	4	2
65	это не	2	2
66	прежде всего	5	2
67	том что	13	2
68	конечно не	3	2
69	и сам	5	2
70	того чтобы	6	2
71	и во	2	2
72	не только	5	2
73	нет и	4	2
74	один из	3	2
75	не с	2	2
76	и т	4	2
77	не будет	2	2
78	все равно	3	2
79	тем что	5	2
80	мы не	2	2
81	более чем	5	2
82	не так	3	2
83	его не	2	2
84	а в	7	2
85	с ним	5	2
86	от своей	2	2
87	можно было	2	2
88	я говорю	2	2
89	людей и	2	2
90	между тем	2	2
91	и это	2	2
92	во всяком	3	2
