N	2gram	Tiupa_Anal_2	StatiiOP
1	и в	16	29
2	том что	12	27
3	в том	12	27
4	в этом	18	21
5	но и	12	19
6	что в	2	19
7	не только	16	19
8	о том	7	17
9	в его	2	13
10	то что	7	11
11	все это	4	11
12	к тому	7	10
13	таким образом	2	10
14	т е	2	10
15	в своем	4	9
16	так и	15	9
17	этом отношении	3	9
18	и не	12	9
19	он не	2	9
20	по поводу	3	8
21	как раз	4	8
22	но в	6	8
23	так например	2	7
24	в самом	6	7
25	в котором	2	7
26	в своей	2	7
27	вместе с	2	7
28	не столько	3	7
29	в одном	2	6
30	вовсе не	2	6
31	и его	4	6
32	и на	6	6
33	о чем	2	5
34	прежде всего	3	5
35	была бы	2	5
36	в качестве	11	5
37	было бы	3	5
38	как бы	10	5
39	своего рода	12	5
40	а не	10	5
41	того что	2	5
42	между тем	2	5
43	точки зрения	4	5
44	а как	2	4
45	речь идет	2	4
46	именно в	3	4
47	в частности	16	4
48	с другой	6	4
49	к этому	2	4
50	не в	4	4
51	для него	4	4
52	и к	5	4
53	хотя и	4	4
54	внимание на	2	4
55	еще более	2	4
56	в речи	3	4
57	ничего не	9	4
58	в общем	2	3
59	не менее	4	3
60	борьбы с	3	3
61	не был	3	3
62	в этих	2	3
63	вообще не	2	3
64	на себя	5	3
65	по себе	2	3
66	что на	3	3
67	не мог	3	3
68	тому же	4	3
69	так что	3	3
70	обращает на	3	3
71	но не	4	3
72	одной из	3	3
73	в обоих	2	3
74	никогда не	3	3
75	и даже	9	3
76	из них	3	3
77	другой стороны	2	3
78	как в	4	3
79	в их	3	3
80	тем что	3	3
81	и он	2	3
82	так же	2	3
83	в эту	3	3
84	только не	4	2
85	если бы	3	2
86	борьба с	3	2
87	в сочетании	7	2
88	что с	2	2
89	в конце	4	2
90	и я	2	2
91	что и	3	2
92	к своему	2	2
93	тем не	3	2
94	его как	2	2
95	он был	2	2
96	а затем	2	2
97	говорит о	5	2
98	по существу	2	2
99	как и	14	2
100	из его	2	2
101	должна была	2	2
102	в этой	9	2
103	в то	2	2
104	о своей	2	2
105	и сам	3	2
106	несмотря на	3	2
107	он по	2	2
108	на его	3	2
109	такого рода	2	2
110	может быть	6	2
111	значительной степени	2	2
112	никак не	2	2
113	а также	7	2
114	еще в	2	2
115	на то	2	2
116	даже в	2	2
117	только в	4	2
118	сочетании с	7	2
119	с той	2	2
120	себя внимание	3	2
121	как говорит	2	2
122	ни с	2	2
123	дело не	2	2
124	со стороны	3	2
125	не может	4	2
126	тогда как	19	2
127	то же	4	2
128	при этом	10	2
129	в отличие	2	2
130	в значительной	2	2
131	на этот	2	2
132	не имеет	2	2
133	с точки	2	2
134	особенно в	7	2
135	в данном	8	2
136	в результате	3	2
137	сказать что	2	2
138	в себе	7	2
139	в один	4	2
140	его в	2	2
141	как это	6	2
142	в устах	2	2
143	того же	4	2
144	отличие от	2	2
145	это было	2	2
