N	2gram	Ircho_Kome_3	Psycholo
1	то что	4	37
2	и в	22	30
3	в том	12	27
4	что в	5	24
5	и что	6	23
6	потому что	10	23
7	том что	13	21
8	все время	2	20
9	для того	6	20
10	таким образом	12	20
11	того чтобы	6	20
12	как бы	3	19
13	что он	8	17
14	на то	3	17
15	если мы	2	16
16	и мы	3	16
17	не только	5	16
18	в самом	9	14
19	в этом	8	14
20	так же	4	13
21	как раз	6	13
22	одной стороны	3	12
23	в сущности	2	12
24	вместе с	9	12
25	с одной	3	12
26	если бы	8	11
27	может быть	6	11
28	что мы	2	11
29	о том	8	10
30	никогда не	3	9
31	с другой	4	9
32	не может	3	9
33	так как	11	9
34	с тем	4	8
35	тому что	2	8
36	к тому	6	8
37	не в	4	8
38	а не	4	8
39	при этом	7	8
40	самом деле	6	8
41	и это	2	8
42	в нем	3	7
43	мы можем	3	7
44	все же	4	7
45	и т	4	7
46	то же	7	7
47	точки зрения	4	7
48	как это	5	7
49	в основе	2	7
50	уже в	2	6
51	ясно что	6	6
52	в своем	8	6
53	что она	4	6
54	как и	3	6
55	что с	2	6
56	и если	2	6
57	совершенно не	2	6
58	и для	4	6
59	но и	4	6
60	по мнению	2	6
61	и не	21	6
62	и его	6	6
63	и здесь	4	6
64	тем что	5	6
65	дело с	3	5
66	в целом	3	5
67	несмотря на	4	5
68	как мы	2	5
69	в этой	3	5
70	что они	2	5
71	еще не	6	5
72	до сих	9	5
73	было бы	3	5
74	был бы	2	5
75	когда он	4	5
76	один из	3	5
77	сих пор	9	5
78	другой стороны	2	5
79	в двух	3	5
80	в своих	2	5
81	в себе	4	5
82	но в	5	5
83	же самое	3	5
84	бы в	4	5
85	в результате	2	4
86	в частности	3	4
87	сравнению с	2	4
88	и все	2	4
89	прежде всего	5	4
90	стороны и	2	4
91	то это	5	4
92	и к	3	4
93	в своей	5	4
94	от того	2	4
95	в ней	4	4
96	в его	8	4
97	в них	3	4
98	по сравнению	2	4
99	только что	7	4
100	а в	7	4
101	из которых	2	4
102	в конце	7	4
103	что эта	2	4
104	должен был	4	4
105	о чем	7	4
106	в виду	2	4
107	под влиянием	2	3
108	что ни	3	3
109	не могут	2	3
110	у него	4	3
111	обстоит дело	2	3
112	хотя бы	4	3
113	это не	2	3
114	не как	2	3
115	именно потому	2	3
116	это в	2	3
117	состоит в	2	3
118	к этому	6	3
119	вовсе не	4	3
120	самого начала	4	3
121	меньше всего	4	3
122	об этом	7	3
123	с самого	4	3
124	так что	6	3
125	в свою	7	3
126	тот же	2	3
127	он говорит	2	3
128	он не	5	3
129	как из	2	3
130	в ее	3	3
131	что и	8	3
132	на его	2	3
133	ни в	10	3
134	так и	4	3
135	со стороны	11	3
136	как в	2	3
137	в их	2	3
138	этом отношении	2	3
139	из того	3	3
140	и о	2	3
141	на этот	3	3
142	тем же	3	3
143	в таком	2	3
144	целый ряд	2	3
145	мы не	2	3
146	можно было	2	3
147	человека в	2	3
148	в силу	2	3
149	и на	2	3
150	т п	4	3
151	в другом	2	3
152	в которой	3	3
153	и поэтому	4	3
154	с этой	3	2
155	в отношении	4	2
156	с его	3	2
157	связи с	5	2
158	себя и	2	2
159	между собой	4	2
160	не является	4	2
161	с этим	3	2
162	в одном	2	2
163	а как	2	2
164	с помощью	4	2
165	мы знаем	2	2
166	этом случае	2	2
167	он был	4	2
168	до конца	4	2
169	трагедии и	2	2
170	а затем	2	2
171	ли не	2	2
172	по существу	2	2
173	но все	4	2
174	чем в	3	2
175	что ему	2	2
176	того же	6	2
177	совпадают с	4	2
178	не дает	4	2
179	бы по	2	2
180	что их	2	2
181	в качестве	2	2
182	в котором	2	2
183	тех пор	3	2
184	должен быть	2	2
185	не с	2	2
186	из них	5	2
187	представляют собой	2	2
188	во всех	2	2
189	до тех	3	2
190	отношения к	2	2
191	все это	5	2
192	по отношению	5	2
193	в течение	3	2
194	все равно	3	2
195	приводит к	3	2
196	и хотя	2	2
197	с точки	3	2
198	и даже	3	2
199	и он	2	2
200	между ними	2	2
201	отличие от	2	2
202	время как	2	2
203	в глазах	8	2
204	ничего не	3	2
205	в которых	5	2
206	и с	4	2
207	что касается	2	2
208	исходя из	2	2
209	в то	6	2
210	не знает	3	2
211	его на	2	2
212	если же	2	2
213	как он	3	2
214	из этого	2	2
215	конце концов	2	2
216	едва ли	7	2
217	нет ни	2	2
