N	3gram	Trubetskoy_1	Vladivir
1	в том что	7	10
2	о том что	2	8
3	с точки зрения	9	6
4	не может быть	4	6
5	вместе с тем	3	6
6	в конце концов	3	5
7	более или менее	4	5
8	точно так же	2	4
9	и то что	3	4
10	только в том	2	3
11	в то же	10	3
12	бы то ни	4	3
13	во всяком случае	6	3
14	в настоящее время	2	3
15	в том случае	4	3
16	то же время	10	2
17	в данном случае	3	2
18	к тому что	2	2
19	при таких условиях	3	2
20	и в том	2	2
21	то ни стало	3	2
22	в себе и	2	2
23	во что бы	3	2
24	на то что	4	2
25	что бы то	3	2
26	и вместе с	2	2
27	том случае если	3	2
