N	2gram	Nazirov_Tv_1	Psycholo
1	в том	7	37
2	и в	21	32
3	том что	11	21
4	то что	8	21
5	таким образом	5	21
6	потому что	5	21
7	то есть	12	21
8	что в	12	20
9	так же	3	18
10	может быть	5	18
11	что и	2	17
12	не может	4	17
13	что она	2	16
14	самом деле	2	16
15	что он	6	13
16	при этом	7	13
17	то же	13	13
18	в этом	6	13
19	в самом	3	12
20	не только	7	12
21	так как	3	12
22	в основе	2	11
23	при помощи	2	10
24	как и	12	10
25	и т	3	10
26	когда он	2	10
27	но и	3	10
28	и не	7	10
29	никогда не	3	9
30	что все	3	9
31	как в	8	9
32	в своих	5	9
33	не менее	6	8
34	не в	2	8
35	т п	2	8
36	той же	3	8
37	того что	3	8
38	на деле	2	8
39	к тому	2	7
40	и как	4	7
41	такой же	2	7
42	а не	5	7
43	говорит что	2	7
44	и его	6	7
45	что для	2	7
46	сказать что	2	7
47	как будто	5	7
48	только в	5	7
49	в этой	5	6
50	тот же	2	6
51	он не	8	6
52	как бы	17	6
53	о том	6	6
54	отнюдь не	5	5
55	что его	2	5
56	вслед за	2	5
57	он говорит	3	5
58	в ней	2	5
59	далеко не	3	5
60	все это	10	5
61	на самом	3	5
62	только на	2	5
63	и даже	3	5
64	и на	7	5
65	в то	15	5
66	в жизни	2	4
67	есть не	2	4
68	тем не	2	4
69	в чем	2	4
70	и когда	2	4
71	и по	3	4
72	и тем	2	4
73	в нем	3	4
74	все же	5	4
75	из них	2	4
76	жизни и	3	4
77	данном случае	2	4
78	но только	2	4
79	а в	6	4
80	и все	6	4
81	в данном	2	4
82	и с	3	4
83	могут быть	2	4
84	в целом	4	4
85	ту же	3	4
86	в творчестве	6	4
87	в частности	2	3
88	конечном счете	4	3
89	но он	2	3
90	хотя бы	5	3
91	с другой	3	3
92	точно так	2	3
93	представление о	3	3
94	согласии с	2	3
95	действительной жизни	3	3
96	об этом	2	3
97	так что	2	3
98	до конца	2	3
99	в свою	7	3
100	в нашей	2	3
101	в своей	4	3
102	один из	4	3
103	с ее	3	3
104	так и	2	3
105	жизни с	2	3
106	в их	3	3
107	еще более	2	3
108	и других	3	3
109	что не	2	3
110	в конечном	4	3
111	и он	2	3
112	отказаться от	2	3
113	приходит к	3	3
114	как к	2	3
115	по самому	2	3
116	ни на	3	3
117	и отношений	2	3
118	та же	4	3
119	но в	7	3
120	значит что	2	3
121	в виду	2	3
122	не существует	3	2
123	место в	3	2
124	зависит от	2	2
125	с его	11	2
126	все более	2	2
127	это не	4	2
128	и от	4	2
129	из всех	4	2
130	в каждом	3	2
131	это в	3	2
132	говорит о	3	2
133	в романе	10	2
134	же время	12	2
135	но не	3	2
136	в глаза	2	2
137	того же	2	2
138	вовсе не	5	2
139	на его	3	2
140	не имеют	4	2
141	в его	13	2
142	из себя	2	2
143	в него	2	2
144	когда я	2	2
145	если в	2	2
146	не так	3	2
147	в этих	2	2
148	на том	2	2
149	вместе с	2	2
150	справедливо указывает	2	2
151	мы находим	2	2
152	здесь мы	2	2
153	и у	2	2
154	отличие от	2	2
155	но это	5	2
156	и далее	2	2
157	в себе	2	2
158	в которой	3	2
159	же с	2	2
