N	2gram	Losev_Dial_3	Literetu
1	и не	27	22
2	и в	24	16
3	при этом	2	15
4	не только	23	14
5	но и	9	14
6	в этом	8	14
7	а не	26	12
8	то что	14	12
9	может быть	13	12
10	в том	5	12
11	в частности	2	11
12	не в	3	10
13	я и	2	10
14	то же	6	9
15	так и	5	9
16	того что	12	9
17	в то	5	9
18	том что	8	8
19	не может	19	8
20	как бы	3	8
21	же время	3	7
22	себя в	2	7
23	со стороны	2	7
24	тем самым	3	7
25	точки зрения	25	7
26	только в	5	7
27	с его	2	6
28	с другой	4	6
29	к тому	4	6
30	еще не	2	6
31	в его	2	6
32	и его	5	6
33	в себе	2	6
34	о том	6	6
35	это не	4	5
36	что он	13	5
37	тому же	2	5
38	субъекта и	4	5
39	как и	7	5
40	особого рода	3	5
41	а именно	2	5
42	а в	2	5
43	именно в	2	5
44	в основе	3	5
45	но не	2	4
46	никогда не	7	4
47	по существу	2	4
48	одной стороны	3	4
49	и если	2	4
50	и для	2	4
51	хотя и	5	4
52	говоря уже	2	4
53	из них	3	4
54	не говоря	2	4
55	в природе	2	4
56	с одной	3	4
57	должно быть	3	4
58	в данном	2	4
59	одно из	5	4
60	ни к	3	3
61	все время	3	3
62	личности в	2	3
63	отнюдь не	10	3
64	все еще	2	3
65	прежде всего	8	3
66	а я	2	3
67	и как	8	3
68	то в	2	3
69	совершенно не	2	3
70	например в	2	3
71	и к	5	3
72	в самом	7	3
73	в слове	3	3
74	однако не	2	3
75	и тем	2	3
76	жизни и	5	3
77	уже не	5	3
78	самом деле	6	3
79	с точки	14	3
80	как на	5	3
81	той же	3	3
82	тому как	4	3
83	потому что	7	3
84	и жизни	6	3
85	уже о	2	3
86	как это	5	3
87	но в	2	3
88	с которой	2	2
89	не надо	3	2
90	сознания и	4	2
91	что в	7	2
92	она и	2	2
93	не менее	11	2
94	если бы	6	2
95	так или	2	2
96	быть может	3	2
97	что у	2	2
98	как о	4	2
99	оно не	6	2
100	с этой	5	2
101	я не	6	2
102	вопрос о	5	2
103	по себе	20	2
104	на то	3	2
105	или иной	4	2
106	в нем	3	2
107	и ее	3	2
108	же в	2	2
109	у нас	4	2
110	так чтобы	2	2
111	для него	4	2
112	было бы	5	2
113	со всеми	2	2
114	что не	5	2
115	несмотря на	2	2
116	как таковое	3	2
117	от себя	4	2
118	нас к	2	2
119	той или	2	2
120	о нем	4	2
121	себя и	2	2
122	не вполне	2	2
123	для себя	2	2
124	субъект и	2	2
125	то это	9	2
126	что и	6	2
127	все же	3	2
128	бы то	2	2
129	бытия в	2	2
130	но еще	2	2
131	и тогда	5	2
132	как мы	2	2
133	так же	4	2
134	как раз	7	2
135	как например	2	2
136	и только	6	2
137	быть не	2	2
138	если не	3	2
139	еще и	2	2
140	из того	2	2
141	и вот	2	2
142	для такого	2	2
143	для того	3	2
144	другой стороны	2	2
145	и даже	13	2
146	на свете	3	2
147	или иначе	2	2
148	объект и	2	2
149	в своих	2	2
150	и на	3	2
151	мы и	4	2
152	и с	6	2
153	быть только	2	2
154	тем что	3	2
155	подобно тому	4	2
156	на себя	3	2
157	он и	3	2
158	не знает	3	2
159	в первом	2	2
160	и потому	2	2
161	мира и	3	2
162	ее в	2	2
163	это будет	4	2
